individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
adelie_43,44.1,19.7,196.0,4400.0
adelie_44,37.0,16.9,185.0,3000.0
adelie_45,39.6,18.8,190.0,4600.0
adelie_46,41.1,19.0,182.0,3425.0
adelie_47,37.5,18.9,179.0,2975.0
adelie_48,36.0,17.9,190.0,3450.0
adelie_49,42.3,21.2,191.0,4150.0
adelie_50,39.6,17.7,186.0,3500.0
adelie_51,40.1,18.9,188.0,4300.0
adelie_52,35.0,17.9,190.0,3450.0
adelie_53,42.0,19.5,200.0,4050.0
adelie_54,34.5,18.1,187.0,2900.0
adelie_55,41.4,18.6,191.0,3700.0
adelie_56,39.0,17.5,186.0,3550.0
adelie_57,40.6,18.8,193.0,3800.0
adelie_58,36.5,16.6,181.0,2850.0
adelie_59,37.6,19.1,194.0,3750.0
adelie_60,35.7,16.9,185.0,3150.0
adelie_61,41.3,21.1,195.0,4400.0
adelie_62,37.6,17.0,185.0,3600.0
adelie_63,41.1,18.2,192.0,4050.0
adelie_64,36.4,17.1,184.0,2850.0
adelie_65,41.6,18.0,192.0,3950.0
adelie_66,35.5,16.2,195.0,3350.0
adelie_67,41.1,19.1,188.0,4100.0
adelie_68,35.9,16.6,190.0,3050.0
adelie_69,41.8,19.4,198.0,4450.0
adelie_70,33.5,19.0,190.0,3600.0
adelie_71,39.7,18.4,190.0,3900.0
adelie_72,39.6,17.2,196.0,3550.0
adelie_73,45.8,18.9,197.0,4150.0
adelie_74,35.5,17.5,190.0,3700.0
adelie_75,42.8,18.5,195.0,4250.0
adelie_76,40.9,16.8,191.0,3700.0
adelie_77,37.2,19.4,184.0,3900.0
adelie_78,36.2,16.1,187.0,3550.0
adelie_79,42.1,19.1,195.0,4000.0
adelie_80,34.6,17.2,189.0,3200.0
adelie_81,42.9,17.6,196.0,4700.0
adelie_82,36.7,18.8,187.0,3800.0
adelie_83,35.1,19.4,193.0,4200.0
adelie_84,37.3,17.8,191.0,3350.0
adelie_85,41.3,20.3,194.0,3550.0
adelie_86,36.3,19.5,190.0,3800.0
adelie_87,36.9,18.6,189.0,3500.0
adelie_88,38.3,19.2,189.0,3950.0
adelie_89,38.9,18.8,190.0,3600.0
adelie_90,35.7,18.0,202.0,3550.0
adelie_91,41.1,18.1,205.0,4300.0
adelie_92,34.0,17.1,185.0,3400.0
adelie_93,39.6,18.1,186.0,4450.0
adelie_94,36.2,17.3,187.0,3300.0
adelie_95,40.8,18.9,208.0,4300.0
adelie_96,38.1,18.6,190.0,3700.0
adelie_97,40.3,18.5,196.0,4350.0
adelie_98,33.1,16.1,178.0,2900.0
adelie_99,43.2,18.5,192.0,4100.0
adelie_100,35.0,17.9,192.0,3725.0
adelie_101,41.0,20.0,203.0,4725.0
adelie_102,37.7,16.0,183.0,3075.0
adelie_103,37.8,20.0,190.0,4250.0
adelie_104,37.9,18.6,193.0,2925.0
adelie_105,39.7,18.9,184.0,3550.0
adelie_106,38.6,17.2,199.0,3750.0
adelie_107,38.2,20.0,190.0,3900.0
adelie_108,38.1,17.0,181.0,3175.0
adelie_109,43.2,19.0,197.0,4775.0
adelie_110,38.1,16.5,198.0,3825.0
adelie_111,45.6,20.3,191.0,4600.0
adelie_112,39.7,17.7,193.0,3200.0
adelie_113,42.2,19.5,197.0,4275.0
adelie_114,39.6,20.7,191.0,3900.0
adelie_115,42.7,18.3,196.0,4075.0
adelie_116,38.6,17.0,188.0,2900.0
adelie_117,37.3,20.5,199.0,3775.0
adelie_118,35.7,17.0,189.0,3350.0
adelie_119,41.1,18.6,189.0,3325.0
adelie_120,36.2,17.2,187.0,3150.0
adelie_121,37.7,19.8,198.0,3500.0
adelie_122,40.2,17.0,176.0,3450.0
adelie_123,41.4,18.5,202.0,3875.0
adelie_124,35.2,15.9,186.0,3050.0
adelie_125,40.6,19.0,199.0,4000.0
adelie_126,38.8,17.6,191.0,3275.0
adelie_127,41.5,18.3,195.0,4300.0
adelie_128,39.0,17.1,191.0,3050.0
adelie_129,44.1,18.0,210.0,4000.0
adelie_130,38.5,17.9,190.0,3325.0
adelie_131,43.1,19.2,197.0,3500.0
adelie_132,36.8,18.5,193.0,3500.0
adelie_133,37.5,18.5,199.0,4475.0
adelie_134,38.1,17.6,187.0,3425.0
adelie_135,41.1,17.5,190.0,3900.0
adelie_136,35.6,17.5,191.0,3175.0
adelie_137,40.2,20.1,200.0,3975.0
adelie_138,37.0,16.5,185.0,3400.0
adelie_139,39.7,17.9,193.0,4250.0
adelie_140,40.2,17.1,193.0,3400.0
adelie_141,40.6,17.2,187.0,3475.0
adelie_142,32.1,15.5,188.0,3050.0
adelie_143,40.7,17.0,190.0,3725.0
adelie_144,37.3,16.8,192.0,3000.0
adelie_145,39.0,18.7,185.0,3650.0
adelie_146,39.2,18.6,190.0,4250.0
adelie_147,36.6,18.4,184.0,3475.0
adelie_148,36.0,17.8,195.0,3450.0
adelie_149,37.8,18.1,193.0,3750.0
adelie_150,36.0,17.1,187.0,3700.0
adelie_151,41.5,18.5,201.0,4000.0
