individual_id,island,sex,year,species
adelie_104,Biscoe,female,2009,Adelie
adelie_105,Biscoe,male,2009,Adelie
adelie_106,Biscoe,female,2009,Adelie
adelie_107,Biscoe,male,2009,Adelie
adelie_108,Biscoe,female,2009,Adelie
adelie_109,Biscoe,male,2009,Adelie
adelie_110,Biscoe,female,2009,Adelie
adelie_111,Biscoe,male,2009,Adelie
adelie_112,Biscoe,female,2009,Adelie
adelie_113,Biscoe,male,2009,Adelie
adelie_114,Biscoe,female,2009,Adelie
adelie_115,Biscoe,male,2009,Adelie
adelie_116,Torgersen,female,2009,Adelie
adelie_117,Torgersen,male,2009,Adelie
adelie_118,Torgersen,female,2009,Adelie
adelie_119,Torgersen,male,2009,Adelie
adelie_120,Torgersen,female,2009,Adelie
adelie_121,Torgersen,male,2009,Adelie
adelie_122,Torgersen,female,2009,Adelie
adelie_123,Torgersen,male,2009,Adelie
adelie_124,Torgersen,female,2009,Adelie
adelie_125,Torgersen,male,2009,Adelie
adelie_126,Torgersen,female,2009,Adelie
adelie_127,Torgersen,male,2009,Adelie
adelie_128,Torgersen,female,2009,Adelie
adelie_129,Torgersen,male,2009,Adelie
adelie_130,Torgersen,female,2009,Adelie
adelie_131,Torgersen,male,2009,Adelie
adelie_132,Dream,female,2009,Adelie
adelie_133,Dream,male,2009,Adelie
adelie_134,Dream,female,2009,Adelie
adelie_135,Dream,male,2009,Adelie
adelie_136,Dream,female,2009,Adelie
adelie_137,Dream,male,2009,Adelie
adelie_138,Dream,female,2009,Adelie
adelie_139,Dream,male,2009,Adelie
adelie_140,Dream,female,2009,Adelie
adelie_141,Dream,male,2009,Adelie
adelie_142,Dream,female,2009,Adelie
adelie_143,Dream,male,2009,Adelie
adelie_144,Dream,female,2009,Adelie
adelie_145,Dream,male,2009,Adelie
adelie_146,Dream,male,2009,Adelie
adelie_147,Dream,female,2009,Adelie
adelie_148,Dream,female,2009,Adelie
adelie_149,Dream,male,2009,Adelie
adelie_150,Dream,female,2009,Adelie
adelie_151,Dream,male,2009,Adelie
