gene	rep_a	rep_b	mean_expression	regulation
ENSG00061	1.9602	1.3886	1.6744	unchanged
ENSG00062	1.0284	1.45	1.2392	unchanged
ENSG00063	5.2217	5.2284	5.225	unchanged
ENSG00064	0.6327	0.8243	0.7285	unchanged
ENSG00065	2.4645	0.9046	1.6845	down in B
ENSG00066	1.0827	1.7159	1.3993	unchanged
ENSG00067	8.4956	8.3216	8.4086	unchanged
ENSG00068	2.325	3.0581	2.6916	unchanged
ENSG00069	1.7336	13.1821	7.4579	up in B
ENSG00070	1.3567	0.9534	1.1551	unchanged
ENSG00071	1.8704	1.5382	1.7043	unchanged
ENSG00072	4.5995	5.7994	5.1995	unchanged
ENSG00073	1.6024	1.6392	1.6208	unchanged
ENSG00074	1.9735	1.733	1.8533	unchanged
ENSG00075	2.2933	2.8361	2.5647	unchanged
ENSG00076	5.8364	5.7916	5.814	unchanged
ENSG00077	5.2024	5.6135	5.408	unchanged
ENSG00078	1.6066	1.0177	1.3122	unchanged
ENSG00079	0.9592	0.8712	0.9152	unchanged
ENSG00080	3.9474	3.9897	3.9685	unchanged
ENSG00081	6.7288	8.1442	7.4365	unchanged
ENSG00082	0.4175	0.6671	0.5423	unchanged
ENSG00083	3.4461	3.0578	3.2519	unchanged
ENSG00084	2.3978	1.5775	1.9877	unchanged
ENSG00085	15.3165	15.0093	15.1629	unchanged
ENSG00086	10.2812	9.0356	9.6584	unchanged
ENSG00087	1.014	0.5238	0.7689	unchanged
ENSG00088	0.9535	1.38	1.1667	unchanged
ENSG00089	3.2178	3.2526	3.2352	unchanged
ENSG00090	0.3875	0.1548	0.2711	unchanged
ENSG00091	0.829	0.4914	0.6602	unchanged
ENSG00092	9.848	9.6764	9.7622	unchanged
ENSG00093	0.819	1.3084	1.0637	unchanged
ENSG00094	2.7568	2.2311	2.4939	unchanged
ENSG00095	2.7896	3.0326	2.9111	unchanged
ENSG00096	0.5929	0.5233	0.5581	unchanged
ENSG00097	1.9013	2.8812	2.3913	unchanged
ENSG00098	0.8926	0.8652	0.8789	unchanged
ENSG00099	6.0913	10.569	8.3301	up in B
ENSG00100	8.6434	9.383	9.0132	unchanged
ENSG00101	3.5143	3.1517	3.333	unchanged
ENSG00102	2.0168	2.5159	2.2664	unchanged
ENSG00103	0.8973	0.3677	0.6325	unchanged
ENSG00104	8.5091	8.9915	8.7503	unchanged
ENSG00105	3.0815	3.4062	3.2439	unchanged
ENSG00106	5.0497	5.4637	5.2567	unchanged
ENSG00107	3.4613	6.1574	4.8094	up in B
ENSG00108	2.667	2.5225	2.5948	unchanged
ENSG00109	10.0588	10.7232	10.391	unchanged
ENSG00110	7.646	8.8235	8.2348	unchanged
ENSG00111	2.9447	3.6038	3.2742	unchanged
ENSG00112	1.3665	0.1463	0.7564	unchanged
ENSG00113	4.6155	17.9416	11.2785	up in B
ENSG00114	3.3864	2.2244	2.8054	unchanged
ENSG00115	2.211	1.49	1.8505	unchanged
ENSG00116	2.5636	2.5886	2.5761	unchanged
ENSG00117	3.9538	3.2343	3.5941	unchanged
ENSG00118	2.1363	3.7392	2.9377	unchanged
ENSG00119	2.825	2.141	2.483	unchanged
ENSG00120	2.3791	2.6857	2.5324	unchanged
ENSG00121	1.8531	0.5243	1.1887	down in B
ENSG00122	0.5885	0.891	0.7397	unchanged
ENSG00123	0.1953	0.5578	0.3765	unchanged
ENSG00124	7.4064	7.0281	7.2172	unchanged
ENSG00125	2.0583	1.9673	2.0128	unchanged
ENSG00126	1.2844	1.0785	1.1815	unchanged
ENSG00127	2.4469	3.2225	2.8347	unchanged
ENSG00128	5.8091	5.0367	5.4229	unchanged
ENSG00129	0.4184	1.3179	0.8681	unchanged
ENSG00130	4.7704	4.1864	4.4784	unchanged
ENSG00131	2.0475	2.5592	2.3034	unchanged
ENSG00132	0.901	1.2799	1.0904	unchanged
ENSG00133	2.6766	2.6368	2.6567	unchanged
ENSG00134	9.2431	2.5053	5.8742	down in B
ENSG00135	2.1721	0.7794	1.4757	down in B
ENSG00136	3.9359	3.9499	3.9429	unchanged
ENSG00137	0.3815	0.1829	0.2822	unchanged
ENSG00138	6.697	6.6089	6.6529	unchanged
ENSG00139	8.2871	6.6087	7.4479	unchanged
ENSG00140	1.5281	1.8868	1.7075	unchanged
ENSG00141	0.6218	0.3033	0.4626	unchanged
ENSG00142	28.6617	28.1917	28.4267	unchanged
ENSG00143	2.2819	3.611	2.9464	unchanged
ENSG00144	13.5029	6.3736	9.9383	down in B
ENSG00145	1.4519	1.9032	1.6775	unchanged
ENSG00146	1.329	0.676	1.0025	unchanged
ENSG00147	5.2286	5.1472	5.1879	unchanged
ENSG00148	1.8885	2.0337	1.9611	unchanged
ENSG00149	3.1807	2.6179	2.8993	unchanged
ENSG00150	1.6204	0.7078	1.1641	unchanged
ENSG00151	3.9395	3.2763	3.6079	unchanged
ENSG00152	4.8422	2.2847	3.5634	unchanged
ENSG00153	10.7519	10.0984	10.4251	unchanged
ENSG00154	16.678	19.0024	17.8402	unchanged
ENSG00155	6.0921	5.8193	5.9557	unchanged
ENSG00156	1.2582	1.4351	1.3466	unchanged
ENSG00157	0.2696	0.7088	0.4892	unchanged
ENSG00158	1.5921	2.1413	1.8667	unchanged
ENSG00159	0.628	0.8978	0.7629	unchanged
ENSG00160	1.2043	0.3965	0.8004	down in B
ENSG00161	1.4595	2.2306	1.8451	unchanged
ENSG00162	3.9096	3.2819	3.5958	unchanged
ENSG00163	1.1318	1.0305	1.0811	unchanged
ENSG00164	1.2954	1.6043	1.4499	unchanged
ENSG00165	3.8266	4.205	4.0158	unchanged
ENSG00166	1.3771	1.16	1.2686	unchanged
ENSG00167	5.6397	5.4602	5.5499	unchanged
ENSG00168	1.0765	1.3607	1.2186	unchanged
ENSG00169	0.7107	1.3915	1.0511	unchanged
ENSG00170	2.1669	1.5837	1.8753	unchanged
ENSG00171	2.3767	2.3098	2.3432	unchanged
ENSG00172	6.9677	6.0728	6.5202	unchanged
ENSG00173	6.239	7.4248	6.8319	unchanged
ENSG00174	9.1369	10.2157	9.6763	unchanged
ENSG00175	6.3424	7.4019	6.8721	unchanged
ENSG00176	1.2061	1.2934	1.2497	unchanged
ENSG00177	2.6586	2.1806	2.4196	unchanged
ENSG00178	1.1111	0.8197	0.9654	unchanged
ENSG00179	1.8716	7.3786	4.6251	up in B
ENSG00180	2.9468	2.6717	2.8092	unchanged
ENSG00181	1.8787	2.5782	2.2285	unchanged
ENSG00182	3.82	2.7525	3.2863	unchanged
ENSG00183	1.7587	1.5137	1.6362	unchanged
ENSG00184	3.0685	3.9443	3.5064	unchanged
ENSG00185	4.6968	5.1074	4.9021	unchanged
ENSG00186	2.6561	2.17	2.4131	unchanged
ENSG00187	2.3842	2.4424	2.4133	unchanged
ENSG00188	1.2993	1.5465	1.4229	unchanged
ENSG00189	1.0971	0.7881	0.9426	unchanged
ENSG00190	2.8191	3.4093	3.1142	unchanged
ENSG00191	3.5963	4.8493	4.2228	unchanged
ENSG00192	11.3694	32.696	22.0327	up in B
ENSG00193	5.2833	3.2495	4.2664	unchanged
ENSG00194	3.1968	3.9815	3.5891	unchanged
ENSG00195	15.3517	14.5658	14.9588	unchanged
ENSG00196	7.2376	8.1028	7.6702	unchanged
ENSG00197	7.2828	6.864	7.0734	unchanged
ENSG00198	0.1133	0.7421	0.4277	up in B
ENSG00199	4.44	4.4782	4.4591	unchanged
ENSG00200	4.734	3.409	4.0715	unchanged
ENSG00201	4.4157	3.5689	3.9923	unchanged
ENSG00202	0.4734	0.3348	0.4041	unchanged
ENSG00203	5.0823	5.4622	5.2722	unchanged
ENSG00204	3.0272	6.6206	4.8239	up in B
ENSG00205	0.3499	0.6031	0.4765	unchanged
ENSG00206	1.4306	1.5626	1.4966	unchanged
ENSG00207	2.2426	1.509	1.8758	unchanged
ENSG00208	3.919	3.5144	3.7167	unchanged
ENSG00209	35.1333	41.0122	38.0727	unchanged
ENSG00210	10.496	11.4735	10.9848	unchanged
ENSG00211	1.5852	2.0602	1.8227	unchanged
ENSG00212	4.3694	5.2217	4.7955	unchanged
ENSG00213	2.4753	2.8021	2.6387	unchanged
ENSG00214	1.7805	1.4388	1.6097	unchanged
ENSG00215	2.5982	3.1146	2.8564	unchanged
ENSG00216	1.1127	0.6171	0.8649	unchanged
ENSG00217	6.0054	6.6918	6.3486	unchanged
ENSG00218	9.0401	9.193	9.1166	unchanged
ENSG00219	3.4691	6.1442	4.8066	up in B
ENSG00220	1.3779	0.8786	1.1282	unchanged
ENSG00221	4.179	15.083	9.631	up in B
ENSG00222	2.1894	1.3526	1.771	unchanged
ENSG00223	3.7548	8.8211	6.2879	up in B
ENSG00224	3.5762	3.988	3.7821	unchanged
ENSG00225	2.0248	2.2388	2.1318	unchanged
ENSG00226	5.7043	4.6148	5.1595	unchanged
ENSG00227	0.929	1.5037	1.2163	unchanged
ENSG00228	1.1855	0.8295	1.0075	unchanged
ENSG00229	2.5449	2.0752	2.31	unchanged
ENSG00230	1.281	1.0399	1.1604	unchanged
ENSG00231	1.9905	1.8103	1.9004	unchanged
ENSG00232	6.0568	5.1181	5.5874	unchanged
ENSG00233	3.8318	5.7804	4.8061	unchanged
ENSG00234	2.7612	2.1958	2.4785	unchanged
ENSG00235	7.0941	8.09	7.5921	unchanged
ENSG00236	12.4539	11.5945	12.0242	unchanged
ENSG00237	1.3225	1.828	1.5753	unchanged
ENSG00238	2.8634	3.4317	3.1476	unchanged
ENSG00239	0.9385	1.0653	1.0019	unchanged
ENSG00240	4.7974	7.1561	5.9767	unchanged
ENSG00241	5.7449	6.8253	6.2851	unchanged
ENSG00242	1.5122	1.7737	1.6429	unchanged
ENSG00243	1.326	1.2849	1.3055	unchanged
ENSG00244	5.1921	4.4259	4.809	unchanged
ENSG00245	7.1346	3.0525	5.0936	down in B
ENSG00246	2.4131	2.8227	2.6179	up in B
ENSG00247	14.3875	3.049	8.7182	down in B
ENSG00248	5.3423	4.142	4.7422	unchanged
ENSG00249	1.3182	1.2087	1.2634	unchanged
ENSG00250	3.6853	2.8323	3.2588	unchanged
ENSG00251	5.7454	5.9067	5.8261	unchanged
ENSG00252	1.6169	1.2085	1.4127	unchanged
ENSG00253	1.1428	0.5707	0.8567	down in B
ENSG00254	1.4926	2.4386	1.9656	unchanged
ENSG00255	6.6509	7.3707	7.0108	unchanged
ENSG00256	4.6753	4.4254	4.5503	unchanged
ENSG00257	1.7669	0.6613	1.2141	unchanged
ENSG00258	1.9903	2.2105	2.1004	unchanged
ENSG00259	7.1348	8.4522	7.7935	unchanged
ENSG00260	7.4081	26.6	17.0041	up in B
ENSG00261	6.4196	6.7918	6.6057	unchanged
ENSG00262	16.4479	17.0118	16.7298	unchanged
ENSG00263	0.3375	1.5295	0.9335	unchanged
ENSG00264	3.0208	2.0656	2.5432	unchanged
ENSG00265	20.2554	18.6431	19.4493	unchanged
ENSG00266	1.6205	0.6217	1.1211	down in B
ENSG00267	6.2281	5.5907	5.9094	unchanged
ENSG00268	1.5363	1.222	1.3792	unchanged
ENSG00269	2.8907	11.8273	7.359	up in B
ENSG00270	1.0103	2.1304	1.5703	up in B
ENSG00271	1.7596	2.1494	1.9545	unchanged
ENSG00272	2.6765	3.4433	3.0599	unchanged
ENSG00273	0.5881	3.045	1.8166	up in B
ENSG00274	2.7213	2.8666	2.7939	unchanged
ENSG00275	3.1015	2.9657	3.0336	unchanged
ENSG00276	2.5316	2.0334	2.2825	unchanged
ENSG00277	0.7663	0.7899	0.7781	unchanged
ENSG00278	3.885	3.9043	3.8946	unchanged
ENSG00279	1.6371	0.9797	1.3084	unchanged
ENSG00280	0.4935	1.1732	0.8334	unchanged
ENSG00281	0.4144	1.1284	0.7714	unchanged
ENSG00282	1.5384	2.2117	1.875	unchanged
ENSG00283	5.286	6.1976	5.7418	unchanged
ENSG00284	2.9223	2.3517	2.637	unchanged
ENSG00285	3.5222	2.4806	3.0014	unchanged
ENSG00286	1.5596	1.7047	1.6321	unchanged
ENSG00287	2.7755	2.1678	2.4716	unchanged
ENSG00288	3.0384	1.5265	2.2824	unchanged
ENSG00289	2.9404	3.3839	3.1621	unchanged
ENSG00290	0.5071	0.1924	0.3497	unchanged
ENSG00291	4.6692	3.6446	4.1569	unchanged
ENSG00292	1.3971	1.2166	1.3068	unchanged
ENSG00293	0.8556	2.4375	1.6466	up in B
ENSG00294	11.3675	11.4824	11.4249	unchanged
ENSG00295	0.1233	0.4349	0.2791	unchanged
ENSG00296	1.0831	1.7996	1.4413	up in B
ENSG00297	4.3869	3.8775	4.1322	unchanged
ENSG00298	2.3705	2.3023	2.3364	unchanged
ENSG00299	0.15	0.1465	0.1482	unchanged
ENSG00300	13.4906	12.8877	13.1892	unchanged
ENSG00301	4.8685	5.0774	4.9729	unchanged
ENSG00302	1.8259	1.8921	1.859	unchanged
ENSG00303	5.1893	4.3996	4.7944	unchanged
ENSG00304	1.4036	2.0534	1.7285	unchanged
ENSG00305	2.1555	1.8427	1.9991	unchanged
ENSG00306	14.4659	14.1993	14.3326	unchanged
ENSG00307	1.1135	1.2131	1.1633	unchanged
ENSG00308	5.4666	4.7221	5.0944	unchanged
ENSG00309	6.4031	5.5333	5.9682	unchanged
ENSG00310	20.0235	18.3147	19.1691	unchanged
ENSG00311	3.3063	3.1647	3.2355	unchanged
ENSG00312	1.0229	0.1953	0.6091	down in B
ENSG00313	3.064	3.2935	3.1787	unchanged
ENSG00314	2.9825	3.4014	3.1919	unchanged
ENSG00315	3.6156	1.4123	2.5139	down in B
ENSG00316	7.7573	7.3416	7.5495	unchanged
ENSG00317	5.6521	7.2994	6.4758	unchanged
ENSG00318	4.2335	4.2362	4.2348	unchanged
ENSG00319	2.9345	2.3543	2.6444	unchanged
ENSG00320	1.4367	1.1084	1.2725	unchanged
ENSG00321	3.3133	10.1902	6.7517	up in B
ENSG00322	2.3049	6.1322	4.2185	up in B
ENSG00323	1.2329	1.3465	1.2897	unchanged
ENSG00324	0.2905	0.3951	0.3428	unchanged
ENSG00325	1.3276	1.8585	1.5931	unchanged
ENSG00326	2.3734	3.6954	3.0344	unchanged
ENSG00327	4.9798	4.6027	4.7912	unchanged
ENSG00328	9.5811	9.3879	9.4845	unchanged
ENSG00329	6.408	7.8103	7.1091	unchanged
ENSG00330	2.6614	1.8836	2.2725	unchanged
ENSG00331	7.9672	8.408	8.1876	unchanged
ENSG00332	2.9908	4.0499	3.5204	unchanged
ENSG00333	13.5326	13.9108	13.7217	unchanged
ENSG00334	1.1538	1.6584	1.4061	unchanged
ENSG00335	45.1589	43.6972	44.428	unchanged
ENSG00336	3.2226	2.7121	2.9674	unchanged
ENSG00337	1.2712	0.7001	0.9856	unchanged
ENSG00338	3.8446	2.9521	3.3983	unchanged
ENSG00339	1.3712	1.1251	1.2482	unchanged
ENSG00340	2.0731	3.0807	2.5769	unchanged
ENSG00341	5.5527	6.5623	6.0575	unchanged
ENSG00342	0.8103	1.9626	1.3865	unchanged
ENSG00343	1.6166	1.9326	1.7746	unchanged
ENSG00344	3.2538	4.466	3.8599	unchanged
ENSG00345	2.1118	1.3367	1.7243	unchanged
ENSG00346	0.5579	0.5045	0.5312	unchanged
ENSG00347	1.0275	1.1348	1.0812	unchanged
ENSG00348	8.1803	8.047	8.1137	unchanged
ENSG00349	31.1801	30.2468	30.7134	unchanged
ENSG00350	7.3045	6.5809	6.9427	unchanged
ENSG00351	4.9728	4.1093	4.5411	unchanged
ENSG00352	12.1443	12.7555	12.4499	unchanged
ENSG00353	1.8864	1.9757	1.931	unchanged
ENSG00354	0.419	0.4481	0.4336	unchanged
ENSG00355	1.6428	1.7832	1.713	unchanged
ENSG00356	14.4032	15.4974	14.9503	unchanged
ENSG00357	3.7795	3.1446	3.462	unchanged
ENSG00358	12.9596	13.8509	13.4053	unchanged
ENSG00359	0.5583	0.9143	0.7363	unchanged
ENSG00360	5.4165	5.2334	5.325	unchanged
ENSG00361	0.8647	1.2179	1.0413	unchanged
ENSG00362	6.7359	4.6387	5.6873	unchanged
ENSG00363	13.863	12.6561	13.2596	unchanged
ENSG00364	14.9567	13.6836	14.3202	unchanged
ENSG00365	0.628	1.2189	0.9234	unchanged
ENSG00366	4.055	2.9754	3.5152	unchanged
ENSG00367	0.5158	1.0944	0.8051	unchanged
ENSG00368	7.339	7.8224	7.5807	unchanged
ENSG00369	2.7998	2.2252	2.5125	unchanged
ENSG00370	3.3565	3.1039	3.2302	unchanged
ENSG00371	6.4185	6.4553	6.4369	unchanged
ENSG00372	6.3563	1.3391	3.8477	down in B
ENSG00373	4.0956	9.5172	6.8064	up in B
ENSG00374	1.7488	1.4919	1.6203	unchanged
ENSG00375	4.6437	5.0325	4.8381	unchanged
ENSG00376	1.4743	1.3087	1.3915	unchanged
ENSG00377	9.7624	9.8155	9.7889	unchanged
ENSG00378	1.8126	1.9343	1.8735	unchanged
ENSG00379	4.1789	4.9666	4.5728	unchanged
ENSG00380	12.8367	13.1485	12.9926	unchanged
ENSG00381	0.6484	0.5688	0.6086	unchanged
ENSG00382	1.2926	0.6718	0.9822	unchanged
ENSG00383	4.1968	3.5176	3.8572	unchanged
ENSG00384	1.8108	1.5747	1.6928	unchanged
ENSG00385	1.2741	1.3625	1.3183	unchanged
ENSG00386	10.2447	10.0664	10.1556	unchanged
ENSG00387	11.6418	13.1913	12.4165	unchanged
ENSG00388	3.4435	3.3626	3.4031	unchanged
ENSG00389	0.8287	2.8666	1.8477	up in B
ENSG00390	0.8857	1.4635	1.1746	unchanged
ENSG00391	6.6947	6.4265	6.5606	unchanged
ENSG00392	6.1564	7.5949	6.8757	unchanged
ENSG00393	4.8769	4.2149	4.5459	unchanged
ENSG00394	6.5802	6.493	6.5366	unchanged
ENSG00395	1.538	1.0404	1.2892	unchanged
ENSG00396	2.7451	2.2533	2.4992	unchanged
ENSG00397	16.0584	18.2956	17.177	unchanged
ENSG00398	8.5581	2.4573	5.5077	down in B
ENSG00399	5.2398	5.9855	5.6127	unchanged
ENSG00400	12.9594	12.1366	12.548	unchanged
ENSG00401	10.0744	11.1937	10.6341	unchanged
ENSG00402	1.7465	1.3834	1.5649	unchanged
ENSG00403	2.3784	1.4224	1.9004	unchanged
ENSG00404	0.3804	0.5678	0.4741	unchanged
ENSG00405	5.0972	1.4725	3.2848	down in B
ENSG00406	2.1852	1.7219	1.9535	unchanged
ENSG00407	5.7219	5.9145	5.8182	unchanged
ENSG00408	4.5333	3.5977	4.0655	unchanged
ENSG00409	5.0896	15.6288	10.3592	up in B
ENSG00410	3.4414	1.3017	2.3716	down in B
ENSG00411	2.1581	2.2316	2.1949	unchanged
ENSG00412	9.6292	8.4454	9.0373	unchanged
ENSG00413	5.5408	4.8966	5.2187	unchanged
ENSG00414	33.9983	33.8958	33.9471	unchanged
ENSG00415	2.6715	2.1981	2.4348	unchanged
ENSG00416	3.976	2.6544	3.3152	unchanged
ENSG00417	17.2895	16.3632	16.8263	unchanged
ENSG00418	2.399	3.6944	3.0467	unchanged
ENSG00419	3.4339	2.8031	3.1185	unchanged
ENSG00420	6.3689	6.4813	6.4251	unchanged
ENSG00421	0.8627	1.0421	0.9524	unchanged
ENSG00422	4.3292	3.5368	3.933	unchanged
ENSG00423	1.8672	1.6088	1.738	unchanged
ENSG00424	6.1517	6.989	6.5704	unchanged
ENSG00425	0.8987	0.9385	0.9186	unchanged
ENSG00426	1.1389	4.8508	2.9948	up in B
ENSG00427	0.7653	0.9272	0.8462	up in B
ENSG00428	3.2696	1.7825	2.526	unchanged
ENSG00429	6.0846	5.1546	5.6196	unchanged
ENSG00430	14.6738	16.629	15.6514	unchanged
ENSG00431	2.0591	1.0891	1.5741	unchanged
ENSG00432	0.9182	0.1389	0.5286	down in B
ENSG00433	2.7226	2.4466	2.5846	unchanged
ENSG00434	6.4868	5.1218	5.8043	unchanged
ENSG00435	2.1306	1.7978	1.9642	unchanged
ENSG00436	4.4823	4.3323	4.4073	unchanged
ENSG00437	1.064	0.65	0.857	unchanged
ENSG00438	18.9551	18.4616	18.7083	unchanged
ENSG00439	2.7748	2.8926	2.8337	unchanged
ENSG00440	0.4885	2.0605	1.2745	up in B
ENSG00441	1.7954	1.6943	1.7448	unchanged
ENSG00442	5.0021	6.0154	5.5087	unchanged
ENSG00443	8.3683	32.4566	20.4124	up in B
ENSG00444	17.7277	15.2293	16.4785	unchanged
ENSG00445	0.8629	0.9412	0.9021	unchanged
ENSG00446	3.3857	0.6397	2.0127	down in B
ENSG00447	3.083	3.8828	3.4829	unchanged
ENSG00448	2.093	3.6087	2.8509	up in B
ENSG00449	18.3666	20.3688	19.3677	unchanged
ENSG00450	2.1762	2.072	2.1241	unchanged
ENSG00451	3.1049	3.8665	3.4857	unchanged
ENSG00452	3.429	3.25	3.3395	unchanged
ENSG00453	1.8271	6.6625	4.2448	up in B
ENSG00454	0.7375	0.8171	0.7773	unchanged
ENSG00455	1.6225	0.2358	0.9292	down in B
ENSG00456	1.7349	1.7126	1.7237	unchanged
ENSG00457	16.2581	16.4513	16.3547	unchanged
ENSG00458	2.3393	2.4719	2.4056	unchanged
ENSG00459	2.4935	2.292	2.3928	unchanged
ENSG00460	1.2958	0.458	0.8769	unchanged
ENSG00461	8.2147	8.5809	8.3978	unchanged
ENSG00462	4.1436	9.2528	6.6982	up in B
ENSG00463	4.3504	1.4683	2.9094	down in B
ENSG00464	5.6899	5.957	5.8234	unchanged
ENSG00465	1.8428	0.6119	1.2273	down in B
ENSG00466	15.4729	17.6532	16.563	unchanged
ENSG00467	0.398	1.151	0.7745	unchanged
ENSG00468	1.5865	1.6246	1.6055	unchanged
ENSG00469	2.1987	2.509	2.3538	unchanged
ENSG00470	4.2445	4.0916	4.1681	unchanged
ENSG00471	1.5578	0.7366	1.1472	unchanged
ENSG00472	12.0265	21.9475	16.987	up in B
ENSG00473	1.5968	1.2803	1.4386	unchanged
ENSG00474	19.9987	18.2729	19.1358	unchanged
ENSG00475	18.6177	16.4213	17.5195	unchanged
ENSG00476	11.5737	10.8505	11.2121	unchanged
ENSG00477	1.8133	2.4493	2.1313	unchanged
ENSG00478	1.4022	0.4342	0.9182	down in B
ENSG00479	1.0116	1.2428	1.1272	unchanged
ENSG00480	6.7192	36.0608	21.39	up in B
ENSG00481	0.5218	1.0757	0.7988	unchanged
ENSG00482	2.4799	0.7291	1.6045	down in B
ENSG00483	2.873	3.7656	3.3193	unchanged
ENSG00484	2.4283	2.2049	2.3166	unchanged
ENSG00485	6.9789	8.6387	7.8088	unchanged
ENSG00486	2.727	2.8014	2.7642	unchanged
ENSG00487	1.6791	1.926	1.8026	unchanged
ENSG00488	4.0946	4.6065	4.3506	unchanged
ENSG00489	12.4323	12.8407	12.6365	unchanged
ENSG00490	0.4031	0.7459	0.5745	unchanged
ENSG00491	0.8393	0.6167	0.728	unchanged
ENSG00492	2.3366	3.0715	2.704	unchanged
ENSG00493	1.3052	1.0936	1.1994	unchanged
ENSG00494	2.7745	13.185	7.9797	up in B
ENSG00495	0.3874	0.9408	0.6641	unchanged
ENSG00496	2.8068	3.1893	2.998	unchanged
ENSG00497	5.8107	5.3268	5.5687	unchanged
ENSG00498	3.3404	0.7795	2.06	down in B
ENSG00499	6.8976	6.749	6.8233	unchanged
ENSG00500	1.0524	0.9036	0.978	unchanged
ENSG00501	1.7313	6.6859	4.2086	up in B
ENSG00502	3.1467	2.6091	2.8779	unchanged
ENSG00503	5.0757	3.4268	4.2512	unchanged
ENSG00504	0.9973	1.0455	1.0214	unchanged
ENSG00505	1.2796	1.7086	1.4941	unchanged
ENSG00506	3.7288	3.1265	3.4277	unchanged
ENSG00507	0.5993	0.9034	0.7513	unchanged
ENSG00508	5.0147	4.0658	4.5403	unchanged
ENSG00509	3.3329	2.0099	2.6714	unchanged
ENSG00510	0.7484	1.1918	0.9701	unchanged
ENSG00511	0.7485	1.0582	0.9033	unchanged
ENSG00512	5.7385	4.3902	5.0643	unchanged
ENSG00513	1.2372	1.4799	1.3585	unchanged
ENSG00514	2.9434	2.6169	2.7801	unchanged
ENSG00515	4.0333	2.7448	3.3891	unchanged
ENSG00516	1.4355	1.6837	1.5596	unchanged
ENSG00517	12.3522	11.0464	11.6993	unchanged
ENSG00518	0.4388	0.2901	0.3644	unchanged
ENSG00519	7.2124	6.4861	6.8492	unchanged
ENSG00520	3.4671	3.0286	3.2479	unchanged
ENSG00521	1.6028	1.8464	1.7246	unchanged
ENSG00522	3.3411	2.2987	2.8199	unchanged
ENSG00523	0.4748	0.7094	0.5921	unchanged
