cell_id	cluster	gene_01	gene_02	gene_03	gene_04	gene_05	gene_06	gene_07	gene_08	gene_09	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49	gene_50	gene_51	gene_52	gene_53	gene_54	gene_55	gene_56	gene_57	gene_58	gene_59	gene_60
cell_0294	cluster_2	1.97	2.575	0.0	32.744	4.183	0.794	2.267	1.785	5.589	2.322	3.07	4.239	3.799	4.729	3.753	0.0	3.529	0.0	3.962	7.895	8.238	4.071	6.302	2.982	2.848	0.558	7.417	2.798	6.25	6.752	2.025	11.724	0.714	5.841	1.392	16.586	1.681	2.493	5.613	1.363	8.248	1.12	0.991	3.024	0.0	11.268	3.617	6.697	1.952	1.132	9.112	0.0	1.059	5.076	3.746	3.477	1.622	0.0	4.274	4.251
cell_0423	cluster_3	1.756	0.625	2.42	3.269	12.341	31.218	4.957	10.473	2.201	8.291	1.376	2.875	2.365	1.384	2.761	1.93	7.705	2.757	7.343	12.507	2.422	6.012	2.774	6.208	0.0	2.14	4.298	2.748	2.325	2.059	1.996	3.173	0.905	2.751	3.681	1.012	1.785	7.622	3.335	1.747	7.894	7.747	4.063	0.0	2.673	3.106	11.319	4.656	14.766	3.893	5.698	0.0	3.096	3.677	11.021	2.229	5.479	5.403	2.679	5.016
cell_0155	cluster_1	26.455	14.966	5.408	5.672	10.517	6.131	5.443	1.498	2.183	5.271	2.936	1.255	3.293	3.857	1.198	6.698	0.0	0.763	3.386	2.118	4.219	3.67	1.012	3.834	3.766	3.49	0.0	7.23	1.402	4.548	2.455	1.19	0.554	1.922	0.0	0.686	0.0	4.247	0.0	0.76	1.505	1.119	2.141	1.624	3.854	1.558	6.997	2.372	2.702	4.541	5.142	1.272	4.706	4.616	1.634	1.454	0.926	2.845	0.29	4.817
cell_0150	cluster_1	21.123	17.189	1.86	0.0	6.695	3.035	3.758	2.982	0.705	1.84	1.069	1.835	1.2	1.549	12.426	15.926	2.197	4.023	4.205	18.964	8.274	2.332	4.725	1.633	3.397	1.641	2.956	3.851	3.959	5.019	0.0	0.0	3.201	0.0	5.0	1.86	4.385	2.722	10.297	11.522	3.25	3.094	1.833	10.226	3.82	1.996	1.631	13.963	2.079	7.177	3.432	1.252	0.0	0.0	2.197	3.681	4.0	2.676	2.483	1.982
cell_0587	cluster_3	1.805	2.635	1.758	1.589	4.28	5.362	1.332	2.718	0.931	3.338	2.697	0.0	2.847	14.239	5.748	2.668	0.83	5.73	2.982	4.492	0.0	1.494	5.781	1.836	2.517	2.271	2.273	2.81	2.774	1.331	2.488	4.0	3.679	1.584	3.796	1.877	1.953	2.303	2.101	4.429	2.878	1.555	2.887	0.761	2.488	2.401	2.234	1.622	0.0	2.378	2.161	1.621	1.294	3.133	3.973	0.0	0.608	2.73	5.526	3.219
cell_0466	cluster_3	1.408	3.534	0.927	0.0	5.749	60.569	0.896	4.856	3.714	7.464	4.937	2.804	4.14	2.908	3.972	0.834	1.341	2.839	0.0	5.941	3.666	0.915	1.888	4.026	5.67	2.656	2.492	0.0	0.0	0.0	1.848	9.552	1.573	5.864	2.054	2.546	1.474	6.316	0.0	0.0	1.263	1.974	2.57	2.084	2.069	1.745	1.116	0.0	1.911	1.656	2.826	0.0	2.958	3.249	1.41	6.911	4.473	2.449	1.692	0.9
cell_0334	cluster_2	0.0	3.155	14.99	34.25	2.043	1.88	4.212	1.696	4.064	3.734	1.156	0.982	2.542	2.071	3.547	0.886	1.479	0.663	2.092	2.366	0.0	0.0	2.34	3.132	1.483	1.614	2.123	0.0	2.83	2.15	1.937	2.58	4.292	1.629	4.267	6.28	2.086	1.909	1.423	0.0	3.422	0.0	4.683	3.112	1.415	5.43	2.086	9.365	3.385	1.957	0.845	3.625	2.027	1.95	1.045	1.155	2.163	0.867	1.292	5.788
cell_0149	cluster_1	12.934	27.485	2.054	3.815	3.149	2.298	7.652	0.895	2.563	0.0	1.716	4.947	1.392	13.534	3.607	0.0	4.85	0.723	9.179	0.971	0.496	1.514	1.676	3.133	3.249	4.56	2.665	0.0	4.673	0.0	0.52	1.933	0.0	1.174	1.179	0.962	0.5	1.557	3.094	2.157	2.128	1.228	1.553	2.263	0.49	1.571	0.59	1.246	2.317	1.014	3.606	1.811	3.03	0.62	1.171	4.159	0.0	2.697	2.538	5.174
cell_0444	cluster_3	0.349	5.475	1.435	6.254	0.0	40.537	4.67	3.04	1.34	0.0	2.778	1.853	3.564	0.61	2.248	0.81	0.774	2.062	3.496	0.212	4.605	0.571	1.252	2.179	1.289	4.16	2.008	1.131	1.696	2.923	1.982	0.453	0.632	1.273	1.337	0.617	0.347	1.032	0.543	0.528	0.637	1.744	1.594	1.178	1.181	1.935	1.261	0.0	0.0	0.985	0.984	0.927	2.561	0.812	2.108	1.324	0.0	2.407	1.597	4.218
cell_0230	cluster_2	4.524	12.586	51.005	148.094	6.779	5.299	6.913	10.683	11.085	0.0	4.055	4.781	1.152	12.673	4.893	2.801	7.835	1.298	3.185	2.318	3.158	2.648	0.0	4.265	5.333	2.701	15.342	2.763	9.161	7.45	1.66	3.405	4.61	0.0	2.486	5.556	7.399	2.812	1.652	0.0	1.879	0.0	0.0	2.837	2.102	18.482	2.536	3.289	1.77	3.742	11.346	7.893	9.51	17.252	5.582	2.609	1.952	10.107	2.246	5.03
cell_0055	cluster_1	4.762	5.714	2.565	2.768	2.301	3.239	0.303	2.3	1.947	2.914	2.734	2.575	4.247	2.658	0.93	1.648	6.98	0.918	0.741	2.296	2.361	4.411	5.442	1.755	2.493	2.197	7.799	2.936	0.0	1.988	0.0	3.772	3.76	1.163	5.971	1.502	4.189	2.121	3.043	0.0	1.679	1.624	4.794	0.0	3.433	5.77	2.977	0.0	1.421	2.226	0.855	1.967	2.42	7.632	5.162	0.343	3.064	1.521	2.157	3.904
cell_0541	cluster_3	1.185	2.343	2.806	1.249	19.895	0.0	5.479	0.0	0.0	2.95	1.119	1.538	0.544	0.0	0.0	11.877	1.939	1.031	3.635	3.299	7.454	13.315	0.58	3.022	5.305	5.501	4.842	3.137	1.428	1.393	3.119	5.942	3.246	4.348	5.994	0.867	9.065	1.889	2.646	6.576	0.913	2.314	6.572	2.152	10.657	2.575	0.391	2.941	6.284	0.507	2.005	4.358	4.294	3.612	0.0	3.538	1.024	5.892	2.815	4.152
cell_0001	cluster_1	32.505	19.662	6.853	0.445	2.437	1.914	1.904	2.795	4.011	1.57	2.504	4.432	2.109	3.58	1.501	3.283	1.197	3.216	3.207	9.817	5.105	0.0	2.309	2.892	1.402	7.027	3.435	2.984	11.855	2.881	4.632	0.0	1.562	1.479	0.0	2.502	7.061	1.815	1.733	0.856	8.501	2.038	2.823	2.144	1.981	0.0	6.503	4.203	3.189	7.025	4.639	6.701	6.883	1.222	2.163	3.028	1.612	1.374	2.421	1.33
cell_0239	cluster_2	4.352	0.0	57.152	59.634	3.962	2.233	12.503	12.407	7.199	3.919	3.262	3.981	13.803	3.757	3.197	6.694	3.496	0.193	0.0	3.755	3.827	3.893	5.438	5.464	5.992	0.719	3.259	5.612	3.361	0.0	3.728	1.415	5.585	3.956	13.397	2.94	2.702	4.374	1.633	6.212	2.418	2.85	6.44	3.468	4.207	4.035	2.395	3.528	1.236	3.693	9.107	4.501	1.521	2.24	3.564	3.952	5.055	10.861	2.674	2.656
cell_0160	cluster_1	7.716	0.0	0.0	1.304	3.556	2.971	0.0	0.0	5.376	4.695	2.834	8.712	0.498	0.97	1.619	1.448	1.59	3.233	2.062	1.504	4.03	1.313	3.258	1.345	4.106	1.802	5.669	3.062	1.798	0.971	1.257	10.309	4.607	2.092	5.699	0.0	2.709	8.103	3.157	8.897	8.25	1.454	0.822	2.661	3.966	2.439	1.332	1.911	2.38	0.0	8.574	1.638	5.221	3.516	2.048	2.474	1.23	5.162	1.717	4.29
cell_0061	cluster_1	7.578	7.626	2.95	2.792	1.338	1.493	0.0	2.671	2.078	1.886	1.097	1.899	0.0	1.527	3.108	0.0	9.531	5.244	0.0	0.0	2.391	2.862	0.617	3.664	0.904	2.605	1.791	1.468	3.965	4.105	9.961	5.36	1.938	0.0	0.0	6.132	1.246	4.511	0.0	0.0	5.656	3.085	3.385	0.0	5.38	5.517	5.16	0.0	3.614	1.064	4.435	1.65	7.627	3.549	1.239	1.39	1.762	3.133	0.0	9.044
cell_0265	cluster_2	0.98	1.873	4.919	12.691	2.121	2.895	1.954	1.641	1.858	0.0	2.617	1.355	2.337	3.148	0.979	4.299	2.064	2.252	0.537	1.032	1.652	2.452	1.501	1.563	0.0	3.312	2.521	1.781	9.243	3.537	1.43	1.035	0.0	2.857	3.347	1.142	2.237	0.811	3.576	1.385	5.077	0.0	4.596	2.296	3.396	2.065	2.336	2.147	4.262	4.363	3.888	1.715	1.753	2.637	1.651	2.122	3.239	2.236	0.722	1.32
cell_0295	cluster_2	5.783	8.566	0.0	7.641	2.255	2.472	3.248	4.272	7.046	2.296	1.623	7.481	1.008	1.701	0.0	2.637	1.922	1.129	2.34	0.789	0.0	1.577	2.708	1.901	2.287	0.871	3.581	1.72	0.0	4.165	2.165	2.22	1.155	2.913	2.163	0.0	1.478	1.904	0.0	4.139	0.0	7.016	3.832	1.53	0.996	0.894	0.0	2.518	2.119	1.288	1.458	3.12	0.0	2.448	0.0	1.393	1.129	0.688	2.005	0.0
cell_0352	cluster_2	0.0	2.26	16.827	0.0	1.697	2.534	1.014	1.05	1.237	0.0	0.511	2.144	0.0	2.542	0.665	3.506	3.243	0.0	0.888	4.752	1.456	1.373	2.223	0.0	4.118	3.476	0.0	0.745	0.0	1.189	5.542	11.434	2.05	0.877	1.706	2.827	3.428	2.862	4.48	4.435	3.649	0.0	0.0	1.457	2.454	0.977	0.0	0.0	3.674	0.0	2.045	1.393	0.391	2.464	0.0	0.0	0.62	1.431	1.792	6.346
cell_0180	cluster_1	8.449	14.437	4.282	2.263	1.207	1.582	2.614	4.17	3.537	11.006	5.014	2.503	3.466	1.631	3.252	0.0	3.98	2.336	1.317	1.802	0.526	2.812	8.061	5.399	0.0	2.334	1.867	1.623	4.042	0.714	0.0	0.893	1.994	6.938	1.578	2.92	2.638	1.126	2.532	3.575	0.0	1.762	2.298	4.557	7.13	0.751	2.368	1.508	2.371	2.029	1.184	2.602	2.758	3.854	0.0	10.385	6.744	3.572	0.0	0.689
cell_0108	cluster_1	12.562	45.122	7.486	1.686	2.623	4.795	4.836	1.186	3.148	8.08	3.61	0.0	28.407	1.206	2.448	2.465	6.735	1.149	0.0	5.104	3.679	0.606	1.638	2.378	8.292	13.817	7.229	5.932	5.866	1.509	9.484	4.036	2.708	15.296	5.917	2.395	2.755	4.961	1.581	11.046	8.126	5.062	2.104	2.288	0.0	3.039	5.288	5.596	5.313	0.0	4.82	9.001	4.719	7.645	2.182	8.472	0.0	18.987	3.371	2.839
cell_0586	cluster_3	8.657	3.753	0.584	3.084	9.682	38.527	3.73	9.507	2.31	0.0	1.321	4.769	3.242	3.192	5.098	2.784	4.013	4.421	2.302	1.528	3.759	0.0	2.215	6.75	12.169	1.227	3.073	1.3	8.555	5.816	4.469	6.895	0.0	0.773	1.108	10.258	5.283	0.805	1.374	2.206	0.814	0.562	4.03	5.966	1.414	3.997	2.406	0.0	3.399	2.792	5.02	8.485	9.362	5.078	1.246	3.708	9.616	2.624	3.406	4.528
cell_0079	cluster_1	41.609	7.942	0.968	2.724	9.478	1.97	2.482	0.0	0.777	2.387	5.853	3.512	6.609	6.927	5.432	3.975	1.781	4.677	1.233	0.989	3.665	1.531	2.458	1.518	4.009	1.744	2.021	0.937	0.0	0.0	4.648	1.514	1.723	11.507	3.461	2.776	0.0	1.273	1.578	1.207	6.195	3.49	1.86	2.228	0.0	1.583	2.52	0.0	2.083	5.95	13.143	0.663	6.295	2.334	1.656	1.782	3.112	2.281	0.0	0.0
cell_0363	cluster_2	2.1	1.027	0.0	171.034	6.218	0.798	4.367	0.0	6.609	0.0	2.297	3.99	9.154	1.411	0.745	0.0	0.0	3.061	4.081	18.977	0.971	2.609	15.822	4.546	0.0	3.676	1.784	7.109	8.212	1.816	2.279	3.925	3.241	2.785	2.46	4.663	3.358	1.552	5.985	5.404	3.922	1.441	5.378	3.06	4.356	5.958	14.432	5.597	0.0	1.858	3.264	3.031	9.466	5.867	8.902	5.454	3.005	2.277	5.624	2.214
cell_0204	cluster_1	15.387	35.727	7.108	3.908	2.23	7.476	2.262	6.099	4.158	1.58	4.785	6.656	4.36	2.129	2.785	1.394	3.5	2.707	1.834	0.632	13.682	0.476	2.772	4.338	1.608	4.862	3.707	2.908	1.767	2.315	2.402	0.0	2.075	3.16	8.822	5.899	2.716	0.0	1.305	6.308	0.0	3.998	3.034	1.775	3.896	0.0	0.699	7.24	3.707	5.258	1.246	1.598	0.955	1.601	2.125	1.329	0.827	3.341	1.457	5.39
cell_0524	cluster_3	2.203	0.0	3.294	0.0	15.817	15.999	0.0	3.356	1.048	1.637	1.803	4.901	3.75	1.219	1.554	3.094	2.922	1.898	2.37	6.969	0.0	0.0	3.253	0.0	3.215	1.396	6.844	1.825	1.858	1.191	4.073	7.465	2.125	1.861	3.094	2.928	2.568	1.352	4.337	1.712	2.448	0.577	1.845	3.861	2.481	0.921	2.382	5.85	4.71	5.73	5.794	3.635	2.025	9.237	7.926	3.074	2.68	5.216	4.62	2.366
cell_0297	cluster_2	1.247	1.389	42.382	11.296	2.139	5.032	3.133	1.408	4.946	6.015	0.0	6.393	3.071	9.449	1.469	0.834	0.0	0.0	2.034	0.0	1.832	12.991	0.0	4.819	5.302	2.811	3.262	6.465	1.34	0.0	0.842	0.0	3.69	4.365	2.72	1.799	2.022	4.55	5.591	6.116	3.085	0.702	1.753	0.0	5.436	4.666	3.729	2.112	6.464	3.892	1.955	4.884	4.605	6.024	5.718	4.427	1.237	0.931	2.488	4.11
cell_0032	cluster_1	0.0	12.066	2.494	4.977	1.795	6.242	0.0	1.798	1.549	1.212	1.096	1.567	1.365	2.871	3.963	1.842	3.839	18.545	2.117	2.681	0.809	9.016	2.417	1.424	1.918	1.825	6.791	7.195	0.0	0.0	3.85	1.91	1.584	1.83	1.494	6.722	1.634	3.996	3.785	0.0	14.687	3.473	5.728	1.318	1.42	8.432	1.22	2.504	2.52	0.802	4.727	1.144	5.858	2.87	2.244	9.373	2.071	1.308	4.306	4.71
cell_0181	cluster_1	24.286	27.052	2.489	1.092	0.676	4.291	0.0	1.455	3.788	2.253	1.311	4.986	0.0	3.349	4.556	0.0	7.284	4.958	4.93	1.452	0.951	0.623	3.155	2.967	12.464	0.573	1.851	0.0	1.875	2.21	0.739	0.582	2.7	1.002	0.0	2.442	2.071	3.24	3.147	1.551	0.934	0.0	0.0	0.0	1.137	0.904	1.306	10.837	2.448	0.0	1.014	1.911	0.895	2.827	0.847	4.293	3.006	2.618	2.521	0.0
cell_0585	cluster_3	3.032	6.183	0.706	0.0	13.855	5.807	8.839	5.963	2.314	5.59	2.128	3.726	0.753	1.151	0.888	3.262	1.124	7.381	1.255	2.484	1.429	2.312	0.0	8.088	1.805	0.917	3.418	1.908	0.0	0.965	2.686	1.453	3.133	3.182	3.146	2.855	1.215	1.387	0.902	1.014	1.465	2.336	2.437	2.249	4.548	2.065	0.477	3.589	2.619	4.607	2.358	2.573	1.814	3.305	2.125	0.67	1.872	0.0	0.0	1.155
cell_0043	cluster_1	17.785	0.0	3.001	0.0	5.326	5.209	6.374	2.42	1.426	2.555	7.221	1.667	3.26	5.969	0.0	0.0	0.0	2.526	0.0	2.276	2.448	2.101	3.628	5.023	5.834	8.605	4.957	1.405	1.717	5.561	3.615	5.864	3.592	2.358	7.161	8.118	3.619	1.937	0.0	2.915	2.453	0.867	0.936	10.427	2.402	2.628	3.14	3.786	3.136	7.815	2.997	10.978	0.0	1.425	6.559	4.35	12.453	4.459	22.058	9.985
cell_0465	cluster_3	3.904	1.997	0.0	3.829	40.888	54.697	6.493	1.062	1.753	2.845	0.831	3.165	1.886	2.007	3.631	3.916	0.633	3.469	4.92	1.729	2.705	0.0	3.062	0.0	13.036	5.091	1.798	2.782	1.894	1.254	2.129	0.0	1.952	7.904	2.241	7.526	9.48	4.555	2.06	2.977	3.794	3.512	4.06	4.398	11.142	2.296	0.887	1.174	4.867	1.494	2.646	2.813	8.718	2.015	2.025	1.756	0.464	0.905	1.857	4.384
cell_0076	cluster_1	29.091	8.327	0.0	0.0	1.407	0.0	0.0	4.116	0.78	3.359	5.971	1.829	0.0	3.162	3.257	1.511	1.53	2.004	1.121	4.555	2.609	2.254	1.976	3.522	3.073	1.525	0.0	2.713	0.757	3.888	1.68	2.353	4.274	0.93	2.911	4.794	5.337	0.0	1.899	0.984	1.197	1.1	2.873	0.855	0.0	2.287	0.0	3.527	4.168	6.844	2.094	0.794	0.73	2.057	0.0	2.75	0.0	4.898	5.336	1.498
cell_0231	cluster_2	1.959	1.007	9.682	33.675	3.249	3.452	2.242	1.902	1.347	8.395	2.414	1.899	5.244	2.247	0.0	0.427	1.191	1.548	1.912	2.335	1.341	1.094	0.0	3.573	0.0	1.333	1.128	2.702	3.592	8.688	2.122	2.332	1.283	1.812	0.0	2.68	0.627	0.0	4.134	1.555	1.589	1.231	3.879	0.0	1.219	0.618	0.998	2.101	0.805	1.746	5.556	2.934	0.0	3.496	3.242	1.676	3.792	1.629	6.254	6.216
cell_0330	cluster_2	1.74	4.583	8.811	33.311	0.0	3.571	2.05	0.0	2.913	3.808	4.227	3.919	2.047	1.08	5.67	2.72	1.642	1.87	3.28	1.703	12.384	3.276	0.0	1.683	2.536	8.102	6.146	0.488	0.548	0.544	0.0	3.866	1.707	3.834	0.591	1.384	8.786	0.0	0.582	7.321	7.881	10.872	1.88	2.26	2.684	0.904	6.733	4.34	3.568	0.573	3.411	1.576	11.82	0.983	2.498	0.984	4.577	3.652	1.077	1.02
cell_0375	cluster_2	1.162	2.352	45.383	34.134	3.078	2.365	0.0	4.145	0.0	2.214	3.276	1.867	2.523	3.244	2.111	5.401	3.8	0.0	5.333	4.241	0.0	2.291	1.195	2.221	0.914	10.319	2.021	4.67	0.844	1.779	1.303	3.698	1.231	4.201	2.131	6.185	1.502	0.0	0.0	4.736	0.0	10.024	2.059	1.917	1.501	3.783	2.72	1.308	1.025	1.739	1.488	2.223	2.558	0.524	0.63	1.985	0.0	2.064	0.849	1.089
cell_0022	cluster_1	14.702	10.042	4.377	6.205	3.756	1.489	2.133	1.489	1.023	4.631	3.08	2.041	1.491	8.692	4.624	2.524	4.629	4.597	6.637	3.448	0.959	2.131	3.762	1.827	1.615	7.879	1.678	2.924	1.139	2.549	4.252	1.982	9.783	3.975	1.968	2.224	3.215	0.0	3.602	4.419	9.748	5.471	2.404	3.821	3.587	6.757	5.869	2.581	2.587	1.239	1.478	0.0	1.767	3.689	2.51	3.75	6.254	4.864	1.735	1.615
cell_0550	cluster_3	0.0	1.85	2.138	19.79	16.733	28.923	3.248	8.666	0.333	5.082	3.369	5.804	2.378	1.711	4.232	2.318	0.0	4.762	3.627	3.531	6.712	9.463	0.0	9.35	0.0	0.0	3.518	0.92	2.11	2.549	2.909	5.152	2.892	0.0	7.001	5.149	3.666	2.796	1.247	8.491	1.55	1.378	0.0	1.395	1.514	1.249	0.0	6.291	4.507	3.255	0.845	4.198	2.124	3.156	3.517	4.602	0.0	1.288	0.0	4.113
cell_0450	cluster_3	2.431	1.318	1.956	3.402	21.797	4.288	5.402	2.212	0.0	2.452	2.112	4.749	1.567	0.936	3.093	0.719	0.0	4.104	1.054	6.288	0.576	3.182	2.517	3.807	2.552	0.0	2.054	1.612	0.725	0.0	6.787	0.577	1.9	0.944	0.952	0.797	4.657	0.0	0.449	1.131	2.787	1.967	1.897	2.16	1.749	2.605	2.024	2.955	1.229	1.793	1.366	0.0	2.298	0.0	2.115	0.867	1.385	0.785	0.0	2.909
cell_0287	cluster_2	2.47	3.307	12.21	24.011	2.207	1.151	3.06	3.627	1.92	1.736	8.891	2.915	2.195	1.788	2.45	2.796	1.709	4.362	3.644	4.673	1.379	1.056	0.704	3.405	1.171	0.946	0.804	1.869	5.516	1.063	0.0	1.435	0.0	0.845	1.255	5.724	2.468	2.404	1.768	3.31	10.408	0.826	3.42	1.99	1.358	0.0	1.372	0.614	5.298	5.257	2.532	1.754	0.0	3.857	1.445	0.435	0.397	5.379	2.479	2.261
cell_0548	cluster_3	0.967	1.735	0.0	2.528	78.779	15.375	11.366	5.193	2.694	1.444	7.638	6.99	2.303	8.085	1.62	3.812	3.622	4.916	0.0	2.209	1.155	4.487	3.616	0.0	3.951	4.782	6.52	6.633	0.0	0.0	1.002	2.008	3.271	6.051	1.522	2.631	7.374	1.65	1.42	8.04	4.68	1.996	4.5	1.96	7.118	2.732	3.061	3.929	6.66	0.607	4.514	1.716	3.735	7.984	1.771	0.0	11.665	1.52	2.887	4.069
cell_0472	cluster_3	1.213	1.893	1.466	0.0	35.433	36.255	4.637	2.927	0.799	0.0	1.8	3.67	3.415	6.101	1.376	3.58	3.921	3.334	2.752	1.086	1.25	12.048	1.789	0.0	3.72	2.431	0.876	6.401	2.177	1.432	1.272	6.51	1.508	0.0	1.216	0.66	10.975	0.0	1.606	2.103	1.687	0.0	0.0	4.882	1.491	2.733	2.488	1.109	3.423	3.642	0.0	2.115	1.752	0.0	2.776	2.589	0.0	3.177	3.271	1.364
cell_0189	cluster_1	24.248	7.345	1.449	1.069	0.812	2.624	1.045	2.33	1.154	1.694	1.057	1.708	0.922	1.029	3.962	0.933	1.66	0.716	2.217	1.038	1.574	2.061	1.17	1.103	1.133	3.367	1.956	1.264	2.333	0.0	1.61	6.171	0.73	0.765	0.0	1.564	3.003	2.163	2.403	0.966	0.441	1.218	1.69	0.963	1.433	2.54	0.0	1.112	2.277	2.123	0.727	1.739	1.061	0.804	1.467	2.035	1.445	3.382	0.851	1.315
