series	x	y	lower	upper
CTRL_rep1	600	2.8682	2.5914	3.1449
CTRL_rep1	625	2.9284	2.6572	3.1997
CTRL_rep1	650	2.826	2.5598	3.0922
CTRL_rep1	675	2.7423	2.4807	3.0039
CTRL_rep1	700	2.6628	2.4057	2.9199
CTRL_rep1	725	2.5618	2.309	2.8146
CTRL_rep1	750	2.5435	2.295	2.792
CTRL_rep1	775	2.5479	2.3037	2.7921
CTRL_rep1	800	2.3948	2.1549	2.6348
CTRL_rep1	825	2.2269	1.9911	2.4627
CTRL_rep1	850	2.2892	2.0575	2.5209
CTRL_rep1	875	2.2474	2.0197	2.475
CTRL_rep1	900	2.0959	1.8723	2.3195
CTRL_rep1	925	2.1021	1.8824	2.3218
CTRL_rep1	950	2.111	1.8952	2.3269
CTRL_rep1	975	1.9963	1.7842	2.2083
CTRL_rep1	1000	1.8786	1.6702	2.087
CTRL_rep1	1025	1.781	1.5762	1.9858
CTRL_rep1	1050	1.8288	1.6274	2.0302
CTRL_rep1	1075	1.6368	1.4388	1.8349
CTRL_rep1	1100	1.7334	1.5386	1.9282
CTRL_rep1	1125	1.6127	1.4211	1.8044
CTRL_rep1	1150	1.5848	1.3962	1.7735
CTRL_rep1	1175	1.6104	1.4247	1.7961
CTRL_rep1	1200	1.5759	1.3929	1.7588
CTRL_rep1	1225	1.5623	1.3821	1.7426
CTRL_rep1	1250	1.4729	1.2952	1.6506
CTRL_rep1	1275	1.3414	1.1661	1.5167
CTRL_rep1	1300	1.4719	1.2989	1.6449
CTRL_rep1	1325	1.3854	1.2146	1.5562
CTRL_rep1	1350	1.3666	1.1979	1.5354
CTRL_rep1	1375	1.2545	1.0877	1.4213
CTRL_rep1	1400	1.3034	1.1384	1.4683
CTRL_rep1	1425	1.3057	1.1425	1.4689
CTRL_rep1	1450	1.2225	1.061	1.3841
CTRL_rep1	1475	1.2625	1.1025	1.4226
CTRL_rep1	1500	1.2485	1.0899	1.4071
CTRL_rep1	1525	1.2265	1.0692	1.3837
CTRL_rep1	1550	1.2505	1.0945	1.4065
CTRL_rep1	1575	1.1764	1.0215	1.3312
CTRL_rep1	1600	1.1142	0.9605	1.268
CTRL_rep1	1625	1.1555	1.0027	1.3082
CTRL_rep1	1650	1.1146	0.9628	1.2665
CTRL_rep1	1675	1.0741	0.9231	1.2251
CTRL_rep1	1700	1.0797	0.9295	1.23
CTRL_rep1	1725	1.1231	0.9736	1.2726
CTRL_rep1	1750	1.0214	0.8725	1.1702
CTRL_rep1	1775	1.0862	0.938	1.2344
CTRL_rep1	1800	1.1276	0.9799	1.2752
CTRL_rep1	1825	1.0243	0.8771	1.1714
CTRL_rep1	1850	1.0599	0.9132	1.2066
CTRL_rep1	1875	1.0533	0.907	1.1996
CTRL_rep1	1900	1.0652	0.9193	1.2111
CTRL_rep1	1925	1.142	0.9964	1.2875
CTRL_rep1	1950	1.0442	0.899	1.1894
CTRL_rep1	1975	1.0158	0.8709	1.1608
CTRL_rep1	2000	1.0244	0.8797	1.1691
CTRL_rep2	-2000	1.062	0.9185	1.2054
CTRL_rep2	-1975	0.9914	0.8477	1.135
CTRL_rep2	-1950	1.0946	0.9508	1.2385
CTRL_rep2	-1925	1.0564	0.9123	1.2004
CTRL_rep2	-1900	1.0342	0.8899	1.1786
CTRL_rep2	-1875	1.0399	0.8953	1.1845
CTRL_rep2	-1850	1.1088	0.9639	1.2537
CTRL_rep2	-1825	1.0595	0.9143	1.2048
CTRL_rep2	-1800	1.0502	0.9046	1.1957
CTRL_rep2	-1775	1.0191	0.8731	1.1651
CTRL_rep2	-1750	0.9816	0.8352	1.1281
CTRL_rep2	-1725	1.0373	0.8904	1.1842
CTRL_rep2	-1700	1.0132	0.8658	1.1606
CTRL_rep2	-1675	1.0407	0.8928	1.1887
CTRL_rep2	-1650	1.0379	0.8893	1.1865
CTRL_rep2	-1625	1.0805	0.9313	1.2298
CTRL_rep2	-1600	1.1265	0.9765	1.2765
CTRL_rep2	-1575	1.1157	0.965	1.2664
CTRL_rep2	-1550	1.1298	0.9782	1.2814
CTRL_rep2	-1525	1.1649	1.0124	1.3174
CTRL_rep2	-1500	1.152	0.9985	1.3054
CTRL_rep2	-1475	1.1869	1.0324	1.3414
CTRL_rep2	-1450	1.0765	0.9209	1.2321
CTRL_rep2	-1425	1.1725	1.0157	1.3293
CTRL_rep2	-1400	1.2122	1.0542	1.3703
CTRL_rep2	-1375	1.2609	1.1015	1.4202
CTRL_rep2	-1350	1.2558	1.095	1.4165
CTRL_rep2	-1325	1.3025	1.1403	1.4648
CTRL_rep2	-1300	1.3651	1.2012	1.5289
CTRL_rep2	-1275	1.2117	1.0461	1.3772
CTRL_rep2	-1250	1.3134	1.1461	1.4807
CTRL_rep2	-1225	1.412	1.2429	1.5812
CTRL_rep2	-1200	1.4031	1.232	1.5742
CTRL_rep2	-1175	1.4096	1.2364	1.5827
CTRL_rep2	-1150	1.526	1.3508	1.7013
CTRL_rep2	-1125	1.3757	1.1983	1.5532
CTRL_rep2	-1100	1.4262	1.2464	1.606
CTRL_rep2	-1075	1.5258	1.3437	1.708
CTRL_rep2	-1050	1.5138	1.3292	1.6985
CTRL_rep2	-1025	1.6004	1.4132	1.7876
CTRL_rep2	-1000	1.6921	1.5023	1.8819
CTRL_rep2	-975	1.718	1.5255	1.9105
CTRL_rep2	-950	1.8138	1.6185	2.0091
CTRL_rep2	-925	1.7209	1.5228	1.919
CTRL_rep2	-900	1.7894	1.5883	1.9904
CTRL_rep2	-875	1.9703	1.7663	2.1743
CTRL_rep2	-850	1.9999	1.7929	2.207
CTRL_rep2	-825	1.9313	1.7212	2.1414
CTRL_rep2	-800	2.0521	1.8389	2.2653
CTRL_rep2	-775	1.9572	1.7409	2.1736
CTRL_rep2	-750	2.0555	1.836	2.2751
CTRL_rep2	-725	2.0193	1.7966	2.2421
CTRL_rep2	-700	2.0719	1.846	2.2979
CTRL_rep2	-675	2.2365	2.0072	2.4657
CTRL_rep2	-650	2.2398	2.0071	2.4725
CTRL_rep2	-625	2.408	2.1717	2.6444
CTRL_rep2	-600	2.5327	2.2923	2.7731
CTRL_rep2	-575	2.4106	2.1657	2.6556
CTRL_rep2	-550	2.6187	2.3686	2.8689
CTRL_rep2	-525	2.7576	2.5015	3.0137
CTRL_rep2	-500	2.8613	2.5985	3.1241
CTRL_rep2	-475	2.744	2.4741	3.014
CTRL_rep2	-450	3.0542	2.777	3.3315
CTRL_rep2	-425	3.1069	2.8225	3.3912
CTRL_rep2	-400	3.2442	2.953	3.5354
CTRL_rep2	-375	3.2266	2.9284	3.5248
CTRL_rep2	-350	3.5166	3.2102	3.823
CTRL_rep2	-325	3.6549	3.3377	3.9721
CTRL_rep2	-300	3.9824	3.6502	4.3145
CTRL_rep2	-275	4.3922	4.0401	4.7444
CTRL_rep2	-250	4.6669	4.2896	5.0442
CTRL_rep2	-225	5.1898	4.7832	5.5964
CTRL_rep2	-200	6.0439	5.6053	6.4825
CTRL_rep2	-175	6.7417	6.2697	7.2136
CTRL_rep2	-150	7.4597	6.9539	7.9654
CTRL_rep2	-125	7.8036	7.2647	8.3426
CTRL_rep2	-100	8.1235	7.553	8.6941
CTRL_rep2	-75	9.022	8.4232	9.6209
CTRL_rep2	-50	9.5232	8.9016	10.1448
CTRL_rep2	-25	10.0962	9.4596	10.7328
CTRL_rep2	0	10.3455	9.7034	10.9877
CTRL_rep2	25	9.887	9.2493	10.5248
CTRL_rep2	50	9.873	9.2489	10.497
CTRL_rep2	75	9.2387	8.6356	9.8417
CTRL_rep2	100	8.8619	8.2848	9.439
CTRL_rep2	125	7.951	7.403	8.4991
CTRL_rep2	150	7.373	6.8557	7.8902
CTRL_rep2	175	6.8798	6.3944	7.3652
CTRL_rep2	200	5.9771	5.5241	6.4301
CTRL_rep2	225	5.5905	5.1695	6.0114
CTRL_rep2	250	5.0218	4.6309	5.4127
CTRL_rep2	275	4.3978	4.0332	4.7624
CTRL_rep2	300	4.1574	3.814	4.5009
CTRL_rep2	325	3.8057	3.478	4.1334
CTRL_rep2	350	3.6513	3.335	3.9676
CTRL_rep2	375	3.4876	3.18	3.7952
CTRL_rep2	400	3.2283	2.9283	3.5282
CTRL_rep2	425	3.1048	2.8126	3.397
CTRL_rep2	450	3.0823	2.7984	3.3662
CTRL_rep2	475	2.839	2.5638	3.1143
CTRL_rep2	500	2.8241	2.5573	3.0909
CTRL_rep2	525	2.4468	2.1879	2.7058
CTRL_rep2	550	2.6312	2.3792	2.8832
CTRL_rep2	575	2.6469	2.4009	2.893
CTRL_rep2	600	2.4395	2.1985	2.6806
CTRL_rep2	625	2.2914	2.0547	2.5281
CTRL_rep2	650	2.2166	1.9837	2.4495
CTRL_rep2	675	2.2781	2.0488	2.5075
CTRL_rep2	700	2.0373	1.8113	2.2633
CTRL_rep2	725	2.2337	2.011	2.4565
CTRL_rep2	750	2.1177	1.8982	2.3372
CTRL_rep2	775	1.9636	1.7473	2.1799
CTRL_rep2	800	2.0042	1.791	2.2174
CTRL_rep2	825	1.9946	1.7845	2.2047
CTRL_rep2	850	1.8608	1.6538	2.0679
CTRL_rep2	875	1.7453	1.5413	1.9493
CTRL_rep2	900	1.7941	1.5931	1.9952
CTRL_rep2	925	1.7691	1.571	1.9673
CTRL_rep2	950	1.688	1.4927	1.8833
CTRL_rep2	975	1.6352	1.4427	1.8277
CTRL_rep2	1000	1.6857	1.4959	1.8755
CTRL_rep2	1025	1.6134	1.4262	1.8006
CTRL_rep2	1050	1.4684	1.2838	1.653
CTRL_rep2	1075	1.5394	1.3572	1.7215
CTRL_rep2	1100	1.5382	1.3585	1.718
CTRL_rep2	1125	1.4562	1.2788	1.6337
CTRL_rep2	1150	1.3731	1.1979	1.5484
CTRL_rep2	1175	1.4461	1.273	1.6192
CTRL_rep2	1200	1.4172	1.2461	1.5883
CTRL_rep2	1225	1.3661	1.1969	1.5352
CTRL_rep2	1250	1.3069	1.1396	1.4742
CTRL_rep2	1275	1.313	1.1475	1.4785
CTRL_rep2	1300	1.2825	1.1186	1.4464
CTRL_rep2	1325	1.2197	1.0574	1.382
CTRL_rep2	1350	1.2694	1.1086	1.4301
CTRL_rep2	1375	1.2928	1.1335	1.4522
CTRL_rep2	1400	1.2075	1.0495	1.3656
CTRL_rep2	1425	1.238	1.0813	1.3948
CTRL_rep2	1450	1.1403	0.9847	1.2959
CTRL_rep2	1475	1.2201	1.0657	1.3746
CTRL_rep2	1500	1.2456	1.0922	1.3991
CTRL_rep2	1525	1.1269	0.9744	1.2794
CTRL_rep2	1550	1.2011	1.0496	1.3527
CTRL_rep2	1575	1.0546	0.9039	1.2054
CTRL_rep2	1600	1.158	1.008	1.308
CTRL_rep2	1625	1.1092	0.96	1.2585
CTRL_rep2	1650	1.1324	0.9838	1.281
CTRL_rep2	1675	1.1531	1.0051	1.3011
CTRL_rep2	1700	1.06	0.9126	1.2074
CTRL_rep2	1725	1.0375	0.8906	1.1844
CTRL_rep2	1750	1.0762	0.9298	1.2226
CTRL_rep2	1775	1.1433	0.9973	1.2893
CTRL_rep2	1800	1.044	0.8984	1.1896
CTRL_rep2	1825	1.0158	0.8706	1.161
CTRL_rep2	1850	1.008	0.8631	1.1529
CTRL_rep2	1875	1.1147	0.9701	1.2593
CTRL_rep2	1900	1.0507	0.9064	1.1951
CTRL_rep2	1925	1.0264	0.8823	1.1705
CTRL_rep2	1950	1.0492	0.9053	1.193
CTRL_rep2	1975	1.0337	0.8901	1.1774
CTRL_rep2	2000	0.9542	0.8107	1.0977
CTRL_rep3	-2000	1.0216	0.8848	1.1584
CTRL_rep3	-1975	1.0139	0.8769	1.1509
CTRL_rep3	-1950	1.0389	0.9017	1.1761
CTRL_rep3	-1925	1.0571	0.9197	1.1946
CTRL_rep3	-1900	1.0585	0.9208	1.1962
CTRL_rep3	-1875	0.986	0.848	1.124
CTRL_rep3	-1850	1.0024	0.8641	1.1407
CTRL_rep3	-1825	1.0584	0.9198	1.1971
CTRL_rep3	-1800	1.0145	0.8754	1.1535
CTRL_rep3	-1775	1.0635	0.9241	1.2029
CTRL_rep3	-1750	1.1041	0.9642	1.244
CTRL_rep3	-1725	1.1275	0.9871	1.2679
CTRL_rep3	-1700	1.082	0.941	1.2229
CTRL_rep3	-1675	1.1132	0.9717	1.2547
CTRL_rep3	-1650	1.0819	0.9397	1.224
CTRL_rep3	-1625	1.2148	1.0719	1.3577
CTRL_rep3	-1600	1.0938	0.9502	1.2374
CTRL_rep3	-1575	1.1501	1.0056	1.2945
CTRL_rep3	-1550	1.1825	1.0372	1.3278
CTRL_rep3	-1525	1.1989	1.0527	1.3452
CTRL_rep3	-1500	1.1514	1.0042	1.2986
CTRL_rep3	-1475	1.1379	0.9896	1.2862
CTRL_rep3	-1450	1.2194	1.0699	1.3688
CTRL_rep3	-1425	1.1487	0.998	1.2994
CTRL_rep3	-1400	1.2393	1.0873	1.3913
CTRL_rep3	-1375	1.2623	1.1089	1.4157
CTRL_rep3	-1350	1.2765	1.1217	1.4314
CTRL_rep3	-1325	1.288	1.1316	1.4445
CTRL_rep3	-1300	1.3369	1.1789	1.495
CTRL_rep3	-1275	1.3371	1.1773	1.497
CTRL_rep3	-1250	1.3469	1.1852	1.5085
CTRL_rep3	-1225	1.3571	1.1935	1.5207
CTRL_rep3	-1200	1.3803	1.2147	1.5459
CTRL_rep3	-1175	1.4425	1.2748	1.6103
CTRL_rep3	-1150	1.4949	1.325	1.6648
CTRL_rep3	-1125	1.5212	1.3489	1.6934
CTRL_rep3	-1100	1.4782	1.3036	1.6528
CTRL_rep3	-1075	1.5974	1.4203	1.7745
CTRL_rep3	-1050	1.5783	1.3986	1.758
CTRL_rep3	-1025	1.6387	1.4564	1.821
CTRL_rep3	-1000	1.8184	1.6334	2.0034
CTRL_rep3	-975	1.7376	1.5497	1.9254
CTRL_rep3	-950	1.7696	1.5789	1.9603
CTRL_rep3	-925	1.9105	1.7168	2.1041
CTRL_rep3	-900	1.8816	1.6849	2.0783
CTRL_rep3	-875	1.8646	1.6649	2.0644
CTRL_rep3	-850	1.8821	1.6792	2.0849
CTRL_rep3	-825	2.0038	1.7977	2.2099
CTRL_rep3	-800	2.0746	1.8654	2.2839
CTRL_rep3	-775	2.1987	1.9861	2.4112
CTRL_rep3	-750	2.1404	1.9246	2.3562
CTRL_rep3	-725	2.2614	2.0423	2.4806
CTRL_rep3	-700	2.3788	2.1563	2.6013
CTRL_rep3	-675	2.27	2.044	2.4959
CTRL_rep3	-650	2.4546	2.225	2.6842
CTRL_rep3	-625	2.5718	2.3384	2.8053
CTRL_rep3	-600	2.4671	2.2292	2.705
CTRL_rep3	-575	2.6105	2.3675	2.8535
CTRL_rep3	-550	2.7889	2.54	3.0379
CTRL_rep3	-525	2.8243	2.5684	3.0801
CTRL_rep3	-500	2.929	2.6654	3.1927
CTRL_rep3	-475	3.1171	2.8451	3.3892
CTRL_rep3	-450	3.1768	2.8963	3.4573
CTRL_rep3	-425	3.2347	2.9461	3.5233
CTRL_rep3	-400	3.5485	3.2525	3.8445
CTRL_rep3	-375	3.6914	3.3882	3.9946
CTRL_rep3	-350	3.9493	3.638	4.2607
CTRL_rep3	-325	4.0267	3.7047	4.3486
CTRL_rep3	-300	4.348	4.0111	4.6849
CTRL_rep3	-275	4.6093	4.2522	4.9663
CTRL_rep3	-250	5.0894	4.707	5.4718
CTRL_rep3	-225	5.7733	5.3614	6.1852
CTRL_rep3	-200	6.4957	6.0517	6.9396
CTRL_rep3	-175	6.9761	6.499	7.4532
CTRL_rep3	-150	7.8949	7.3843	8.4055
CTRL_rep3	-125	8.6013	8.0574	9.1451
CTRL_rep3	-100	9.1897	8.6136	9.7657
CTRL_rep3	-75	10.3999	9.7945	11.0053
CTRL_rep3	-50	10.4653	9.8359	11.0947
CTRL_rep3	-25	10.8711	10.2256	11.5165
CTRL_rep3	0	11.1872	10.5357	11.8387
CTRL_rep3	25	11.1667	10.5198	11.8135
CTRL_rep3	50	10.7227	10.0901	11.3552
CTRL_rep3	75	10.1564	9.5456	10.7673
CTRL_rep3	100	9.3847	8.8002	9.9691
CTRL_rep3	125	9.1245	8.5689	9.6801
CTRL_rep3	150	8.0469	7.5214	8.5724
CTRL_rep3	175	7.5889	7.0945	8.0834
CTRL_rep3	200	6.8464	6.3839	7.3089
CTRL_rep3	225	6.156	5.7255	6.5865
CTRL_rep3	250	5.5641	5.1642	5.9641
CTRL_rep3	275	5.0242	4.6511	5.3972
CTRL_rep3	300	4.7074	4.3559	5.0589
CTRL_rep3	325	4.2424	3.9069	4.578
CTRL_rep3	350	3.9871	3.663	4.3113
CTRL_rep3	375	3.8672	3.5518	4.1825
CTRL_rep3	400	3.65	3.3427	3.9573
CTRL_rep3	425	3.5557	3.2571	3.8544
CTRL_rep3	450	3.4182	3.1292	3.7073
CTRL_rep3	475	3.2186	2.9397	3.4975
CTRL_rep3	500	3.0651	2.7963	3.3339
CTRL_rep3	525	2.8359	2.5765	3.0954
CTRL_rep3	550	2.8886	2.6373	3.1398
CTRL_rep3	575	2.6599	2.4155	2.9042
CTRL_rep3	600	2.6207	2.382	2.8594
CTRL_rep3	625	2.5313	2.2974	2.7652
CTRL_rep3	650	2.4648	2.2351	2.6946
CTRL_rep3	675	2.387	2.161	2.613
CTRL_rep3	700	2.2912	2.0687	2.5137
CTRL_rep3	725	2.2283	2.0092	2.4475
CTRL_rep3	750	2.1385	1.9227	2.3543
CTRL_rep3	775	2.1604	1.9479	2.3729
CTRL_rep3	800	2.0642	1.855	2.2735
CTRL_rep3	825	2.0254	1.8194	2.2315
CTRL_rep3	850	1.9791	1.7762	2.182
CTRL_rep3	875	1.8754	1.6756	2.0751
CTRL_rep3	900	1.8561	1.6594	2.0528
CTRL_rep3	925	1.8129	1.6192	2.0066
CTRL_rep3	950	1.8481	1.6574	2.0389
CTRL_rep3	975	1.8123	1.6244	2.0001
CTRL_rep3	1000	1.6973	1.5122	1.8823
CTRL_rep3	1025	1.6444	1.462	1.8267
CTRL_rep3	1050	1.5898	1.4101	1.7695
CTRL_rep3	1075	1.6052	1.4281	1.7823
CTRL_rep3	1100	1.6507	1.4761	1.8253
CTRL_rep3	1125	1.4842	1.3119	1.6564
CTRL_rep3	1150	1.4091	1.2391	1.579
CTRL_rep3	1175	1.4973	1.3296	1.6651
CTRL_rep3	1200	1.4349	1.2693	1.6005
CTRL_rep3	1225	1.4393	1.2757	1.6029
CTRL_rep3	1250	1.3155	1.1538	1.4772
CTRL_rep3	1275	1.2693	1.1095	1.4292
CTRL_rep3	1300	1.3822	1.2241	1.5403
CTRL_rep3	1325	1.3335	1.177	1.4899
CTRL_rep3	1350	1.2617	1.1069	1.4166
CTRL_rep3	1375	1.2815	1.1281	1.4349
CTRL_rep3	1400	1.2334	1.0814	1.3854
CTRL_rep3	1425	1.1953	1.0446	1.3459
CTRL_rep3	1450	1.1583	1.0089	1.3078
CTRL_rep3	1475	1.092	0.9437	1.2403
CTRL_rep3	1500	1.2276	1.0803	1.3748
CTRL_rep3	1525	1.1432	0.9969	1.2894
CTRL_rep3	1550	1.1038	0.9585	1.2491
CTRL_rep3	1575	1.1291	0.9847	1.2735
CTRL_rep3	1600	1.1237	0.9801	1.2673
CTRL_rep3	1625	1.0636	0.9207	1.2064
CTRL_rep3	1650	1.0191	0.8769	1.1613
CTRL_rep3	1675	1.0985	0.957	1.24
CTRL_rep3	1700	1.0424	0.9015	1.1833
CTRL_rep3	1725	1.1024	0.962	1.2428
CTRL_rep3	1750	1.0779	0.938	1.2178
CTRL_rep3	1775	1.0396	0.9002	1.1791
CTRL_rep3	1800	1.0771	0.9381	1.2162
CTRL_rep3	1825	1.0437	0.905	1.1823
CTRL_rep3	1850	1.0465	0.9081	1.1848
CTRL_rep3	1875	1.003	0.865	1.141
CTRL_rep3	1900	0.9867	0.849	1.1244
CTRL_rep3	1925	1.0762	0.9387	1.2136
CTRL_rep3	1950	1.0379	0.9007	1.1751
CTRL_rep3	1975	1.0063	0.8693	1.1433
CTRL_rep3	2000	0.9795	0.8427	1.1163
CTRL_rep4	-2000	1.0101	0.6751	1.3451
CTRL_rep4	-1975	1.063	0.728	1.3981
CTRL_rep4	-1950	0.9246	0.5895	1.2598
CTRL_rep4	-1925	0.8663	0.531	1.2015
CTRL_rep4	-1900	0.9928	0.6575	1.3281
CTRL_rep4	-1875	0.99	0.6546	1.3254
CTRL_rep4	-1850	1.0761	0.7406	1.4116
CTRL_rep4	-1825	1.0584	0.7228	1.394
CTRL_rep4	-1800	1.1215	0.7858	1.4572
CTRL_rep4	-1775	0.8369	0.5011	1.1727
CTRL_rep4	-1750	0.9432	0.6072	1.2792
CTRL_rep4	-1725	1.1633	0.8271	1.4994
CTRL_rep4	-1700	1.1634	0.8271	1.4997
CTRL_rep4	-1675	1.0307	0.6942	1.3672
CTRL_rep4	-1650	0.9892	0.6525	1.3259
CTRL_rep4	-1625	1.1532	0.8163	1.4901
CTRL_rep4	-1600	0.987	0.6499	1.3241
CTRL_rep4	-1575	1.0081	0.6708	1.3455
CTRL_rep4	-1550	1.1362	0.7986	1.4738
CTRL_rep4	-1525	0.9507	0.6128	1.2886
CTRL_rep4	-1500	0.9161	0.5778	1.2543
CTRL_rep4	-1475	0.9145	0.5759	1.2531
CTRL_rep4	-1450	1.1155	0.7765	1.4544
CTRL_rep4	-1425	1.041	0.7017	1.3803
CTRL_rep4	-1400	1.0355	0.6958	1.3753
CTRL_rep4	-1375	0.9087	0.5685	1.2488
CTRL_rep4	-1350	1.0962	0.7555	1.4368
CTRL_rep4	-1325	1.0375	0.6964	1.3787
CTRL_rep4	-1300	1.0422	0.7005	1.3839
CTRL_rep4	-1275	0.9454	0.6031	1.2877
CTRL_rep4	-1250	1.1166	0.7737	1.4595
CTRL_rep4	-1225	1.035	0.6914	1.3785
CTRL_rep4	-1200	0.8817	0.5375	1.2259
CTRL_rep4	-1175	1.0793	0.7344	1.4243
CTRL_rep4	-1150	1.0431	0.6973	1.3888
CTRL_rep4	-1125	1.0976	0.7511	1.4442
CTRL_rep4	-1100	1.1078	0.7603	1.4552
CTRL_rep4	-1075	1.1566	0.8082	1.505
