region_id	position	value	group
PEAK_0003	800	1.579	background
PEAK_0003	850	0.548	background
PEAK_0003	900	1.099	background
PEAK_0003	950	0.305	background
PEAK_0003	1000	0.529	background
PEAK_0004	-1000	0.671	enhancer
PEAK_0004	-950	0.51	enhancer
PEAK_0004	-900	0.609	enhancer
PEAK_0004	-850	0.955	enhancer
PEAK_0004	-800	1.047	enhancer
PEAK_0004	-750	1.416	enhancer
PEAK_0004	-700	1.465	enhancer
PEAK_0004	-650	1.488	enhancer
PEAK_0004	-600	1.817	enhancer
PEAK_0004	-550	2.241	enhancer
PEAK_0004	-500	2.634	enhancer
PEAK_0004	-450	3.218	enhancer
PEAK_0004	-400	4.818	enhancer
PEAK_0004	-350	4.719	enhancer
PEAK_0004	-300	5.191	enhancer
PEAK_0004	-250	5.293	enhancer
PEAK_0004	-200	5.039	enhancer
PEAK_0004	-150	5.777	enhancer
PEAK_0004	-100	5.569	enhancer
PEAK_0004	-50	6.148	enhancer
PEAK_0004	0	5.976	enhancer
PEAK_0004	50	5.904	enhancer
PEAK_0004	100	5.807	enhancer
PEAK_0004	150	5.733	enhancer
PEAK_0004	200	5.642	enhancer
PEAK_0004	250	4.946	enhancer
PEAK_0004	300	5.255	enhancer
PEAK_0004	350	4.929	enhancer
PEAK_0004	400	4.42	enhancer
PEAK_0004	450	4.188	enhancer
PEAK_0004	500	2.798	enhancer
PEAK_0004	550	2.232	enhancer
PEAK_0004	600	2.075	enhancer
PEAK_0004	650	1.996	enhancer
PEAK_0004	700	2.232	enhancer
PEAK_0004	750	1.045	enhancer
PEAK_0004	800	1.22	enhancer
PEAK_0004	850	0.481	enhancer
PEAK_0004	900	0.791	enhancer
PEAK_0004	950	0.366	enhancer
PEAK_0004	1000	0.485	enhancer
PEAK_0005	-1000	0.948	enhancer
PEAK_0005	-950	0.251	enhancer
PEAK_0005	-900	0.881	enhancer
PEAK_0005	-850	0.406	enhancer
PEAK_0005	-800	0.715	enhancer
PEAK_0005	-750	1.131	enhancer
PEAK_0005	-700	0.928	enhancer
PEAK_0005	-650	0.908	enhancer
PEAK_0005	-600	1.745	enhancer
PEAK_0005	-550	1.776	enhancer
PEAK_0005	-500	2.525	enhancer
PEAK_0005	-450	2.735	enhancer
PEAK_0005	-400	2.307	enhancer
PEAK_0005	-350	2.998	enhancer
PEAK_0005	-300	3.485	enhancer
PEAK_0005	-250	2.939	enhancer
PEAK_0005	-200	2.911	enhancer
PEAK_0005	-150	3.427	enhancer
PEAK_0005	-100	4.827	enhancer
PEAK_0005	-50	3.306	enhancer
PEAK_0005	0	5.201	enhancer
PEAK_0005	50	4.575	enhancer
PEAK_0005	100	3.707	enhancer
PEAK_0005	150	3.63	enhancer
PEAK_0005	200	4.318	enhancer
PEAK_0005	250	3.192	enhancer
PEAK_0005	300	3.224	enhancer
PEAK_0005	350	3.079	enhancer
PEAK_0005	400	2.876	enhancer
PEAK_0005	450	2.986	enhancer
PEAK_0005	500	2.528	enhancer
PEAK_0005	550	2.189	enhancer
PEAK_0005	600	1.663	enhancer
PEAK_0005	650	1.658	enhancer
PEAK_0005	700	0.98	enhancer
PEAK_0005	750	1.44	enhancer
PEAK_0005	800	1.182	enhancer
PEAK_0005	850	1.183	enhancer
PEAK_0005	900	1.1	enhancer
PEAK_0005	950	0.92	enhancer
PEAK_0005	1000	0.564	enhancer
PEAK_0006	-1000	0.219	promoter
PEAK_0006	-950	0.0	promoter
PEAK_0006	-900	0.419	promoter
PEAK_0006	-850	0.096	promoter
PEAK_0006	-800	0.34	promoter
PEAK_0006	-750	0.503	promoter
PEAK_0006	-700	0.297	promoter
PEAK_0006	-650	0.058	promoter
PEAK_0006	-600	0.065	promoter
PEAK_0006	-550	0.038	promoter
PEAK_0006	-500	0.458	promoter
PEAK_0006	-450	0.46	promoter
PEAK_0006	-400	0.287	promoter
PEAK_0006	-350	0.99	promoter
PEAK_0006	-300	1.633	promoter
PEAK_0006	-250	2.362	promoter
PEAK_0006	-200	3.631	promoter
PEAK_0006	-150	5.286	promoter
PEAK_0006	-100	7.162	promoter
PEAK_0006	-50	7.093	promoter
PEAK_0006	0	7.891	promoter
PEAK_0006	50	7.417	promoter
PEAK_0006	100	6.654	promoter
PEAK_0006	150	5.414	promoter
PEAK_0006	200	4.902	promoter
PEAK_0006	250	2.324	promoter
PEAK_0006	300	1.598	promoter
PEAK_0006	350	0.843	promoter
PEAK_0006	400	0.771	promoter
PEAK_0006	450	0.229	promoter
PEAK_0006	500	0.186	promoter
PEAK_0006	550	0.236	promoter
PEAK_0006	600	0.45	promoter
PEAK_0006	650	0.476	promoter
PEAK_0006	700	0.064	promoter
PEAK_0006	750	0.284	promoter
PEAK_0006	800	0.364	promoter
PEAK_0006	850	0.587	promoter
PEAK_0006	900	0.0	promoter
PEAK_0006	950	0.364	promoter
PEAK_0006	1000	0.48	promoter
PEAK_0007	-1000	0.065	promoter
PEAK_0007	-950	0.248	promoter
PEAK_0007	-900	0.613	promoter
PEAK_0007	-850	0.082	promoter
PEAK_0007	-800	0.0	promoter
PEAK_0007	-750	0.329	promoter
PEAK_0007	-700	0.622	promoter
PEAK_0007	-650	0.0	promoter
PEAK_0007	-600	0.399	promoter
PEAK_0007	-550	0.271	promoter
PEAK_0007	-500	0.0	promoter
PEAK_0007	-450	0.56	promoter
PEAK_0007	-400	0.182	promoter
PEAK_0007	-350	2.223	promoter
PEAK_0007	-300	3.203	promoter
PEAK_0007	-250	5.089	promoter
PEAK_0007	-200	7.271	promoter
PEAK_0007	-150	7.95	promoter
PEAK_0007	-100	10.532	promoter
PEAK_0007	-50	10.604	promoter
PEAK_0007	0	10.98	promoter
PEAK_0007	50	10.485	promoter
PEAK_0007	100	11.71	promoter
PEAK_0007	150	9.693	promoter
PEAK_0007	200	7.697	promoter
PEAK_0007	250	4.362	promoter
PEAK_0007	300	3.31	promoter
PEAK_0007	350	1.561	promoter
PEAK_0007	400	0.957	promoter
PEAK_0007	450	0.584	promoter
PEAK_0007	500	0.002	promoter
PEAK_0007	550	0.283	promoter
PEAK_0007	600	0.0	promoter
PEAK_0007	650	0.274	promoter
PEAK_0007	700	0.185	promoter
PEAK_0007	750	0.043	promoter
PEAK_0007	800	0.588	promoter
PEAK_0007	850	0.304	promoter
PEAK_0007	900	0.622	promoter
PEAK_0007	950	0.463	promoter
PEAK_0007	1000	0.307	promoter
PEAK_0008	-1000	0.347	background
PEAK_0008	-950	0.865	background
PEAK_0008	-900	0.0	background
PEAK_0008	-850	0.65	background
PEAK_0008	-800	0.132	background
PEAK_0008	-750	0.639	background
PEAK_0008	-700	0.773	background
PEAK_0008	-650	0.124	background
PEAK_0008	-600	0.836	background
PEAK_0008	-550	0.718	background
PEAK_0008	-500	0.377	background
PEAK_0008	-450	0.828	background
PEAK_0008	-400	0.602	background
PEAK_0008	-350	0.843	background
PEAK_0008	-300	0.78	background
PEAK_0008	-250	1.468	background
PEAK_0008	-200	0.812	background
PEAK_0008	-150	0.529	background
PEAK_0008	-100	0.856	background
PEAK_0008	-50	0.562	background
PEAK_0008	0	1.564	background
PEAK_0008	50	1.254	background
PEAK_0008	100	0.436	background
PEAK_0008	150	1.214	background
PEAK_0008	200	0.56	background
PEAK_0008	250	1.199	background
PEAK_0008	300	0.74	background
PEAK_0008	350	0.209	background
PEAK_0008	400	1.262	background
PEAK_0008	450	1.005	background
PEAK_0008	500	0.858	background
PEAK_0008	550	0.774	background
PEAK_0008	600	0.641	background
PEAK_0008	650	0.958	background
PEAK_0008	700	0.64	background
PEAK_0008	750	0.464	background
PEAK_0008	800	0.311	background
PEAK_0008	850	0.795	background
PEAK_0008	900	0.017	background
PEAK_0008	950	0.54	background
PEAK_0008	1000	0.32	background
PEAK_0009	-1000	0.346	enhancer
PEAK_0009	-950	0.67	enhancer
PEAK_0009	-900	1.281	enhancer
PEAK_0009	-850	1.005	enhancer
PEAK_0009	-800	1.772	enhancer
PEAK_0009	-750	1.143	enhancer
PEAK_0009	-700	1.512	enhancer
PEAK_0009	-650	2.272	enhancer
PEAK_0009	-600	2.098	enhancer
PEAK_0009	-550	1.759	enhancer
PEAK_0009	-500	2.443	enhancer
PEAK_0009	-450	3.451	enhancer
PEAK_0009	-400	3.54	enhancer
PEAK_0009	-350	3.378	enhancer
PEAK_0009	-300	3.142	enhancer
PEAK_0009	-250	3.822	enhancer
PEAK_0009	-200	4.321	enhancer
PEAK_0009	-150	4.904	enhancer
PEAK_0009	-100	4.627	enhancer
PEAK_0009	-50	4.522	enhancer
PEAK_0009	0	4.512	enhancer
PEAK_0009	50	4.163	enhancer
PEAK_0009	100	4.458	enhancer
PEAK_0009	150	3.228	enhancer
PEAK_0009	200	2.998	enhancer
PEAK_0009	250	2.647	enhancer
PEAK_0009	300	3.043	enhancer
PEAK_0009	350	2.615	enhancer
PEAK_0009	400	2.075	enhancer
PEAK_0009	450	1.884	enhancer
PEAK_0009	500	1.741	enhancer
PEAK_0009	550	1.21	enhancer
PEAK_0009	600	0.858	enhancer
PEAK_0009	650	0.59	enhancer
PEAK_0009	700	0.972	enhancer
PEAK_0009	750	0.53	enhancer
PEAK_0009	800	0.333	enhancer
PEAK_0009	850	0.463	enhancer
PEAK_0009	900	0.333	enhancer
PEAK_0009	950	0.471	enhancer
PEAK_0009	1000	0.388	enhancer
PEAK_0010	-1000	0.711	enhancer
PEAK_0010	-950	0.993	enhancer
PEAK_0010	-900	1.235	enhancer
PEAK_0010	-850	1.489	enhancer
PEAK_0010	-800	1.25	enhancer
PEAK_0010	-750	1.491	enhancer
PEAK_0010	-700	1.694	enhancer
PEAK_0010	-650	1.562	enhancer
PEAK_0010	-600	1.999	enhancer
PEAK_0010	-550	3.085	enhancer
PEAK_0010	-500	2.653	enhancer
PEAK_0010	-450	3.609	enhancer
PEAK_0010	-400	2.788	enhancer
PEAK_0010	-350	2.98	enhancer
PEAK_0010	-300	3.74	enhancer
PEAK_0010	-250	3.424	enhancer
PEAK_0010	-200	4.392	enhancer
PEAK_0010	-150	3.765	enhancer
PEAK_0010	-100	4.635	enhancer
PEAK_0010	-50	3.308	enhancer
PEAK_0010	0	3.96	enhancer
PEAK_0010	50	3.383	enhancer
PEAK_0010	100	3.787	enhancer
PEAK_0010	150	4.508	enhancer
PEAK_0010	200	2.692	enhancer
PEAK_0010	250	2.661	enhancer
PEAK_0010	300	3.197	enhancer
PEAK_0010	350	2.986	enhancer
PEAK_0010	400	3.0	enhancer
PEAK_0010	450	1.993	enhancer
PEAK_0010	500	2.824	enhancer
PEAK_0010	550	2.472	enhancer
PEAK_0010	600	1.484	enhancer
PEAK_0010	650	1.485	enhancer
PEAK_0010	700	1.235	enhancer
PEAK_0010	750	1.217	enhancer
PEAK_0010	800	1.083	enhancer
PEAK_0010	850	1.024	enhancer
PEAK_0010	900	0.759	enhancer
PEAK_0010	950	0.316	enhancer
PEAK_0010	1000	0.514	enhancer
PEAK_0011	-1000	0.462	promoter
PEAK_0011	-950	0.38	promoter
PEAK_0011	-900	0.219	promoter
PEAK_0011	-850	0.179	promoter
PEAK_0011	-800	0.118	promoter
PEAK_0011	-750	0.03	promoter
PEAK_0011	-700	0.198	promoter
PEAK_0011	-650	0.278	promoter
PEAK_0011	-600	0.417	promoter
PEAK_0011	-550	0.264	promoter
PEAK_0011	-500	0.362	promoter
PEAK_0011	-450	0.428	promoter
PEAK_0011	-400	0.949	promoter
PEAK_0011	-350	2.233	promoter
PEAK_0011	-300	3.437	promoter
PEAK_0011	-250	6.919	promoter
PEAK_0011	-200	9.781	promoter
PEAK_0011	-150	15.636	promoter
PEAK_0011	-100	17.727	promoter
PEAK_0011	-50	19.251	promoter
PEAK_0011	0	20.122	promoter
PEAK_0011	50	18.978	promoter
PEAK_0011	100	17.633	promoter
PEAK_0011	150	15.089	promoter
PEAK_0011	200	9.79	promoter
PEAK_0011	250	5.979	promoter
PEAK_0011	300	2.916	promoter
PEAK_0011	350	1.883	promoter
PEAK_0011	400	0.974	promoter
PEAK_0011	450	0.445	promoter
PEAK_0011	500	0.336	promoter
PEAK_0011	550	0.417	promoter
PEAK_0011	600	0.138	promoter
PEAK_0011	650	0.303	promoter
PEAK_0011	700	0.22	promoter
PEAK_0011	750	0.29	promoter
PEAK_0011	800	0.089	promoter
PEAK_0011	850	0.013	promoter
PEAK_0011	900	0.0	promoter
PEAK_0011	950	0.34	promoter
PEAK_0011	1000	0.153	promoter
PEAK_0012	-1000	0.388	promoter
PEAK_0012	-950	0.125	promoter
PEAK_0012	-900	0.741	promoter
PEAK_0012	-850	0.077	promoter
PEAK_0012	-800	0.287	promoter
PEAK_0012	-750	0.291	promoter
PEAK_0012	-700	0.569	promoter
PEAK_0012	-650	0.088	promoter
PEAK_0012	-600	0.0	promoter
PEAK_0012	-550	0.0	promoter
PEAK_0012	-500	0.0	promoter
PEAK_0012	-450	0.532	promoter
PEAK_0012	-400	0.498	promoter
PEAK_0012	-350	1.407	promoter
PEAK_0012	-300	1.34	promoter
PEAK_0012	-250	3.286	promoter
PEAK_0012	-200	3.367	promoter
PEAK_0012	-150	4.399	promoter
PEAK_0012	-100	6.578	promoter
PEAK_0012	-50	6.355	promoter
PEAK_0012	0	6.855	promoter
PEAK_0012	50	5.682	promoter
PEAK_0012	100	5.526	promoter
PEAK_0012	150	4.746	promoter
PEAK_0012	200	3.077	promoter
PEAK_0012	250	2.376	promoter
PEAK_0012	300	1.435	promoter
PEAK_0012	350	0.599	promoter
PEAK_0012	400	0.362	promoter
PEAK_0012	450	0.229	promoter
PEAK_0012	500	0.257	promoter
PEAK_0012	550	0.656	promoter
PEAK_0012	600	0.203	promoter
PEAK_0012	650	0.18	promoter
PEAK_0012	700	0.0	promoter
PEAK_0012	750	0.18	promoter
PEAK_0012	800	0.281	promoter
PEAK_0012	850	0.369	promoter
PEAK_0012	900	0.209	promoter
PEAK_0012	950	0.496	promoter
PEAK_0012	1000	0.149	promoter
PEAK_0013	-1000	0.026	promoter
PEAK_0013	-950	0.315	promoter
PEAK_0013	-900	0.0	promoter
PEAK_0013	-850	0.184	promoter
PEAK_0013	-800	0.283	promoter
PEAK_0013	-750	0.624	promoter
PEAK_0013	-700	0.305	promoter
PEAK_0013	-650	0.265	promoter
PEAK_0013	-600	0.276	promoter
PEAK_0013	-550	0.377	promoter
PEAK_0013	-500	0.159	promoter
PEAK_0013	-450	0.4	promoter
PEAK_0013	-400	0.531	promoter
PEAK_0013	-350	1.297	promoter
PEAK_0013	-300	2.302	promoter
PEAK_0013	-250	3.894	promoter
PEAK_0013	-200	6.789	promoter
PEAK_0013	-150	10.532	promoter
PEAK_0013	-100	15.682	promoter
PEAK_0013	-50	16.576	promoter
PEAK_0013	0	20.18	promoter
PEAK_0013	50	18.494	promoter
PEAK_0013	100	15.238	promoter
PEAK_0013	150	9.041	promoter
PEAK_0013	200	6.868	promoter
PEAK_0013	250	4.499	promoter
PEAK_0013	300	1.879	promoter
PEAK_0013	350	1.101	promoter
PEAK_0013	400	0.535	promoter
PEAK_0013	450	0.0	promoter
PEAK_0013	500	0.21	promoter
PEAK_0013	550	0.226	promoter
PEAK_0013	600	0.698	promoter
PEAK_0013	650	0.069	promoter
PEAK_0013	700	0.662	promoter
PEAK_0013	750	0.094	promoter
PEAK_0013	800	0.329	promoter
PEAK_0013	850	0.292	promoter
PEAK_0013	900	0.095	promoter
PEAK_0013	950	0.321	promoter
PEAK_0013	1000	0.036	promoter
PEAK_0014	-1000	0.24	promoter
PEAK_0014	-950	0.612	promoter
PEAK_0014	-900	0.263	promoter
PEAK_0014	-850	0.288	promoter
PEAK_0014	-800	0.0	promoter
PEAK_0014	-750	0.972	promoter
PEAK_0014	-700	0.14	promoter
PEAK_0014	-650	0.21	promoter
PEAK_0014	-600	0.35	promoter
PEAK_0014	-550	0.194	promoter
PEAK_0014	-500	0.013	promoter
PEAK_0014	-450	0.302	promoter
PEAK_0014	-400	0.298	promoter
PEAK_0014	-350	0.748	promoter
PEAK_0014	-300	1.755	promoter
PEAK_0014	-250	3.221	promoter
PEAK_0014	-200	4.719	promoter
PEAK_0014	-150	7.253	promoter
PEAK_0014	-100	8.564	promoter
PEAK_0014	-50	8.688	promoter
PEAK_0014	0	10.067	promoter
PEAK_0014	50	9.149	promoter
PEAK_0014	100	7.882	promoter
PEAK_0014	150	7.574	promoter
PEAK_0014	200	4.858	promoter
PEAK_0014	250	2.923	promoter
PEAK_0014	300	1.862	promoter
PEAK_0014	350	1.105	promoter
PEAK_0014	400	0.979	promoter
PEAK_0014	450	0.379	promoter
PEAK_0014	500	0.649	promoter
PEAK_0014	550	0.058	promoter
PEAK_0014	600	0.318	promoter
PEAK_0014	650	0.16	promoter
PEAK_0014	700	0.517	promoter
PEAK_0014	750	0.202	promoter
PEAK_0014	800	0.207	promoter
PEAK_0014	850	0.385	promoter
PEAK_0014	900	0.295	promoter
PEAK_0014	950	0.166	promoter
PEAK_0014	1000	0.0	promoter
PEAK_0015	-1000	0.62	enhancer
PEAK_0015	-950	0.421	enhancer
PEAK_0015	-900	0.291	enhancer
PEAK_0015	-850	1.249	enhancer
PEAK_0015	-800	1.591	enhancer
PEAK_0015	-750	1.581	enhancer
PEAK_0015	-700	1.563	enhancer
PEAK_0015	-650	2.411	enhancer
PEAK_0015	-600	1.743	enhancer
PEAK_0015	-550	2.57	enhancer
PEAK_0015	-500	3.42	enhancer
PEAK_0015	-450	3.473	enhancer
PEAK_0015	-400	3.226	enhancer
PEAK_0015	-350	4.275	enhancer
PEAK_0015	-300	4.577	enhancer
PEAK_0015	-250	4.704	enhancer
PEAK_0015	-200	4.911	enhancer
PEAK_0015	-150	4.359	enhancer
PEAK_0015	-100	5.287	enhancer
PEAK_0015	-50	4.123	enhancer
PEAK_0015	0	4.617	enhancer
PEAK_0015	50	5.644	enhancer
PEAK_0015	100	5.388	enhancer
PEAK_0015	150	6.272	enhancer
PEAK_0015	200	3.155	enhancer
PEAK_0015	250	3.883	enhancer
PEAK_0015	300	3.959	enhancer
PEAK_0015	350	3.28	enhancer
PEAK_0015	400	3.694	enhancer
PEAK_0015	450	2.096	enhancer
PEAK_0015	500	2.467	enhancer
PEAK_0015	550	2.318	enhancer
PEAK_0015	600	1.527	enhancer
PEAK_0015	650	1.534	enhancer
PEAK_0015	700	1.607	enhancer
PEAK_0015	750	1.427	enhancer
PEAK_0015	800	0.815	enhancer
PEAK_0015	850	1.204	enhancer
PEAK_0015	900	1.117	enhancer
PEAK_0015	950	0.783	enhancer
PEAK_0015	1000	0.389	enhancer
PEAK_0016	-1000	0.275	enhancer
PEAK_0016	-950	0.43	enhancer
PEAK_0016	-900	0.0	enhancer
PEAK_0016	-850	0.622	enhancer
PEAK_0016	-800	1.044	enhancer
PEAK_0016	-750	1.487	enhancer
PEAK_0016	-700	1.702	enhancer
PEAK_0016	-650	2.9	enhancer
PEAK_0016	-600	4.323	enhancer
PEAK_0016	-550	4.361	enhancer
PEAK_0016	-500	4.469	enhancer
PEAK_0016	-450	5.009	enhancer
PEAK_0016	-400	6.428	enhancer
PEAK_0016	-350	5.686	enhancer
PEAK_0016	-300	6.298	enhancer
PEAK_0016	-250	7.979	enhancer
PEAK_0016	-200	8.685	enhancer
PEAK_0016	-150	7.747	enhancer
PEAK_0016	-100	7.95	enhancer
PEAK_0016	-50	7.649	enhancer
PEAK_0016	0	7.598	enhancer
PEAK_0016	50	6.467	enhancer
PEAK_0016	100	6.078	enhancer
PEAK_0016	150	5.1	enhancer
PEAK_0016	200	5.055	enhancer
PEAK_0016	250	4.01	enhancer
PEAK_0016	300	2.964	enhancer
PEAK_0016	350	3.415	enhancer
PEAK_0016	400	1.681	enhancer
PEAK_0016	450	1.791	enhancer
PEAK_0016	500	1.263	enhancer
PEAK_0016	550	0.742	enhancer
PEAK_0016	600	0.95	enhancer
PEAK_0016	650	0.392	enhancer
PEAK_0016	700	0.657	enhancer
PEAK_0016	750	0.76	enhancer
PEAK_0016	800	0.495	enhancer
PEAK_0016	850	0.065	enhancer
PEAK_0016	900	0.158	enhancer
PEAK_0016	950	0.242	enhancer
PEAK_0016	1000	0.391	enhancer
PEAK_0017	-1000	0.449	enhancer
PEAK_0017	-950	1.167	enhancer
PEAK_0017	-900	1.112	enhancer
PEAK_0017	-850	1.051	enhancer
PEAK_0017	-800	1.279	enhancer
PEAK_0017	-750	1.738	enhancer
PEAK_0017	-700	1.607	enhancer
PEAK_0017	-650	1.311	enhancer
PEAK_0017	-600	1.836	enhancer
PEAK_0017	-550	3.372	enhancer
PEAK_0017	-500	3.098	enhancer
PEAK_0017	-450	3.214	enhancer
PEAK_0017	-400	3.909	enhancer
PEAK_0017	-350	4.462	enhancer
PEAK_0017	-300	4.687	enhancer
PEAK_0017	-250	4.96	enhancer
PEAK_0017	-200	5.624	enhancer
PEAK_0017	-150	4.913	enhancer
PEAK_0017	-100	6.326	enhancer
PEAK_0017	-50	7.078	enhancer
PEAK_0017	0	6.615	enhancer
PEAK_0017	50	6.861	enhancer
PEAK_0017	100	7.504	enhancer
PEAK_0017	150	6.95	enhancer
PEAK_0017	200	5.848	enhancer
PEAK_0017	250	6.477	enhancer
PEAK_0017	300	6.15	enhancer
PEAK_0017	350	5.186	enhancer
PEAK_0017	400	5.169	enhancer
PEAK_0017	450	4.61	enhancer
PEAK_0017	500	4.538	enhancer
PEAK_0017	550	4.735	enhancer
PEAK_0017	600	3.16	enhancer
PEAK_0017	650	4.522	enhancer
PEAK_0017	700	2.229	enhancer
PEAK_0017	750	3.035	enhancer
PEAK_0017	800	2.081	enhancer
PEAK_0017	850	1.894	enhancer
PEAK_0017	900	1.045	enhancer
PEAK_0017	950	1.816	enhancer
PEAK_0017	1000	1.251	enhancer
PEAK_0018	-1000	0.456	enhancer
PEAK_0018	-950	0.218	enhancer
PEAK_0018	-900	0.777	enhancer
PEAK_0018	-850	0.359	enhancer
PEAK_0018	-800	0.52	enhancer
PEAK_0018	-750	0.406	enhancer
PEAK_0018	-700	1.04	enhancer
PEAK_0018	-650	1.091	enhancer
PEAK_0018	-600	1.391	enhancer
PEAK_0018	-550	1.661	enhancer
PEAK_0018	-500	1.837	enhancer
PEAK_0018	-450	2.302	enhancer
PEAK_0018	-400	2.67	enhancer
PEAK_0018	-350	2.844	enhancer
PEAK_0018	-300	3.152	enhancer
PEAK_0018	-250	3.904	enhancer
PEAK_0018	-200	4.88	enhancer
PEAK_0018	-150	3.748	enhancer
PEAK_0018	-100	3.981	enhancer
PEAK_0018	-50	4.103	enhancer
PEAK_0018	0	4.534	enhancer
PEAK_0018	50	5.419	enhancer
PEAK_0018	100	4.138	enhancer
PEAK_0018	150	3.937	enhancer
PEAK_0018	200	4.796	enhancer
PEAK_0018	250	4.514	enhancer
PEAK_0018	300	3.318	enhancer
PEAK_0018	350	3.155	enhancer
PEAK_0018	400	2.399	enhancer
PEAK_0018	450	2.807	enhancer
PEAK_0018	500	2.308	enhancer
PEAK_0018	550	2.107	enhancer
PEAK_0018	600	1.778	enhancer
PEAK_0018	650	1.322	enhancer
PEAK_0018	700	1.376	enhancer
PEAK_0018	750	1.093	enhancer
PEAK_0018	800	0.87	enhancer
PEAK_0018	850	0.394	enhancer
PEAK_0018	900	0.889	enhancer
PEAK_0018	950	0.513	enhancer
PEAK_0018	1000	0.017	enhancer
PEAK_0019	-1000	0.328	promoter
PEAK_0019	-950	0.675	promoter
PEAK_0019	-900	0.262	promoter
PEAK_0019	-850	0.589	promoter
PEAK_0019	-800	0.074	promoter
PEAK_0019	-750	0.234	promoter
PEAK_0019	-700	0.303	promoter
PEAK_0019	-650	0.757	promoter
PEAK_0019	-600	0.526	promoter
PEAK_0019	-550	0.0	promoter
PEAK_0019	-500	0.0	promoter
