tool	quality	precision	recall	fpr
deepvariant	32.5	0.318	1.0	0.91924
deepvariant	31.67	0.3157	1.0	0.92877
deepvariant	30.83	0.3137	1.0	0.9374
deepvariant	30.0	0.312	1.0	0.9452
deepvariant	29.17	0.3104	1.0	0.95221
deepvariant	28.33	0.309	1.0	0.95848
deepvariant	27.5	0.3077	1.0	0.96407
deepvariant	26.67	0.3066	1.0	0.96903
deepvariant	25.83	0.3057	1.0	0.9734
deepvariant	25.0	0.3049	1.0	0.97725
deepvariant	24.17	0.3041	1.0	0.98062
deepvariant	23.33	0.3035	1.0	0.98355
deepvariant	22.5	0.3029	1.0	0.9861
deepvariant	21.67	0.3025	1.0	0.98829
deepvariant	20.83	0.3021	1.0	0.99018
deepvariant	20.0	0.3017	1.0	0.9918
deepvariant	19.17	0.3014	1.0	0.99318
deepvariant	18.33	0.3012	1.0	0.99435
deepvariant	17.5	0.301	1.0	0.99534
deepvariant	16.67	0.3008	1.0	0.99617
deepvariant	15.83	0.3007	1.0	0.99687
deepvariant	15.0	0.3005	1.0	0.99744
deepvariant	14.17	0.3004	1.0	0.99793
deepvariant	13.33	0.3004	1.0	0.99832
deepvariant	12.5	0.3003	1.0	0.99865
deepvariant	11.67	0.3002	1.0	0.99892
deepvariant	10.83	0.3002	1.0	0.99914
deepvariant	10.0	0.3001	1.0	0.99931
deepvariant	9.17	0.3001	1.0	0.99946
deepvariant	8.33	0.3001	1.0	0.99957
deepvariant	7.5	0.3001	1.0	0.99966
deepvariant	6.67	0.3001	1.0	0.99974
deepvariant	5.83	0.3	1.0	0.99979
deepvariant	5.0	0.3	1.0	0.99984
deepvariant	4.17	0.3	1.0	0.99988
deepvariant	3.33	0.3	1.0	0.99991
deepvariant	2.5	0.3	1.0	0.99993
deepvariant	1.67	0.3	1.0	0.99994
deepvariant	0.83	0.3	1.0	0.99996
deepvariant	0.0	0.3	1.0	0.99997
gatk_haplotypecaller	100.0	0.9987	0.0548	3e-05
gatk_haplotypecaller	99.17	0.9985	0.0626	4e-05
gatk_haplotypecaller	98.33	0.998	0.07123	6e-05
gatk_haplotypecaller	97.5	0.998	0.08076	7e-05
gatk_haplotypecaller	96.67	0.9977	0.09121	9e-05
gatk_haplotypecaller	95.83	0.9973	0.10264	0.00012
gatk_haplotypecaller	95.0	0.9968	0.11507	0.00016
gatk_haplotypecaller	94.17	0.9962	0.12854	0.00021
gatk_haplotypecaller	93.33	0.9958	0.14306	0.00026
gatk_haplotypecaller	92.5	0.995	0.15866	0.00034
gatk_haplotypecaller	91.67	0.9943	0.17532	0.00043
gatk_haplotypecaller	90.83	0.9935	0.19306	0.00054
gatk_haplotypecaller	90.0	0.9925	0.21186	0.00069
gatk_haplotypecaller	89.17	0.9914	0.23168	0.00086
gatk_haplotypecaller	88.33	0.9901	0.25249	0.00108
gatk_haplotypecaller	87.5	0.9886	0.27425	0.00135
gatk_haplotypecaller	86.67	0.987	0.2969	0.00168
gatk_haplotypecaller	85.83	0.9851	0.32037	0.00207
gatk_haplotypecaller	85.0	0.983	0.34458	0.00256
gatk_haplotypecaller	84.17	0.9806	0.36944	0.00313
gatk_haplotypecaller	83.33	0.9779	0.39486	0.00383
gatk_haplotypecaller	82.5	0.9748	0.42074	0.00466
gatk_haplotypecaller	81.67	0.9713	0.44696	0.00565
gatk_haplotypecaller	80.83	0.9675	0.47342	0.00682
gatk_haplotypecaller	80.0	0.9631	0.5	0.0082
gatk_haplotypecaller	79.17	0.9583	0.52658	0.00982
gatk_haplotypecaller	78.33	0.9529	0.55304	0.01171
gatk_haplotypecaller	77.5	0.947	0.57926	0.0139
gatk_haplotypecaller	76.67	0.9404	0.60514	0.01645
gatk_haplotypecaller	75.83	0.9331	0.63056	0.01938
gatk_haplotypecaller	75.0	0.9251	0.65542	0.02275
gatk_haplotypecaller	74.17	0.9163	0.67963	0.0266
gatk_haplotypecaller	73.33	0.9068	0.7031	0.03097
gatk_haplotypecaller	72.5	0.8964	0.72575	0.03593
gatk_haplotypecaller	71.67	0.8853	0.74751	0.04152
gatk_haplotypecaller	70.83	0.8733	0.76832	0.04779
gatk_haplotypecaller	70.0	0.8604	0.78814	0.0548
gatk_haplotypecaller	69.17	0.8467	0.80694	0.0626
gatk_haplotypecaller	68.33	0.8323	0.82468	0.07123
gatk_haplotypecaller	67.5	0.817	0.84134	0.08076
gatk_haplotypecaller	66.67	0.8011	0.85694	0.09121
gatk_haplotypecaller	65.83	0.7844	0.87146	0.10264
gatk_haplotypecaller	65.0	0.7672	0.88493	0.11507
gatk_haplotypecaller	64.17	0.7495	0.89736	0.12854
gatk_haplotypecaller	63.33	0.7314	0.90879	0.14306
gatk_haplotypecaller	62.5	0.7129	0.91924	0.15866
gatk_haplotypecaller	61.67	0.6942	0.92877	0.17532
gatk_haplotypecaller	60.83	0.6754	0.9374	0.19306
gatk_haplotypecaller	60.0	0.6566	0.9452	0.21186
gatk_haplotypecaller	59.17	0.6379	0.95221	0.23168
gatk_haplotypecaller	58.33	0.6193	0.95848	0.25249
gatk_haplotypecaller	57.5	0.601	0.96407	0.27425
gatk_haplotypecaller	56.67	0.5831	0.96903	0.2969
gatk_haplotypecaller	55.83	0.5656	0.9734	0.32037
gatk_haplotypecaller	55.0	0.5486	0.97725	0.34458
gatk_haplotypecaller	54.17	0.5322	0.98062	0.36944
gatk_haplotypecaller	53.33	0.5163	0.98355	0.39486
gatk_haplotypecaller	52.5	0.5011	0.9861	0.42074
gatk_haplotypecaller	51.67	0.4866	0.98829	0.44696
gatk_haplotypecaller	50.83	0.4727	0.99018	0.47342
gatk_haplotypecaller	50.0	0.4595	0.9918	0.5
gatk_haplotypecaller	49.17	0.447	0.99318	0.52658
gatk_haplotypecaller	48.33	0.4352	0.99435	0.55304
gatk_haplotypecaller	47.5	0.4241	0.99534	0.57926
gatk_haplotypecaller	46.67	0.4137	0.99617	0.60514
gatk_haplotypecaller	45.83	0.4039	0.99687	0.63056
gatk_haplotypecaller	45.0	0.3948	0.99744	0.65542
gatk_haplotypecaller	44.17	0.3862	0.99793	0.67963
gatk_haplotypecaller	43.33	0.3783	0.99832	0.7031
gatk_haplotypecaller	42.5	0.371	0.99865	0.72575
gatk_haplotypecaller	41.67	0.3642	0.99892	0.74751
gatk_haplotypecaller	40.83	0.3579	0.99914	0.76832
gatk_haplotypecaller	40.0	0.3521	0.99931	0.78814
gatk_haplotypecaller	39.17	0.3468	0.99946	0.80694
gatk_haplotypecaller	38.33	0.3419	0.99957	0.82468
gatk_haplotypecaller	37.5	0.3374	0.99966	0.84134
gatk_haplotypecaller	36.67	0.3333	0.99974	0.85694
gatk_haplotypecaller	35.83	0.3296	0.99979	0.87146
gatk_haplotypecaller	35.0	0.3262	0.99984	0.88493
gatk_haplotypecaller	34.17	0.3232	0.99988	0.89736
gatk_haplotypecaller	33.33	0.3204	0.99991	0.90879
gatk_haplotypecaller	32.5	0.318	0.99993	0.91924
gatk_haplotypecaller	31.67	0.3157	0.99994	0.92877
gatk_haplotypecaller	30.83	0.3137	0.99996	0.9374
gatk_haplotypecaller	30.0	0.312	0.99997	0.9452
gatk_haplotypecaller	29.17	0.3104	0.99998	0.95221
gatk_haplotypecaller	28.33	0.309	0.99998	0.95848
gatk_haplotypecaller	27.5	0.3077	0.99999	0.96407
gatk_haplotypecaller	26.67	0.3066	0.99999	0.96903
gatk_haplotypecaller	25.83	0.3057	0.99999	0.9734
gatk_haplotypecaller	25.0	0.3049	0.99999	0.97725
gatk_haplotypecaller	24.17	0.3041	1.0	0.98062
gatk_haplotypecaller	23.33	0.3035	1.0	0.98355
gatk_haplotypecaller	22.5	0.3029	1.0	0.9861
gatk_haplotypecaller	21.67	0.3025	1.0	0.98829
gatk_haplotypecaller	20.83	0.3021	1.0	0.99018
gatk_haplotypecaller	20.0	0.3017	1.0	0.9918
gatk_haplotypecaller	19.17	0.3014	1.0	0.99318
gatk_haplotypecaller	18.33	0.3012	1.0	0.99435
gatk_haplotypecaller	17.5	0.301	1.0	0.99534
gatk_haplotypecaller	16.67	0.3008	1.0	0.99617
gatk_haplotypecaller	15.83	0.3007	1.0	0.99687
gatk_haplotypecaller	15.0	0.3005	1.0	0.99744
gatk_haplotypecaller	14.17	0.3004	1.0	0.99793
gatk_haplotypecaller	13.33	0.3004	1.0	0.99832
gatk_haplotypecaller	12.5	0.3003	1.0	0.99865
gatk_haplotypecaller	11.67	0.3002	1.0	0.99892
gatk_haplotypecaller	10.83	0.3002	1.0	0.99914
gatk_haplotypecaller	10.0	0.3001	1.0	0.99931
gatk_haplotypecaller	9.17	0.3001	1.0	0.99946
gatk_haplotypecaller	8.33	0.3001	1.0	0.99957
gatk_haplotypecaller	7.5	0.3001	1.0	0.99966
gatk_haplotypecaller	6.67	0.3001	1.0	0.99974
gatk_haplotypecaller	5.83	0.3	1.0	0.99979
gatk_haplotypecaller	5.0	0.3	1.0	0.99984
gatk_haplotypecaller	4.17	0.3	1.0	0.99988
gatk_haplotypecaller	3.33	0.3	1.0	0.99991
gatk_haplotypecaller	2.5	0.3	1.0	0.99993
gatk_haplotypecaller	1.67	0.3	1.0	0.99994
gatk_haplotypecaller	0.83	0.3	1.0	0.99996
gatk_haplotypecaller	0.0	0.3	1.0	0.99997
strelka2	100.0	0.9935	0.01072	3e-05
strelka2	99.17	0.9927	0.01276	4e-05
strelka2	98.33	0.9908	0.01513	6e-05
strelka2	97.5	0.9909	0.01786	7e-05
strelka2	96.67	0.9901	0.02101	9e-05
strelka2	95.83	0.9888	0.02461	0.00012
strelka2	95.0	0.9872	0.02872	0.00016
strelka2	94.17	0.9855	0.03338	0.00021
strelka2	93.33	0.9845	0.03864	0.00026
strelka2	92.5	0.9825	0.04457	0.00034
strelka2	91.67	0.9808	0.0512	0.00043
strelka2	90.83	0.979	0.0586	0.00054
strelka2	90.0	0.9765	0.06681	0.00069
strelka2	89.17	0.9742	0.07588	0.00086
strelka2	88.33	0.9715	0.08586	0.00108
strelka2	87.5	0.9685	0.0968	0.00135
strelka2	86.67	0.9652	0.10873	0.00168
strelka2	85.83	0.9618	0.12167	0.00207
strelka2	85.0	0.9578	0.13567	0.00256
strelka2	84.17	0.9538	0.15072	0.00313
strelka2	83.33	0.9492	0.16686	0.00383
strelka2	82.5	0.9442	0.18406	0.00466
strelka2	81.67	0.9388	0.20233	0.00565
strelka2	80.83	0.933	0.22164	0.00682
strelka2	80.0	0.9267	0.24196	0.0082
strelka2	79.17	0.9199	0.26326	0.00982
strelka2	78.33	0.9126	0.28547	0.01171
strelka2	77.5	0.9049	0.30854	0.0139
strelka2	76.67	0.8965	0.33239	0.01645
strelka2	75.83	0.8876	0.35693	0.01938
strelka2	75.0	0.878	0.38209	0.02275
strelka2	74.17	0.8679	0.40775	0.0266
strelka2	73.33	0.8572	0.43382	0.03097
strelka2	72.5	0.8459	0.46017	0.03593
strelka2	71.67	0.834	0.4867	0.04152
strelka2	70.83	0.8215	0.5133	0.04779
strelka2	70.0	0.8085	0.53983	0.0548
strelka2	69.17	0.7949	0.56618	0.0626
strelka2	68.33	0.7809	0.59225	0.07123
strelka2	67.5	0.7663	0.61791	0.08076
strelka2	66.67	0.7513	0.64307	0.09121
strelka2	65.83	0.736	0.66761	0.10264
strelka2	65.0	0.7203	0.69146	0.11507
strelka2	64.17	0.7043	0.71453	0.12854
strelka2	63.33	0.6882	0.73674	0.14306
strelka2	62.5	0.6719	0.75804	0.15866
strelka2	61.67	0.6555	0.77836	0.17532
strelka2	60.83	0.6391	0.79767	0.19306
strelka2	60.0	0.6227	0.81594	0.21186
strelka2	59.17	0.6065	0.83314	0.23168
strelka2	58.33	0.5904	0.84928	0.25249
strelka2	57.5	0.5746	0.86433	0.27425
strelka2	56.67	0.5591	0.87833	0.2969
strelka2	55.83	0.5439	0.89127	0.32037
strelka2	55.0	0.529	0.9032	0.34458
strelka2	54.17	0.5147	0.91414	0.36944
strelka2	53.33	0.5008	0.92412	0.39486
strelka2	52.5	0.4873	0.93319	0.42074
strelka2	51.67	0.4744	0.9414	0.44696
strelka2	50.83	0.4621	0.9488	0.47342
strelka2	50.0	0.4502	0.95543	0.5
strelka2	49.17	0.439	0.96136	0.52658
strelka2	48.33	0.4283	0.96662	0.55304
strelka2	47.5	0.4181	0.97128	0.57926
strelka2	46.67	0.4086	0.97539	0.60514
strelka2	45.83	0.3995	0.97899	0.63056
strelka2	45.0	0.3911	0.98214	0.65542
strelka2	44.17	0.3831	0.98487	0.67963
strelka2	43.33	0.3757	0.98724	0.7031
strelka2	42.5	0.3688	0.98928	0.72575
strelka2	41.67	0.3623	0.99103	0.74751
strelka2	40.83	0.3563	0.99252	0.76832
strelka2	40.0	0.3508	0.99379	0.78814
strelka2	39.17	0.3457	0.99487	0.80694
strelka2	38.33	0.341	0.99577	0.82468
strelka2	37.5	0.3367	0.99653	0.84134
strelka2	36.67	0.3328	0.99717	0.85694
strelka2	35.83	0.3292	0.9977	0.87146
strelka2	35.0	0.3259	0.99813	0.88493
strelka2	34.17	0.3229	0.99849	0.89736
strelka2	33.33	0.3202	0.99879	0.90879
strelka2	32.5	0.3178	0.99903	0.91924
strelka2	31.67	0.3156	0.99923	0.92877
strelka2	30.83	0.3136	0.99939	0.9374
strelka2	30.0	0.3119	0.99952	0.9452
strelka2	29.17	0.3103	0.99962	0.95221
strelka2	28.33	0.3089	0.9997	0.95848
strelka2	27.5	0.3077	0.99977	0.96407
strelka2	26.67	0.3066	0.99982	0.96903
strelka2	25.83	0.3057	0.99986	0.9734
strelka2	25.0	0.3048	0.99989	0.97725
strelka2	24.17	0.3041	0.99992	0.98062
strelka2	23.33	0.3035	0.99994	0.98355
strelka2	22.5	0.3029	0.99995	0.9861
strelka2	21.67	0.3025	0.99996	0.98829
strelka2	20.83	0.3021	0.99997	0.99018
strelka2	20.0	0.3017	0.99998	0.9918
strelka2	19.17	0.3014	0.99998	0.99318
strelka2	18.33	0.3012	0.99999	0.99435
strelka2	17.5	0.301	0.99999	0.99534
strelka2	16.67	0.3008	0.99999	0.99617
strelka2	15.83	0.3007	1.0	0.99687
strelka2	15.0	0.3005	1.0	0.99744
strelka2	14.17	0.3004	1.0	0.99793
strelka2	13.33	0.3004	1.0	0.99832
strelka2	12.5	0.3003	1.0	0.99865
strelka2	11.67	0.3002	1.0	0.99892
strelka2	10.83	0.3002	1.0	0.99914
strelka2	10.0	0.3001	1.0	0.99931
strelka2	9.17	0.3001	1.0	0.99946
strelka2	8.33	0.3001	1.0	0.99957
strelka2	7.5	0.3001	1.0	0.99966
strelka2	6.67	0.3001	1.0	0.99974
strelka2	5.83	0.3	1.0	0.99979
strelka2	5.0	0.3	1.0	0.99984
strelka2	4.17	0.3	1.0	0.99988
strelka2	3.33	0.3	1.0	0.99991
strelka2	2.5	0.3	1.0	0.99993
strelka2	1.67	0.3	1.0	0.99994
strelka2	0.83	0.3	1.0	0.99996
strelka2	0.0	0.3	1.0	0.99997
freebayes	100.0	0.9507	0.00135	3e-05
freebayes	99.17	0.9474	0.00168	4e-05
freebayes	98.33	0.9367	0.00207	6e-05
freebayes	97.5	0.94	0.00256	7e-05
freebayes	96.67	0.9371	0.00313	9e-05
freebayes	95.83	0.9319	0.00383	0.00012
freebayes	95.0	0.9258	0.00466	0.00016
freebayes	94.17	0.9202	0.00565	0.00021
freebayes	93.33	0.9183	0.00682	0.00026
freebayes	92.5	0.9118	0.0082	0.00034
freebayes	91.67	0.9073	0.00982	0.00043
freebayes	90.83	0.9029	0.01171	0.00054
freebayes	90.0	0.8962	0.0139	0.00069
freebayes	89.17	0.8913	0.01645	0.00086
freebayes	88.33	0.8849	0.01938	0.00108
freebayes	87.5	0.8784	0.02275	0.00135
freebayes	86.67	0.8716	0.0266	0.00168
freebayes	85.83	0.8651	0.03097	0.00207
freebayes	85.0	0.8574	0.03593	0.00256
freebayes	84.17	0.8504	0.04152	0.00313
freebayes	83.33	0.8425	0.04779	0.00383
freebayes	82.5	0.8344	0.0548	0.00466
freebayes	81.67	0.826	0.0626	0.00565
freebayes	80.83	0.8174	0.07123	0.00682
freebayes	80.0	0.8085	0.08076	0.0082
freebayes	79.17	0.7992	0.09121	0.00982
freebayes	78.33	0.7898	0.10264	0.01171
freebayes	77.5	0.7801	0.11507	0.0139
freebayes	76.67	0.7701	0.12854	0.01645
freebayes	75.83	0.7598	0.14306	0.01938
freebayes	75.0	0.7493	0.15866	0.02275
freebayes	74.17	0.7385	0.17532	0.0266
freebayes	73.33	0.7276	0.19306	0.03097
freebayes	72.5	0.7165	0.21186	0.03593
freebayes	71.67	0.7051	0.23168	0.04152
freebayes	70.83	0.6937	0.25249	0.04779
freebayes	70.0	0.682	0.27425	0.0548
freebayes	69.17	0.6703	0.2969	0.0626
freebayes	68.33	0.6584	0.32037	0.07123
freebayes	67.5	0.6465	0.34458	0.08076
freebayes	66.67	0.6345	0.36944	0.09121
freebayes	65.83	0.6225	0.39486	0.10264
freebayes	65.0	0.6104	0.42074	0.11507
freebayes	64.17	0.5984	0.44696	0.12854
freebayes	63.33	0.5865	0.47342	0.14306
freebayes	62.5	0.5746	0.5	0.15866
freebayes	61.67	0.5628	0.52658	0.17532
freebayes	60.83	0.5511	0.55304	0.19306
freebayes	60.0	0.5395	0.57926	0.21186
freebayes	59.17	0.5282	0.60514	0.23168
freebayes	58.33	0.517	0.63056	0.25249
freebayes	57.5	0.506	0.65542	0.27425
freebayes	56.67	0.4952	0.67963	0.2969
freebayes	55.83	0.4847	0.7031	0.32037
freebayes	55.0	0.4744	0.72575	0.34458
freebayes	54.17	0.4644	0.74751	0.36944
freebayes	53.33	0.4547	0.76832	0.39486
freebayes	52.5	0.4453	0.78814	0.42074
freebayes	51.67	0.4362	0.80694	0.44696
freebayes	50.83	0.4274	0.82468	0.47342
freebayes	50.0	0.419	0.84134	0.5
freebayes	49.17	0.4109	0.85694	0.52658
freebayes	48.33	0.4031	0.87146	0.55304
freebayes	47.5	0.3957	0.88493	0.57926
freebayes	46.67	0.3886	0.89736	0.60514
freebayes	45.83	0.3818	0.90879	0.63056
freebayes	45.0	0.3754	0.91924	0.65542
freebayes	44.17	0.3694	0.92877	0.67963
freebayes	43.33	0.3636	0.9374	0.7031
freebayes	42.5	0.3582	0.9452	0.72575
freebayes	41.67	0.3531	0.95221	0.74751
freebayes	40.83	0.3484	0.95848	0.76832
freebayes	40.0	0.3439	0.96407	0.78814
freebayes	39.17	0.3398	0.96903	0.80694
freebayes	38.33	0.3359	0.9734	0.82468
freebayes	37.5	0.3324	0.97725	0.84134
freebayes	36.67	0.3291	0.98062	0.85694
freebayes	35.83	0.326	0.98355	0.87146
freebayes	35.0	0.3232	0.9861	0.88493
freebayes	34.17	0.3207	0.98829	0.89736
freebayes	33.33	0.3183	0.99018	0.90879
freebayes	32.5	0.3162	0.9918	0.91924
freebayes	31.67	0.3143	0.99318	0.92877
freebayes	30.83	0.3125	0.99435	0.9374
freebayes	30.0	0.311	0.99534	0.9452
freebayes	29.17	0.3096	0.99617	0.95221
freebayes	28.33	0.3083	0.99687	0.95848
freebayes	27.5	0.3072	0.99744	0.96407
freebayes	26.67	0.3062	0.99793	0.96903
freebayes	25.83	0.3053	0.99832	0.9734
freebayes	25.0	0.3046	0.99865	0.97725
freebayes	24.17	0.3039	0.99892	0.98062
freebayes	23.33	0.3033	0.99914	0.98355
freebayes	22.5	0.3028	0.99931	0.9861
freebayes	21.67	0.3024	0.99946	0.98829
freebayes	20.83	0.302	0.99957	0.99018
freebayes	20.0	0.3017	0.99966	0.9918
freebayes	19.17	0.3014	0.99974	0.99318
freebayes	18.33	0.3011	0.99979	0.99435
freebayes	17.5	0.3009	0.99984	0.99534
freebayes	16.67	0.3008	0.99988	0.99617
freebayes	15.83	0.3006	0.99991	0.99687
freebayes	15.0	0.3005	0.99993	0.99744
freebayes	14.17	0.3004	0.99994	0.99793
freebayes	13.33	0.3003	0.99996	0.99832
freebayes	12.5	0.3003	0.99997	0.99865
freebayes	11.67	0.3002	0.99998	0.99892
freebayes	10.83	0.3002	0.99998	0.99914
freebayes	10.0	0.3001	0.99999	0.99931
freebayes	9.17	0.3001	0.99999	0.99946
freebayes	8.33	0.3001	0.99999	0.99957
freebayes	7.5	0.3001	0.99999	0.99966
freebayes	6.67	0.3001	1.0	0.99974
freebayes	5.83	0.3	1.0	0.99979
freebayes	5.0	0.3	1.0	0.99984
freebayes	4.17	0.3	1.0	0.99988
freebayes	3.33	0.3	1.0	0.99991
freebayes	2.5	0.3	1.0	0.99993
freebayes	1.67	0.3	1.0	0.99994
freebayes	0.83	0.3	1.0	0.99996
freebayes	0.0	0.3	1.0	0.99997
