individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
ID_47,37.5,18.9,179.0,2975.0
ID_48,36.0,17.9,190.0,3450.0
ID_49,42.3,21.2,191.0,4150.0
ID_50,39.6,17.7,186.0,3500.0
ID_51,40.1,18.9,188.0,4300.0
ID_52,35.0,17.9,190.0,3450.0
ID_53,42.0,19.5,200.0,4050.0
ID_54,34.5,18.1,187.0,2900.0
ID_55,41.4,18.6,191.0,3700.0
ID_56,39.0,17.5,186.0,3550.0
ID_57,40.6,18.8,193.0,3800.0
ID_58,36.5,16.6,181.0,2850.0
ID_59,37.6,19.1,194.0,3750.0
ID_60,35.7,16.9,185.0,3150.0
ID_61,41.3,21.1,195.0,4400.0
ID_62,37.6,17.0,185.0,3600.0
ID_63,41.1,18.2,192.0,4050.0
ID_64,36.4,17.1,184.0,2850.0
ID_65,41.6,18.0,192.0,3950.0
ID_66,35.5,16.2,195.0,3350.0
ID_67,41.1,19.1,188.0,4100.0
ID_68,35.9,16.6,190.0,3050.0
ID_69,41.8,19.4,198.0,4450.0
ID_70,33.5,19.0,190.0,3600.0
ID_71,39.7,18.4,190.0,3900.0
ID_72,39.6,17.2,196.0,3550.0
ID_73,45.8,18.9,197.0,4150.0
ID_74,35.5,17.5,190.0,3700.0
ID_75,42.8,18.5,195.0,4250.0
ID_76,40.9,16.8,191.0,3700.0
ID_77,37.2,19.4,184.0,3900.0
ID_78,36.2,16.1,187.0,3550.0
ID_79,42.1,19.1,195.0,4000.0
ID_80,34.6,17.2,189.0,3200.0
ID_81,42.9,17.6,196.0,4700.0
ID_82,36.7,18.8,187.0,3800.0
ID_83,35.1,19.4,193.0,4200.0
ID_84,37.3,17.8,191.0,3350.0
ID_85,41.3,20.3,194.0,3550.0
ID_86,36.3,19.5,190.0,3800.0
ID_87,36.9,18.6,189.0,3500.0
ID_88,38.3,19.2,189.0,3950.0
ID_89,38.9,18.8,190.0,3600.0
ID_90,35.7,18.0,202.0,3550.0
ID_91,41.1,18.1,205.0,4300.0
ID_92,34.0,17.1,185.0,3400.0
ID_93,39.6,18.1,186.0,4450.0
ID_94,36.2,17.3,187.0,3300.0
ID_95,40.8,18.9,208.0,4300.0
ID_96,38.1,18.6,190.0,3700.0
ID_97,40.3,18.5,196.0,4350.0
ID_98,33.1,16.1,178.0,2900.0
ID_99,43.2,18.5,192.0,4100.0
ID_100,35.0,17.9,192.0,3725.0
ID_101,41.0,20.0,203.0,4725.0
ID_102,37.7,16.0,183.0,3075.0
ID_103,37.8,20.0,190.0,4250.0
ID_104,37.9,18.6,193.0,2925.0
ID_105,39.7,18.9,184.0,3550.0
ID_106,38.6,17.2,199.0,3750.0
ID_107,38.2,20.0,190.0,3900.0
ID_108,38.1,17.0,181.0,3175.0
ID_109,43.2,19.0,197.0,4775.0
ID_110,38.1,16.5,198.0,3825.0
ID_111,45.6,20.3,191.0,4600.0
ID_112,39.7,17.7,193.0,3200.0
ID_113,42.2,19.5,197.0,4275.0
ID_114,39.6,20.7,191.0,3900.0
ID_115,42.7,18.3,196.0,4075.0
ID_116,38.6,17.0,188.0,2900.0
ID_117,37.3,20.5,199.0,3775.0
ID_118,35.7,17.0,189.0,3350.0
ID_119,41.1,18.6,189.0,3325.0
ID_120,36.2,17.2,187.0,3150.0
ID_121,37.7,19.8,198.0,3500.0
ID_122,40.2,17.0,176.0,3450.0
ID_123,41.4,18.5,202.0,3875.0
ID_124,35.2,15.9,186.0,3050.0
ID_125,40.6,19.0,199.0,4000.0
ID_126,38.8,17.6,191.0,3275.0
ID_127,41.5,18.3,195.0,4300.0
ID_128,39.0,17.1,191.0,3050.0
ID_129,44.1,18.0,210.0,4000.0
ID_130,38.5,17.9,190.0,3325.0
ID_131,43.1,19.2,197.0,3500.0
ID_132,36.8,18.5,193.0,3500.0
ID_133,37.5,18.5,199.0,4475.0
ID_134,38.1,17.6,187.0,3425.0
ID_135,41.1,17.5,190.0,3900.0
ID_136,35.6,17.5,191.0,3175.0
ID_137,40.2,20.1,200.0,3975.0
ID_138,37.0,16.5,185.0,3400.0
ID_139,39.7,17.9,193.0,4250.0
ID_140,40.2,17.1,193.0,3400.0
ID_141,40.6,17.2,187.0,3475.0
ID_142,32.1,15.5,188.0,3050.0
ID_143,40.7,17.0,190.0,3725.0
ID_144,37.3,16.8,192.0,3000.0
ID_145,39.0,18.7,185.0,3650.0
ID_146,39.2,18.6,190.0,4250.0
ID_147,36.6,18.4,184.0,3475.0
ID_148,36.0,17.8,195.0,3450.0
ID_149,37.8,18.1,193.0,3750.0
ID_150,36.0,17.1,187.0,3700.0
ID_151,41.5,18.5,201.0,4000.0
