sample	taxonomy	rel_abundance	Kingdom	Phylum	habitat	name	Riv_vs_Gro	Sed_vs_Soil	sampling_date	lon	lat	city	ctd_temperature_c	ctd_conductivity_us_cm	ctd_do_mg_l	ctd_ph	ctd_turbidity_ntu	ctd_nitrate_mg_l	ctd_doc_mg_l	ctd_depth_m
SRR10070130	;;	0.0024812384881189777	Unclassified	Unclassified	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Chloroflexota	0.0017657893535079842	Bacteria	Chloroflexota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bacillota	0.008250498531045926	Bacteria	Bacillota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bdellovibrionota	0.007489382430395933	Bacteria	Bdellovibrionota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;	0.04616930266542858	Bacteria	Unclassified	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Desulfobacterota	0.0032575769107819706	Bacteria	Desulfobacterota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Elusimicrobiota	0.000548003592467995	Bacteria	Elusimicrobiota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Myxococcota	0.0017353447094819844	Bacteria	Myxococcota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Nitrospirota	0.0009133393207799918	Bacteria	Nitrospirota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Archaea;Archaea;Thermoproteota	0.0007915607446759929	Archaea	Thermoproteota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bdellovibrionota_B	0.0009742286088319913	Bacteria	Bdellovibrionota_B	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Omnitrophota	0.006195485059290944	Bacteria	Omnitrophota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Campylobacterota	0.021539585648394807	Bacteria	Campylobacterota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Eisenbacteria	0.000776338422662993	Bacteria	Eisenbacteria	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Gemmatimonadota	0.0001674455421429985	Bacteria	Gemmatimonadota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Krumholzibacteriota	0.00025877947422099765	Bacteria	Krumholzibacteriota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Cyanobacteriota	0.008798502123513921	Bacteria	Cyanobacteriota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Hydrogenedentota	0.00025877947422099765	Bacteria	Hydrogenedentota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Fusobacteriota	0.0025116831321449775	Bacteria	Fusobacteriota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Archaea;Archaea;Nanobdellota	0.0004566696603899959	Archaea	Nanobdellota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Babelota	0.0009590062868189914	Bacteria	Babelota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Desulfobacterota_D	0.00021311250818199808	Bacteria	Desulfobacterota_D	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bdellovibrionota_C	0.00022833483019499794	Bacteria	Bdellovibrionota_C	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bdellovibrionota_G	0.00007611161006499931	Bacteria	Bdellovibrionota_G	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070131	Bacteria;Bacteria;Pseudomonadota	0.589973878078131	Bacteria	Pseudomonadota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Planctomycetota	0.002861671215990138	Bacteria	Planctomycetota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Acidobacteriota	0.004285169205482668	Bacteria	Acidobacteriota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Actinomycetota	0.012972909512488627	Bacteria	Actinomycetota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Myxococcota_A	0.0031698511930967686	Bacteria	Myxococcota_A	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bacteroidota	0.20846174165712777	Bacteria	Bacteroidota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Verrucomicrobiota	0.008966569810102434	Bacteria	Verrucomicrobiota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Methylomirabilota	0.00020545331807108686	Bacteria	Methylomirabilota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Fibrobacterota	0.0026121921869038185	Bacteria	Fibrobacterota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Patescibacteriota	0.04662322796513164	Bacteria	Patescibacteriota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	;;	0.003184526430101846	Unclassified	Unclassified	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Chloroflexota	0.0021719350767514896	Bacteria	Chloroflexota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bacillota	0.006031522409086907	Bacteria	Bacillota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bdellovibrionota	0.008350209855889173	Bacteria	Bdellovibrionota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;	0.045331807108684806	Bacteria	Unclassified	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Desulfobacterota	0.0025534912388835078	Bacteria	Desulfobacterota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Elusimicrobiota	0.0002641542660913974	Bacteria	Elusimicrobiota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Myxococcota	0.0020545331807108685	Bacteria	Myxococcota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Nitrospirota	0.0009098646943148131	Bacteria	Nitrospirota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Archaea;Archaea;Thermoproteota	0.0007631123242640369	Archaea	Thermoproteota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bdellovibrionota_B	0.0007777875612691145	Bacteria	Bdellovibrionota_B	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Omnitrophota	0.007557747057614981	Bacteria	Omnitrophota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Campylobacterota	0.023568430630154676	Bacteria	Campylobacterota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Zixibacteria	0.00007337618502538816	Bacteria	Zixibacteria	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Eisenbacteria	0.00055765900619295	Bacteria	Eisenbacteria	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Gemmatimonadota	0.000044025711015232896	Bacteria	Gemmatimonadota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Krumholzibacteriota	0.0002348037920812421	Bacteria	Krumholzibacteriota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Cyanobacteriota	0.009876434504417246	Bacteria	Cyanobacteriota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Hydrogenedentota	0.000058700948020310526	Bacteria	Hydrogenedentota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Zhuqueibacterota	0.00007337618502538816	Bacteria	Zhuqueibacterota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;UBA10199	0.00007337618502538816	Bacteria	UBA10199	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;JAUVQV01	0.0002641542660913974	Bacteria	JAUVQV01	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Fusobacteriota	0.0029350474010155264	Bacteria	Fusobacteriota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Archaea;Archaea;Nanobdellota	0.00055765900619295	Archaea	Nanobdellota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Babelota	0.0012620703824366764	Bacteria	Babelota	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Desulfobacterota_D	0.000058700948020310526	Bacteria	Desulfobacterota_D	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bdellovibrionota_C	0.000044025711015232896	Bacteria	Bdellovibrionota_C	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070131	Bacteria;Bacteria;Bdellovibrionota_G	0.0002348037920812421	Bacteria	Bdellovibrionota_G	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.992	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070132	Bacteria;Bacteria;Pseudomonadota	0.6415657513218489	Bacteria	Pseudomonadota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Planctomycetota	0.0010660071635681392	Bacteria	Planctomycetota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Acidobacteriota	0.009764625618284156	Bacteria	Acidobacteriota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Actinomycetota	0.017098754903632954	Bacteria	Actinomycetota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Myxococcota_A	0.0005116834385127068	Bacteria	Myxococcota_A	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Bacteroidota	0.011768719085792257	Bacteria	Bacteroidota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Verrucomicrobiota	0.008144294729660584	Bacteria	Verrucomicrobiota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Methylomirabilota	0.0018335323213371994	Bacteria	Methylomirabilota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Fibrobacterota	0.0009380863039399625	Bacteria	Fibrobacterota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Patescibacteriota	0.03441071123997953	Bacteria	Patescibacteriota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	;;	0.023963841037011768	Unclassified	Unclassified	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Chloroflexota	0.00673716527375064	Bacteria	Chloroflexota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Bacillota	0.01415657513218489	Bacteria	Bacillota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Bdellovibrionota	0.0047757120927852635	Bacteria	Bdellovibrionota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;	0.04161691966570016	Bacteria	Unclassified	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Desulfobacterota	0.003283302063789869	Bacteria	Desulfobacterota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Elusimicrobiota	0.013516970834044005	Bacteria	Elusimicrobiota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Myxococcota	0.00034112229234180454	Bacteria	Myxococcota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Nitrospirota	0.020637898686679174	Bacteria	Nitrospirota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Archaea;Archaea;Thermoproteota	0.07346921371311615	Archaea	Thermoproteota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Omnitrophota	0.03948490533856387	Bacteria	Omnitrophota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Campylobacterota	0.015521064301552107	Bacteria	Campylobacterota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Eisenbacteria	0.0010660071635681392	Bacteria	Eisenbacteria	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Gemmatimonadota	0.006140201262152482	Bacteria	Gemmatimonadota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Cyanobacteriota	0.0023878560463926318	Bacteria	Cyanobacteriota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;UBA10199	0.0005543237250554324	Bacteria	UBA10199	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Archaea;Archaea;Nanobdellota	0.004050827221558929	Archaea	Nanobdellota	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Margulisbacteria	0.0006396042981408835	Bacteria	Margulisbacteria	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Archaea;Archaea;	0.00029848200579907897	Archaea	Unclassified	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070132	Bacteria;Bacteria;Nitrospinota_A	0.0002558417192563534	Bacteria	Nitrospinota_A	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070133	Bacteria;Bacteria;Pseudomonadota	0.5998274733773574	Bacteria	Pseudomonadota	Groundwater	SRR10070133-Groundwater	Groundwater		2023-01-07	8.893	48.5787	Haslach	10.4	745	1.9	7.1	0.9	21.7	0.9	14.0
SRR10070133	Bacteria;Bacteria;Planctomycetota	0.0005205544648700101	Bacteria	Planctomycetota	Groundwater	SRR10070133-Groundwater	Groundwater		2023-01-07	8.893	48.5787	Haslach	10.4	745	1.9	7.1	0.9	21.7	0.9	14.0
SRR10070133	Bacteria;Bacteria;Acidobacteriota	0.010857278838717354	Bacteria	Acidobacteriota	Groundwater	SRR10070133-Groundwater	Groundwater		2023-01-07	8.893	48.5787	Haslach	10.4	745	1.9	7.1	0.9	21.7	0.9	14.0
