individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
gentoo_44,49.6,15.0,216.0,4750.0
gentoo_45,50.5,15.9,222.0,5550.0
gentoo_46,43.6,13.9,217.0,4900.0
gentoo_47,45.5,13.9,210.0,4200.0
gentoo_48,50.5,15.9,225.0,5400.0
gentoo_49,44.9,13.3,213.0,5100.0
gentoo_50,45.2,15.8,215.0,5300.0
gentoo_51,46.6,14.2,210.0,4850.0
gentoo_52,48.5,14.1,220.0,5300.0
gentoo_53,45.1,14.4,210.0,4400.0
gentoo_54,50.1,15.0,225.0,5000.0
gentoo_55,46.5,14.4,217.0,4900.0
gentoo_56,45.0,15.4,220.0,5050.0
gentoo_57,43.8,13.9,208.0,4300.0
gentoo_58,45.5,15.0,220.0,5000.0
gentoo_59,43.2,14.5,208.0,4450.0
gentoo_60,50.4,15.3,224.0,5550.0
gentoo_61,45.3,13.8,208.0,4200.0
gentoo_62,46.2,14.9,221.0,5300.0
gentoo_63,45.7,13.9,214.0,4400.0
gentoo_64,54.3,15.7,231.0,5650.0
gentoo_65,45.8,14.2,219.0,4700.0
gentoo_66,49.8,16.8,230.0,5700.0
gentoo_67,46.2,14.4,214.0,4650.0
gentoo_68,49.5,16.2,229.0,5800.0
gentoo_69,43.5,14.2,220.0,4700.0
gentoo_70,50.7,15.0,223.0,5550.0
gentoo_71,47.7,15.0,216.0,4750.0
gentoo_72,46.4,15.6,221.0,5000.0
gentoo_73,48.2,15.6,221.0,5100.0
gentoo_74,46.5,14.8,217.0,5200.0
gentoo_75,46.4,15.0,216.0,4700.0
gentoo_76,48.6,16.0,230.0,5800.0
gentoo_77,47.5,14.2,209.0,4600.0
gentoo_78,51.1,16.3,220.0,6000.0
gentoo_79,45.2,13.8,215.0,4750.0
gentoo_80,45.2,16.4,223.0,5950.0
gentoo_81,49.1,14.5,212.0,4625.0
gentoo_82,52.5,15.6,221.0,5450.0
gentoo_83,47.4,14.6,212.0,4725.0
gentoo_84,50.0,15.9,224.0,5350.0
gentoo_85,44.9,13.8,212.0,4750.0
gentoo_86,50.8,17.3,228.0,5600.0
gentoo_87,43.4,14.4,218.0,4600.0
gentoo_88,51.3,14.2,218.0,5300.0
gentoo_89,47.5,14.0,212.0,4875.0
gentoo_90,52.1,17.0,230.0,5550.0
gentoo_91,47.5,15.0,218.0,4950.0
gentoo_92,52.2,17.1,228.0,5400.0
gentoo_93,45.5,14.5,212.0,4750.0
gentoo_94,49.5,16.1,224.0,5650.0
gentoo_95,44.5,14.7,214.0,4850.0
gentoo_96,50.8,15.7,226.0,5200.0
gentoo_97,49.4,15.8,216.0,4925.0
gentoo_98,46.9,14.6,222.0,4875.0
gentoo_99,48.4,14.4,203.0,4625.0
gentoo_100,51.1,16.5,225.0,5250.0
gentoo_101,48.5,15.0,219.0,4850.0
gentoo_102,55.9,17.0,228.0,5600.0
gentoo_103,47.2,15.5,215.0,4975.0
gentoo_104,49.1,15.0,228.0,5500.0
gentoo_105,47.3,13.8,216.0,4725.0
gentoo_106,46.8,16.1,215.0,5500.0
gentoo_107,41.7,14.7,210.0,4700.0
gentoo_108,53.4,15.8,219.0,5500.0
gentoo_109,43.3,14.0,208.0,4575.0
gentoo_110,48.1,15.1,209.0,5500.0
gentoo_111,50.5,15.2,216.0,5000.0
gentoo_112,49.8,15.9,229.0,5950.0
gentoo_113,43.5,15.2,213.0,4650.0
gentoo_114,51.5,16.3,230.0,5500.0
gentoo_115,46.2,14.1,217.0,4375.0
gentoo_116,55.1,16.0,230.0,5850.0
gentoo_117,44.5,15.7,217.0,4875.0
gentoo_118,48.8,16.2,222.0,6000.0
gentoo_119,47.2,13.7,214.0,4925.0
gentoo_120,46.8,14.3,215.0,4850.0
gentoo_121,50.4,15.7,222.0,5750.0
gentoo_122,45.2,14.8,212.0,5200.0
gentoo_123,49.9,16.1,213.0,5400.0
