sample	contig	tool	product_class	probability	complete	start	end	length	cds_count	n_pfam	pfam_domains	mibig_id	regions
ERZ1664505	ERZ1664505.1406-NODE-1406-length-1389-cov-3.841829	antiSMASH	RiPP-like		No	1	1389	1389	2	1	YcaO		1
ERZ1664505	ERZ1664505.1811-NODE-1811-length-1274-cov-2.303527	antiSMASH	HglE-KS		No	1	1274	1274	2	1	hglE		1
ERZ1664506	ERZ1664506.42-NODE-42-length-11967-cov-6.006380	GECCO	Unknown	0.912938493363989	unknown	1340	6243	4903	5	9	PF11380;PF11380;PF11380;PF11380;PF13704;PF17101;PF17101;PF17101;PF17101		1
ERZ1664506	ERZ1664506.964-NODE-964-length-1457-cov-1.944365	antiSMASH	Thioamitides		No	1	1457	1457	3	3	YcaO;TfuA;ThiF		1
ERZ1664508	ERZ1664508.3061-NODE-3061-length-1263-cov-3.647351	GECCO	RiPP	0.8370130071348881	unknown	3	1263	1260	3	3	PF00005;PF01648;PF03471		1
ERZ1664508	ERZ1664508.328-NODE-328-length-3567-cov-3.386959	antiSMASH	RRE-containing		No	1	3567	3567	4	2	PqqD_RRE;PF05402		1
ERZ1664508	ERZ1664508.4140-NODE-4140-length-1106-cov-10.508088	antiSMASH	Lassopeptide		No	1	1106	1106	3	1	micJ25		1
ERZ1664509	ERZ1664509.562-NODE-562-length-2327-cov-15.970511	antiSMASH	Lassopeptide		No	1	2327	2327	3	1	micJ25		1
ERZ1664509	ERZ1664509.58-NODE-58-length-10109-cov-7.279789	antiSMASH	Terpene		No	1	10109	10109	11	2	PT_phytoene_like;phytoene_synt		1
ERZ1664509	ERZ1664509.63-NODE-63-length-9573-cov-10.043497	antiSMASH	Terpene		No	1	9573	9573	7	3	Aminotran_1_2;PT_phytoene_like;phytoene_synt		1
ERZ1664510	ERZ1664510.10-NODE-10-length-34734-cov-8.873237	antiSMASH	Terpene-precursor		No	1	16694	16694	11	4	PT_FPPS_like;Alpha-amylase;Alpha-amylase;Alpha-amylase		1
ERZ1664510	ERZ1664510.123-NODE-123-length-8863-cov-8.649410	GECCO	Polyketide	0.8693443282684533	unknown	2204	8808	6604	10	11	PF00108;PF00109;PF00109;PF00109;PF00550;PF00550;PF00892;PF02801;PF02801;PF03061;PF13723		1
ERZ1664510	ERZ1664510.210-NODE-210-length-5173-cov-7.860688	GECCO	Polyketide	0.9658411774327416	unknown	3	4876	4873	5	11	PF00106;PF00109;PF00221;PF00550;PF00891;PF02801;PF08242;PF08659;PF13460;PF13489;PF13561		1
ERZ1664510	ERZ1664510.675-NODE-675-length-2373-cov-2.827006	antiSMASH	Thioamitides		No	1	2373	2373	3	3	ThiF;TfuA;YcaO		1
ERZ1664511	ERZ1664511.16-NODE-16-length-49668-cov-9.810473	antiSMASH	Arylpolyene		No	18134	49668	31535	31	14	CTP_transf_like;AMP-binding;DAO;Glycos_transf_2;Ketoacyl-synt_2;ketoacyl-synt;APE_KS2;PP-binding;APE_KS2;4HBT_2;PP-binding;PP-binding_2;APE_KS1;adh_short		1
ERZ1664511	ERZ1664511.16-NODE-16-length-49668-cov-9.810473	GECCO	Unknown	0.98302999670911	unknown	29078	48129	19051	22	30	PF00106;PF00108;PF00109;PF00109;PF00109;PF00109;PF00221;PF00501;PF00535;PF00550;PF00550;PF00890;PF00891;PF00892;PF01266;PF01593;PF01593;PF02801;PF02801;PF02801;PF03061;PF07977;PF08242;PF08659;PF13450;PF13450;PF13460;PF13489;PF13561;PF13723		1
ERZ1664515	ERZ1664515.63-NODE-63-length-17948-cov-8.088470	antiSMASH	Terpene-precursor		No	1	15063	15063	11	2	Alpha-amylase;PT_FPPS_like		1
ERZ1664515	ERZ1664515.9-NODE-9-length-49063-cov-10.926196	antiSMASH	Arylpolyene		No	1	32383	32383	33	14	adh_short;APE_KS1;PP-binding;PP-binding_2;4HBT_2;APE_KS2;PP-binding;APE_KS2;Ketoacyl-synt_2;ketoacyl-synt;Glycos_transf_2;DAO;AMP-binding;CTP_transf_like		1
ERZ1664515	ERZ1664515.9-NODE-9-length-49063-cov-10.926196	GECCO	Unknown	0.9799928951229124	unknown	309	21439	21130	24	31	PF00106;PF00108;PF00109;PF00109;PF00109;PF00109;PF00221;PF00501;PF00535;PF00550;PF00550;PF00890;PF00891;PF00892;PF01266;PF01593;PF01593;PF02801;PF02801;PF02801;PF03061;PF07977;PF08242;PF08659;PF12728;PF13450;PF13450;PF13460;PF13489;PF13561;PF13723		1
ERZ1664516	ERZ1664516.1105-NODE-1105-length-1655-cov-4.458125	antiSMASH	Thioamitides		No	1	1655	1655	3	3	YcaO;TfuA;ThiF		1
ERZ1664516	ERZ1664516.3-NODE-3-length-59522-cov-8.967007	antiSMASH	Terpene-precursor		Yes	28988	50061	21074	13	4	Alpha-amylase;Alpha-amylase;Alpha-amylase;PT_FPPS_like		1
ERZ1664516	ERZ1664516.40-NODE-40-length-20396-cov-10.411091	antiSMASH	Arylpolyene		No	1	20396	20396	19	7	PP-binding;APE_KS2;Ketoacyl-synt_2;ketoacyl-synt;Glycos_transf_2;DAO;AMP-binding		1
ERZ1664516	ERZ1664516.835-NODE-835-length-1935-cov-3.075532	antiSMASH	RiPP-like		No	1	1935	1935	2	1	YcaO		1
ERZ1664517	ERZ1664517.1001-NODE-1001-length-1483-cov-2.460784	antiSMASH	Ranthipeptide		No	1	1483	1483	3	7	Ranthipeptide_rSAM_RRE;PF05402;PTHR43273;Fer4_12;PF04055;TIGR03973;SCIFF		1
ERZ1664517	ERZ1664517.308-NODE-308-length-3003-cov-1.851425	antiSMASH	RRE-containing		No	1	3003	3003	5	2	PF05402;Stand_Alone_Lasso_RRE		1
ERZ1664517	ERZ1664517.38-NODE-38-length-19981-cov-8.613771	antiSMASH	Arylpolyene		No	1	19981	19981	23	13	adh_short;APE_KS1;PP-binding;PP-binding_2;4HBT_2;APE_KS2;PP-binding;APE_KS2;Ketoacyl-synt_2;ketoacyl-synt;Glycos_transf_2;DAO;AMP-binding		1
ERZ1664517	ERZ1664517.38-NODE-38-length-19981-cov-8.613771	GECCO	Unknown	0.9830566269527108	unknown	187	19238	19051	22	30	PF00106;PF00108;PF00109;PF00109;PF00109;PF00109;PF00221;PF00501;PF00535;PF00550;PF00550;PF00890;PF00891;PF00892;PF01266;PF01593;PF01593;PF02801;PF02801;PF02801;PF03061;PF07977;PF08242;PF08659;PF13450;PF13450;PF13460;PF13489;PF13561;PF13723		1
ERZ1664517	ERZ1664517.48-NODE-48-length-18345-cov-6.874576	antiSMASH	Terpene-precursor		No	1	12214	12214	9	1	PT_FPPS_like		1
ERZ1664520	ERZ1664520.3152-NODE-3152-length-1198-cov-11.224847	antiSMASH	Lassopeptide		No	1	1198	1198	2	1	micJ25		1
ERZ1664521	ERZ1664521.2611-NODE-2611-length-1290-cov-1.774089	antiSMASH	Ranthipeptide		No	1	1290	1290	2	3	Ranthipeptide_rSAM_RRE;TIGR03973;SCIFF		1
