cluster_id	representative	sample	members
3612	ERZ1664521!ERZ1664521.1869-NODE-1869-length-1474-cov-1.902044!ERZ1664521.1869-NODE-1869-length-1474-cov-1.902044_2	ERZ1664521	7
7170	ERZ1664524!ERZ1664524.3045-NODE-3045-length-1315-cov-2.853968!ERZ1664524.3045-NODE-3045-length-1315-cov-2.853968_3	ERZ1664524	2
7173	ERZ1664524!ERZ1664524.728-NODE-728-length-3140-cov-1.956240!ERZ1664524.728-NODE-728-length-3140-cov-1.956240_5	ERZ1664524	2
7177	ERZ1664524!ERZ1664524.7747-NODE-7747-length-793-cov-2.498645!ERZ1664524.7747-NODE-7747-length-793-cov-2.498645_1	ERZ1664524	2
7186	ERZ1664510!ERZ1664510.13782-NODE-13782-length-579-cov-1.164122!ERZ1664510.13782-NODE-13782-length-579-cov-1.164122_1	ERZ1664510	2
7191	ERZ1664510!ERZ1664510.3526-NODE-3526-length-1035-cov-1.077551!ERZ1664510.3526-NODE-3526-length-1035-cov-1.077551_4	ERZ1664510	2
7199	ERZ1664528!ERZ1664528.140-NODE-140-length-5784-cov-4.751964!ERZ1664528.140-NODE-140-length-5784-cov-4.751964_4	ERZ1664528	2
7204	ERZ1664528!ERZ1664528.10876-NODE-10876-length-720-cov-1.410526!ERZ1664528.10876-NODE-10876-length-720-cov-1.410526_2	ERZ1664528	2
7209	ERZ1664528!ERZ1664528.20750-NODE-20750-length-522-cov-1.072805!ERZ1664528.20750-NODE-20750-length-522-cov-1.072805_1	ERZ1664528	2
7234	ERZ1664521!ERZ1664521.735-NODE-735-length-2100-cov-1.903667!ERZ1664521.735-NODE-735-length-2100-cov-1.903667_3	ERZ1664521	2
7237	ERZ1664521!ERZ1664521.16574-NODE-16574-length-586-cov-1.845574!ERZ1664521.16574-NODE-16574-length-586-cov-1.845574_1	ERZ1664521	2
7240	ERZ1664521!ERZ1664521.22849-NODE-22849-length-502-cov-1.908277!ERZ1664521.22849-NODE-22849-length-502-cov-1.908277_1	ERZ1664521	2
7257	ERZ1664521!ERZ1664521.22081-NODE-22081-length-510-cov-2.507692!ERZ1664521.22081-NODE-22081-length-510-cov-2.507692_1	ERZ1664521	2
