intron	chrom	start	end	intron_length	strand	gene	gene_id	uniq_mapped	multi_mapped	total_mapped	uniq_fraction	score
chr2:42284704-42286268	chr2	42284704	42286268	1564	+	EML4	ENSG00000143924.19	46	0	46	1.0	46.0
chr2:42295517-42301240	chr2	42295517	42301240	5723	+	EML4	ENSG00000143924.19	116	0	116	1.0	116.0
chr2:207577656-207596913	chr2	207577656	207596913	19257	+	CREB1	ENSG00000118260.15	6	0	6	1.0	6.0
chr22:29272432-29278130	chr22	29272432	29278130	5698	+	EWSR1	ENSG00000182944.18	42	1	43	0.9767441860465116	42.0
chr22:29273865-29286922	chr22	29273865	29286922	13057	+	EWSR1	ENSG00000182944.18	1	0	1	1.0	1.0
chr22:29287135-29292136	chr22	29287135	29292136	5001	+	EWSR1	ENSG00000182944.18	4	0	4	1.0	4.0
chr22:29288787-29292136	chr22	29288787	29292136	3349	+	EWSR1	ENSG00000182944.18	1	0	1	1.0	1.0
chr22:29292170-29292487	chr22	29292170	29292487	317	+	EWSR1	ENSG00000182944.18	3	0	3	1.0	3.0
chr4:1805477-1805558	chr4	1805477	1805558	81	+	FGFR3	ENSG00000068078.20	1	0	1	1.0	1.0
chr4:1806174-1806545	chr4	1806174	1806545	371	+	FGFR3	ENSG00000068078.20	1	0	1	1.0	1.0
chr4:53390629-53391008	chr4	53390629	53391008	379	+	FIP1L1	ENSG00000145216.17	1	0	1	1.0	1.0
chr4:53399840-53425871	chr4	53399840	53425871	26031	+	FIP1L1	ENSG00000145216.17	10	0	10	1.0	10.0
chr4:54274974-54277387	chr4	54274974	54277387	2413	+	PDGFRA	ENSG00000134853.12	97	0	97	1.0	97.0
chr4:54280483-54285370	chr4	54280483	54285370	4887	+	PDGFRA	ENSG00000134853.12	1	0	1	1.0	1.0
chr5:150405181-150406258	chr5	150405181	150406258	1077	-	CD74	ENSG00000019582.17	8	0	8	1.0	8.0
chr6:117288803-117300973	chr6	117288803	117300973	12170	-	ROS1	ENSG00000047936.11	13	1	14	0.9285714285714286	13.0
chr6:117311118-117317142	chr6	117311118	117317142	6024	-	ROS1	ENSG00000047936.11	13	0	13	1.0	13.0
chr6:117321395-117324331	chr6	117321395	117324331	2936	-	ROS1	ENSG00000047936.11	5	0	5	1.0	5.0
chr6:117570956-117573466	chr6	117570956	117573466	2510	-	GOPC	ENSG00000047932.14	2	0	2	1.0	2.0
chr7:13906600-13909631	chr7	13906600	13909631	3031	-	ETV1	ENSG00000006468.15	150	0	150	1.0	150.0
chr7:13931750-13939116	chr7	13931750	13939116	7366	-	ETV1	ENSG00000006468.15	0	8	8	0.0	0.0
chr7:13977481-13986637	chr7	13977481	13986637	9156	-	ETV1	ENSG00000006468.15	3	0	3	1.0	3.0
chr7:91970509-91973710	chr7	91970509	91973710	3201	+	AKAP9	ENSG00000127914.19	4	0	4	1.0	4.0
chr7:91980959-91992157	chr7	91980959	91992157	11198	+	AKAP9	ENSG00000127914.19	1	0	1	1.0	1.0
chr7:91995801-92000847	chr7	91995801	92000847	5046	+	AKAP9	ENSG00000127914.19	40	0	40	1.0	40.0
chr7:140734771-140739811	chr7	140734771	140739811	5040	-	BRAF	ENSG00000157764.14	133	0	133	1.0	133.0
chr7:140749419-140776911	chr7	140749419	140776911	27492	-	BRAF	ENSG00000157764.14	2	0	2	1.0	2.0
chr7:140777089-140777990	chr7	140777089	140777990	901	-	BRAF	ENSG00000157764.14	94	1	95	0.9894736842105263	94.0
chr7:140787585-140794307	chr7	140787585	140794307	6722	-	BRAF	ENSG00000157764.14	25	0	25	1.0	25.0
chr8:42906259-42925556	chr8	42906259	42925556	19297	+	HOOK3	ENSG00000168172.9	25	0	25	1.0	25.0
chr8:42950456-42957093	chr8	42950456	42957093	6637	+	HOOK3	ENSG00000168172.9	25	0	25	1.0	25.0
chr8:42966614-42968012	chr8	42966614	42968012	1398	+	HOOK3	ENSG00000168172.9	36	0	36	1.0	36.0
