sample	gene_symbol	gene_name	drug_class	antimicrobial_agent	resistance_mechanism	tool	database	reference_accession	coverage_pct	coverage_frac	identity_pct	contig	sequence_id	start	stop	strand	hits
ERZ1664503	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	AMIKACIN;KANAMYCIN			abricate	ncbi	NG_047418.1	88.43	0.8843000000000001	100.0	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	10	712	-	1
ERZ1664503	lnu(AN2)	lincosamide nucleotidyltransferase Lnu(AN2)	LINCOSAMIDE			abricate	ncbi	NG_047920.1	100.0	1.0	100.0	ERZ1664503.2636-NODE-2636-length-1318-cov-2.171021	ERZ1664503.2636-NODE-2636-length-1318-cov-2.171021	423	935	+	1
ERZ1664503	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_001096887.1	88.26	0.8826	100.0	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	13	711	-	1
ERZ1664503	cblA	CblA family class A beta-lactamase	BETA-LACTAM	CEPHALOSPORIN		amrfinderplus	NCBI Reference Gene Database	WP_005827792.1	74.66	0.7465999999999999	99.1	ERZ1664503.11978-NODE-11978-length-667-cov-0.995098	ERZ1664503.11978-NODE-11978-length-667-cov-0.995098	3	665	+	1
ERZ1664503	APH(3''')-III	AAK62562|FEATURES|aph(3''')-III|aminoglycoside|aph(3''')-III	aminoglycoside			deeparg	deeparg_db	AAK62562			100.0	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	ERZ1664503.10283-NODE-10283-length-712-cov-2.050228_1	32	264		1
ERZ1664503	BACA	undefined	mupirocin			deeparg	deeparg_db	undefined			59.4	ERZ1664503.384-NODE-384-length-2961-cov-5.434962	ERZ1664503.384-NODE-384-length-2961-cov-5.434962_4	1	247		1
ERZ1664503	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664503_FASTA_ERZ1664503.6119-NODE-6119-length-898-cov-1.967972_seq1	ERZ1664503_FASTA_ERZ1664503.6119-NODE-6119-length-898-cov-1.967972_seq1_1				1
ERZ1664503	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664503_FASTA_ERZ1664503.9804-NODE-9804-length-728-cov-1.050520_seq1	ERZ1664503_FASTA_ERZ1664503.9804-NODE-9804-length-728-cov-1.050520_seq1_4				1
ERZ1664503	lnuC	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	lincomycin	antibiotic inactivation	rgi	CARD	3002837	100.0	1.0	97.56	ERZ1664503.306-NODE-306-length-3236-cov-7.752594	ERZ1664503.306-NODE-306-length-3236-cov-7.752594	1901	2395	+	1
ERZ1664503	mefH	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic		antibiotic efflux	rgi	CARD	3007047	224.77	1.0	66.67	ERZ1664503.9476-NODE-9476-length-739-cov-1.982456	ERZ1664503.9476-NODE-9476-length-739-cov-1.982456	3	737	-	1
ERZ1664504	aadE	aminoglycoside 6-adenylyltransferase AadE	STREPTOMYCIN			abricate	ncbi	NG_047378.1	87.89	0.8789	99.08	ERZ1664504.2322-NODE-2322-length-1073-cov-2.034381	ERZ1664504.2322-NODE-2322-length-1073-cov-2.034381	312	1073	+	1
ERZ1664504	aadS	aminoglycoside 6-adenylyltransferase AadS	STREPTOMYCIN			abricate	ncbi	NG_047380.1	100.0	1.0	99.88	ERZ1664504.1023-NODE-1023-length-1903-cov-3.120671	ERZ1664504.1023-NODE-1023-length-1903-cov-3.120671	255	1118	+	1
ERZ1664504	aadS	aminoglycoside 6-adenylyltransferase AadS	AMINOGLYCOSIDE	STREPTOMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_003013318.1	100.0	1.0	100.0	ERZ1664504.1023-NODE-1023-length-1903-cov-3.120671	ERZ1664504.1023-NODE-1023-length-1903-cov-3.120671	255	1115	+	1
ERZ1664504	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_001255864.1	72.85	0.7284999999999999	97.73	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	2230	2889	-	1
ERZ1664504	AADE	undefined	multidrug			deeparg	deeparg_db	undefined			84.5	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	ERZ1664504.499-NODE-499-length-2890-cov-3.541446_4	18	237		1
ERZ1664504	AADE	AJ489618.1.orf2.gene.p01|FEATURES|aadE|aminoglycoside|aadE	aminoglycoside			deeparg	deeparg_db	AJ489618.1.orf2.gene.p01			84.5	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	ERZ1664504.499-NODE-499-length-2890-cov-3.541446_4	18	237		1
ERZ1664504	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664504_FASTA_ERZ1664504.1230-NODE-1230-length-1679-cov-3.834975_seq1	ERZ1664504_FASTA_ERZ1664504.1230-NODE-1230-length-1679-cov-3.834975_seq1_1				1
ERZ1664504	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664504_FASTA_ERZ1664504.10048-NODE-10048-length-500-cov-2.125843_seq1	ERZ1664504_FASTA_ERZ1664504.10048-NODE-10048-length-500-cov-2.125843_seq1_1				1
ERZ1664504	APH(3')-IIIa	APH(3')	aminoglycoside antibiotic	neomycin; amikacin; ribostamycin; butirosin; kanamycin A; isepamicin; gentamicin B; paromomycin; lividomycin; gentamicin	antibiotic inactivation	rgi	CARD	3002647	100.0	1.0	99.62	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	ERZ1664504.499-NODE-499-length-2890-cov-3.541446	801	1595	-	1
ERZ1664504	ErmB	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	antibiotic target alteration	rgi	CARD	3000375	95.16	0.9516	98.31	ERZ1664504.2299-NODE-2299-length-1085-cov-2.493204	ERZ1664504.2299-NODE-2299-length-1085-cov-2.493204	376	1083	+	1
ERZ1664505	aadE	aminoglycoside 6-adenylyltransferase AadE	STREPTOMYCIN			abricate	ncbi	NG_047378.1	100.0	1.0	100.0	ERZ1664505.290-NODE-290-length-2290-cov-3.178076	ERZ1664505.290-NODE-290-length-2290-cov-3.178076	1290	2156	+	1
ERZ1664505	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	MACROLIDE			abricate	ncbi	NG_047794.1	100.0	1.0	100.0	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	563	1300	-	1
ERZ1664505	aadE	aminoglycoside 6-adenylyltransferase AadE	AMINOGLYCOSIDE	STREPTOMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_001255868.1	100.0	1.0	100.0	ERZ1664505.290-NODE-290-length-2290-cov-3.178076	ERZ1664505.290-NODE-290-length-2290-cov-3.178076	1290	2153	+	1
ERZ1664505	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B		amrfinderplus	NCBI Reference Gene Database	WP_002292226.1	100.0	1.0	100.0	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	566	1300	-	1
ERZ1664505	AAC(6')-I	AB119105.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	multidrug			deeparg	deeparg_db	AB119105.1.gene1.p01			51.1	ERZ1664505.14936-NODE-14936-length-604-cov-0.972678	ERZ1664505.14936-NODE-14936-length-604-cov-0.972678_2	11	143		1
ERZ1664505	AAC(6')-I	AB119105.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	aminoglycoside			deeparg	deeparg_db	AB119105.1.gene1.p01			51.1	ERZ1664505.14936-NODE-14936-length-604-cov-0.972678	ERZ1664505.14936-NODE-14936-length-604-cov-0.972678_2	11	143		1
ERZ1664505	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664505_FASTA_ERZ1664505.11657-NODE-11657-length-659-cov-1.620861_seq1	ERZ1664505_FASTA_ERZ1664505.11657-NODE-11657-length-659-cov-1.620861_seq1_1				1
ERZ1664505	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664505_FASTA_ERZ1664505.16843-NODE-16843-length-577-cov-1.492337_seq1	ERZ1664505_FASTA_ERZ1664505.16843-NODE-16843-length-577-cov-1.492337_seq1_4				1
ERZ1664505	ErmB	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	antibiotic target alteration	rgi	CARD	3000375	98.79	0.9879000000000001	98.78	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	ERZ1664505.1621-NODE-1621-length-1322-cov-2.505130	563	1300	-	1
ERZ1664505	SAT-4	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	streptothricin	antibiotic inactivation	rgi	CARD	3002897	100.0	1.0	99.44	ERZ1664505.3548-NODE-3548-length-1009-cov-3.976939	ERZ1664505.3548-NODE-3548-length-1009-cov-3.976939	344	886	-	1
