sample,cell_id,total_reads,mapped_reads,mapping_rate,duplicate_rate,mean_coverage,median_insert_size,gc_content,q30_rate,mean_quality
single,cell_042,84832,61813,72.87,17.58,74.33,370,56.71,94.63,37.99
single,cell_043,81790,62402,76.3,16.97,73.55,333,60.96,88.01,37.17
single,cell_044,82647,61968,74.98,17.65,59.84,382,60.38,93.05,39.21
single,cell_045,99555,71539,71.86,21.63,67.94,389,57.67,94.64,39.64
single,cell_046,88151,69547,78.9,19.83,56.58,376,59.78,94.1,37.97
single,cell_047,95601,69945,73.16,20.54,71.08,343,59.01,92.59,37.96
single,cell_048,89342,67086,75.09,20.44,65.26,351,62.17,96.41,35.44
single,cell_049,105603,79128,74.93,21.03,56.58,365,58.25,92.37,38.4
single,cell_050,84048,61694,73.4,20.45,72.18,345,59.01,87.92,35.79
single,cell_051,97167,74659,76.84,19.24,58.14,382,60.8,91.39,34.73
single,cell_052,87156,65499,75.15,17.86,69.61,435,57.14,94.74,35.62
single,cell_053,93190,71577,76.81,21.8,69.88,392,58.84,95.96,36.41
single,cell_054,103213,80887,78.37,18.5,65.97,368,61.41,90.62,41.04
single,cell_055,91625,67962,74.17,17.39,76.15,343,60.57,91.7,36.22
single,cell_056,92470,72030,77.9,22.21,73.15,369,61.74,88.81,40.21
single,cell_057,85036,66035,77.66,20.48,73.85,355,57.47,89.96,38.71
single,cell_058,106144,81177,76.48,18.4,71.48,424,57.06,95.73,40.68
single,cell_059,104533,75486,72.21,22.13,74.97,376,62.62,96.27,39.62
single,cell_060,94370,74767,79.23,22.46,70.98,383,58.79,89.09,38.14
single,cell_061,91912,71546,77.84,18.63,68.47,390,59.24,97.06,41.2
single,cell_062,80855,62296,77.05,16.71,75.04,365,57.52,94.48,40.14
single,cell_063,87465,63634,72.75,21.25,65.67,374,62.14,97.04,37.28
single,cell_064,92202,71893,77.97,18.57,62.99,432,62.55,92.13,36.33
single,cell_065,94598,71015,75.07,21.12,64.24,339,60.61,89.01,39.1
single,cell_066,82961,61234,73.81,21.9,61.85,388,56.7,97.0,35.28
single,cell_067,108236,78064,72.12,21.83,63.68,443,56.69,95.35,34.29
single,cell_068,102979,74762,72.6,21.46,73.1,411,57.08,95.72,35.33
single,cell_069,104553,81306,77.77,20.65,65.93,362,61.73,88.8,37.5
single,cell_070,91624,69759,76.14,19.24,57.81,352,61.56,92.21,34.41
single,cell_071,98604,73514,74.55,19.01,57.33,397,56.84,96.95,37.07
single,cell_072,87918,65373,74.36,19.82,69.63,425,58.49,89.46,36.51
single,cell_073,96038,73511,76.54,19.18,72.15,361,56.86,89.18,35.85
single,cell_074,102630,81180,79.1,17.0,67.37,409,58.07,91.29,39.43
single,cell_075,96557,69798,72.29,17.27,66.28,430,57.37,97.02,40.46
single,cell_076,106674,78547,73.63,18.36,69.71,359,57.85,92.38,36.75
single,cell_077,104850,78997,75.34,21.78,58.1,335,62.1,95.71,40.3
single,cell_078,95708,68783,71.87,19.25,68.69,441,59.95,97.01,38.78
single,cell_079,102991,77981,75.72,18.22,70.77,350,60.89,92.19,41.81
single,cell_080,98076,70627,72.01,22.33,62.54,434,57.45,94.85,41.16
single,cell_081,90252,65896,73.01,18.28,66.87,374,59.15,88.89,39.88
single,cell_082,99112,71516,72.16,17.05,59.63,361,57.7,94.72,40.09
single,cell_083,88720,68946,77.71,19.43,63.32,392,58.29,89.2,38.64
single,cell_084,97563,71386,73.17,19.74,66.05,361,58.75,95.51,35.73
single,cell_085,103125,81045,78.59,21.3,61.56,404,62.1,95.01,36.64
single,cell_086,99671,74320,74.57,17.21,62.48,379,58.17,89.02,38.59
single,cell_087,89149,70656,79.26,20.92,60.39,380,61.52,95.44,35.77
single,cell_088,90559,68936,76.12,22.46,75.09,437,57.11,91.76,40.88
single,cell_089,99196,75977,76.59,21.66,68.61,330,57.68,95.38,34.46
single,cell_090,99466,74500,74.9,18.04,76.12,403,60.37,91.65,37.0
single,cell_091,104977,82947,79.01,21.79,75.42,365,59.39,96.92,35.85
single,cell_092,95349,69669,73.07,19.92,62.24,360,59.33,90.26,38.46
single,cell_093,88403,65183,73.73,18.7,62.45,420,59.47,95.97,38.18
single,cell_094,91353,65973,72.22,21.41,62.38,370,61.98,90.84,41.01
single,cell_095,83747,64913,77.51,20.81,69.7,334,60.8,92.66,36.57
single,cell_096,100484,72266,71.92,21.98,63.45,371,58.85,95.18,40.69
single,cell_097,84921,67080,78.99,21.15,61.32,369,58.97,88.46,38.14
single,cell_098,92593,67945,73.38,22.1,66.87,427,58.66,94.03,37.71
single,cell_099,86304,62889,72.87,18.35,76.18,372,60.05,90.7,35.83
single,cell_100,86491,65899,76.19,18.23,61.95,423,56.98,89.11,39.0
test,cell_001,69444,57044,82.14,8.12,77.59,364,41.38,94.43,37.01
test,cell_002,78722,66157,84.04,7.84,71.59,367,42.51,95.27,33.63
test,cell_003,86842,69303,79.8,8.21,76.82,338,42.12,93.23,38.9
test,cell_004,90213,78655,87.19,8.25,83.8,337,43.57,92.66,35.89
test,cell_005,88114,71821,81.51,8.53,77.44,405,42.2,91.21,33.76
test,cell_006,77533,63245,81.57,7.13,73.07,378,43.21,98.68,34.17
test,cell_007,91031,78437,86.17,9.35,89.35,400,40.43,93.57,33.83
test,cell_008,70235,59801,85.14,8.89,78.77,368,43.59,90.68,38.83
test,cell_009,78032,63211,81.01,7.15,75.05,366,41.85,95.0,34.85
test,cell_010,69996,61215,87.45,9.27,84.59,452,39.95,97.42,32.42
test,cell_011,69449,59440,85.59,9.32,88.0,376,39.48,92.77,39.35
test,cell_012,88418,72655,82.17,8.81,87.71,421,40.52,98.23,34.26
test,cell_013,74499,62141,83.41,9.1,87.94,353,40.88,91.6,36.29
test,cell_014,85587,68467,80.0,7.04,86.12,453,39.69,93.47,35.2
test,cell_015,84236,68014,80.74,7.97,80.18,447,40.51,96.59,34.72
test,cell_016,87236,72544,83.16,7.49,76.95,424,41.79,96.32,35.45
test,cell_017,68866,60346,87.63,8.13,82.56,413,41.77,89.75,33.55
test,cell_018,91440,78379,85.72,8.99,78.27,353,40.51,91.62,35.26
test,cell_019,70384,57826,82.16,8.05,79.32,426,39.85,90.95,32.72
test,cell_020,68638,59163,86.2,7.67,72.05,395,41.6,95.45,38.58
test,cell_021,70602,56288,79.73,7.6,89.39,374,40.68,90.49,38.12
test,cell_022,75623,63188,83.56,8.7,80.66,347,42.21,97.59,38.46
test,cell_023,74791,64044,85.63,9.17,91.84,423,43.03,90.45,37.51
test,cell_024,91249,78417,85.94,6.96,72.27,395,41.98,92.36,35.1
test,cell_025,91712,73798,80.47,9.03,74.36,446,41.99,92.13,37.77
test,cell_026,82513,67733,82.09,9.0,87.27,405,42.7,95.12,35.88
test,cell_027,69648,60973,87.54,7.49,78.82,390,41.66,94.76,37.19
test,cell_028,88225,72111,81.74,7.82,72.61,358,41.38,95.57,35.65
test,cell_029,73012,60779,83.25,8.82,74.19,402,39.67,97.2,37.27
test,cell_030,84642,70925,83.79,8.07,88.85,443,39.82,96.17,37.58
test,cell_031,72749,58375,80.24,7.14,84.39,413,42.12,90.82,38.43
test,cell_032,81597,66436,81.42,6.95,77.74,404,43.2,95.18,38.33
test,cell_033,83418,70963,85.07,7.62,86.57,391,39.66,95.0,37.65
test,cell_034,72967,62821,86.1,9.32,84.45,377,41.83,90.88,34.04
test,cell_035,85386,68909,80.7,7.43,77.63,410,40.56,98.49,38.28
test,cell_036,83157,72522,87.21,9.29,90.05,365,43.19,95.12,37.13
test,cell_037,71789,59733,83.21,7.31,83.34,426,41.6,96.29,37.3
test,cell_038,86629,75643,87.32,9.36,91.01,388,40.93,96.16,38.1
test,cell_039,69786,59128,84.73,7.79,73.11,420,42.05,97.02,35.87
test,cell_040,87948,75543,85.9,8.96,78.2,406,41.03,93.91,34.15
test,cell_041,92140,76072,82.56,7.73,72.9,352,39.5,95.82,37.64
test,cell_042,78596,64613,82.21,8.82,74.64,452,42.13,94.59,34.0
test,cell_043,80747,64789,80.24,7.3,73.14,339,42.66,89.89,32.65
test,cell_044,77627,67761,87.29,7.93,87.22,448,39.79,90.17,39.35
test,cell_045,90169,72332,80.22,7.54,80.11,378,40.64,95.89,33.66
test,cell_046,74996,61928,82.58,7.46,70.22,360,42.79,90.01,35.35
test,cell_047,91851,78827,85.82,7.42,79.07,394,40.23,96.05,33.92
test,cell_048,73618,63105,85.72,6.99,71.94,412,41.34,93.96,35.83
test,cell_049,88352,76312,86.37,7.19,84.7,411,41.59,95.08,37.19
test,cell_050,88659,71735,80.91,9.08,85.71,453,40.37,96.4,33.04
test,cell_051,76715,64061,83.51,7.91,73.59,336,42.3,95.4,32.93
test,cell_052,74460,61433,82.5,7.77,74.06,401,39.75,91.97,32.46
test,cell_053,81447,65337,80.22,7.87,82.93,338,40.27,95.03,34.19
test,cell_054,70300,56994,81.07,7.44,81.9,438,42.77,91.28,34.2
test,cell_055,90132,75187,83.42,6.97,69.26,361,41.71,90.34,38.48
test,cell_056,91505,77625,84.83,8.61,89.63,420,40.24,93.76,37.74
test,cell_057,73517,61619,83.82,8.36,84.9,447,41.94,98.67,32.81
test,cell_058,91882,76661,83.43,8.19,83.73,450,41.71,90.65,34.37
test,cell_059,77405,67273,86.91,9.12,75.27,354,39.48,89.8,37.24
test,cell_060,87337,71799,82.21,7.98,72.42,396,43.19,89.72,35.54
test,cell_061,69739,57213,82.04,8.8,71.64,399,39.99,96.44,33.7
test,cell_062,86504,73442,84.9,7.8,74.24,346,40.49,96.58,35.04
test,cell_063,70884,59878,84.47,8.07,72.85,356,43.39,94.07,36.72
test,cell_064,80580,66754,82.84,7.99,82.41,417,40.75,91.14,36.7
test,cell_065,68707,57678,83.95,8.2,92.27,349,40.34,95.05,37.25
test,cell_066,80601,65473,81.23,9.25,76.91,368,40.16,91.76,36.25
test,cell_067,88614,72250,81.53,8.71,85.95,392,42.71,96.32,33.69
test,cell_068,89025,74162,83.3,7.6,70.88,440,40.25,97.01,34.3
test,cell_069,78386,63687,81.25,8.71,78.62,452,41.19,89.77,37.46
test,cell_070,74233,59133,79.66,7.32,70.86,384,41.21,95.18,37.79
test,cell_071,82060,71766,87.46,7.38,71.77,425,43.52,96.73,36.55
test,cell_072,75665,62583,82.71,9.14,87.39,347,41.51,89.89,38.78
test,cell_073,71659,61722,86.13,9.23,78.7,453,41.36,93.42,37.22
test,cell_074,86358,72893,84.41,7.63,73.65,341,40.03,98.8,38.19
test,cell_075,91295,73842,80.88,8.57,77.38,420,41.0,96.95,36.81
test,cell_076,75131,61260,81.54,8.19,88.41,385,40.59,97.66,35.29
test,cell_077,74158,60630,81.76,7.2,76.65,344,43.25,94.79,38.37
test,cell_078,68862,54793,79.57,7.57,72.01,418,40.0,94.11,36.79
test,cell_079,83155,72394,87.06,8.87,77.86,365,40.82,95.12,37.98
test,cell_080,74378,63425,85.27,7.7,68.81,356,42.89,94.68,33.79
test,cell_081,69625,56177,80.69,8.68,80.03,394,43.32,89.91,32.66
test,cell_082,74776,65332,87.37,8.43,69.6,339,42.17,92.64,36.98
test,cell_083,89515,76405,85.35,7.2,79.18,453,40.81,90.35,36.49
test,cell_084,88660,76387,86.16,8.33,72.93,391,39.61,94.08,36.55
test,cell_085,85275,72784,85.35,7.22,75.81,356,42.03,92.73,36.41
test,cell_086,69093,54881,79.43,7.57,76.89,392,40.34,94.61,38.42
test,cell_087,69810,56078,80.33,8.55,79.92,384,41.21,90.74,36.72
test,cell_088,82042,71080,86.64,7.85,86.58,431,41.69,93.77,38.93
test,cell_089,80271,65929,82.13,7.36,92.57,352,42.24,89.9,32.89
test,cell_090,88317,77463,87.71,9.29,69.21,444,42.88,95.8,35.13
test,cell_091,69722,60307,86.5,7.06,77.94,398,40.33,90.04,38.84
test,cell_092,88472,75134,84.92,7.49,69.58,397,40.45,92.44,38.89
test,cell_093,90946,74907,82.36,6.97,85.55,382,40.75,91.56,38.62
test,cell_094,81556,71293,87.42,9.18,79.86,445,43.09,91.73,37.43
test,cell_095,76885,66774,86.85,7.34,72.23,383,41.48,95.39,34.23
test,cell_096,74394,60320,81.08,8.42,89.37,389,40.01,98.29,38.68
test,cell_097,73930,60505,81.84,7.65,76.85,397,41.63,95.81,32.28
test,cell_098,83652,70600,84.4,7.38,85.57,355,40.07,90.98,32.81
test,cell_099,81641,69814,85.51,7.58,86.29,419,40.43,92.07,36.24
test,cell_100,74560,60091,80.59,7.92,78.14,363,43.22,91.63,38.8
