gene	C1 VPREB3/OSBPL10	C10 BNC2/SPON2	C11	C12 LYPD2/MEG3	C13 FAAH2	C14	C2 FCAR/CLEC4E	C3 LOC101060038/AK5	C4 TARP/GZMK	C5 LOC101060038/AK5	C6 LMNA/AQP3	C7 PF4/PPBP	C8 FCER1A/FLT3	C9 LEF1/C14orf64
CLEC10A	0.010071690675053323	0.005036928088863871	0.0	0.06954647422279839	0.004003101180357588	0.05654932210661549	0.061929313685166264	0.005758458406662334	0.005306260867421729	0.003937992903417031	0.0038309947842930705	0.01020238791124982	0.6074519639082181	0.0
CLEC4E	0.0034976665230446705	0.0027412390093421385	0.022401818246552165	0.06743649469014419	0.0	0.3858037887720606	0.6286966604059773	0.003123529162781259	0.0047607286933216645	0.004819911963687778	0.0041201395581159555	0.5075596461596092	0.09946770669394914	0.012497416792814913
CST7	0.04254250266635626	2.3650173023753456	0.18647613471482807	0.05650272508703851	0.2816191784863612	0.2752405788577133	0.03984888609986212	0.016521087028419215	1.6871183536307064	0.017951040324377603	0.237388050911536	0.05798822423048517	0.12327171906149481	0.011869212055893523
CSTA	0.029495672751331727	0.017138811184755666	0.05547528006884696	1.3396088674365878	0.03818763799798053	1.596887205269864	2.1379785360447845	0.024797007918845926	0.04459263053660206	0.033651458811551994	0.028802226369032177	1.8980799254184906	1.2084506006820384	0.024538965767075142
CYP1B1	0.0018806926644979842	0.004564041467112625	0.0	0.03913447401165138	0.005710678173349759	0.2206763905643707	0.2708669110845816	0.0048521536917998705	0.003983124497238449	0.0020667148031768405	0.0	0.41461005778618537	0.017285788223417226	0.0
ENHO	0.0026136519335751185	0.0	0.0	0.08873272698356048	0.0	0.0	0.006969884181490651	0.001107615679456886	0.0005230665015460572	0.004105878966712218	0.0018250563223600087	0.0	0.39969914703384485	0.007160996805246956
FAM49A	0.28645702825247465	0.38349761530142545	0.12890036040742253	1.4013069926412194	0.02997612964052364	0.770607079793694	1.0295520938147462	0.013930626697451678	0.15239875057617627	0.005063169956376997	0.027790389574931115	0.6046350260442773	0.6618299151812344	0.026579413870977963
FCAR	0.004643726780019078	0.01477455397642189	0.018724518446084627	0.19201616156624204	0.008043161447904054	0.4805427382185656	0.6629408359736771	0.0038176874727896704	0.0020439949336883904	0.00880478189233957	0.002010891082657033	0.4164245458633516	0.04925818068636967	0.008974234659196698
FCER1A	0.014262126961461214	0.0	0.005485048381394298	0.032618026900557234	0.017891491705264044	0.022394821234581544	0.027139758621077044	0.013195608311390735	0.0105694012546557	0.008991676520629766	0.011301467072228111	0.02812735762186113	1.4366983556668698	0.018232612120499876
FCGR3A	0.018590072131223462	1.8313039149314903	0.02395379341096807	2.1796990725004792	0.009290506693178635	0.08553545916388057	0.07058253404454506	0.016198457598038743	0.2661921514315716	0.02034711492299708	0.02280985968402531	0.03634619630836305	0.038932286242064774	0.029489489576555797
FGFBP2	0.015542900540471286	2.19391263841457	0.05302506242459317	0.03378187891198433	0.02218405048052202	0.08004825031380206	0.02167423131878497	0.012284368002921407	0.5273207928027209	0.02467129734896485	0.01768740967337546	0.022592015459636995	0.04007778584510755	0.017669034608489866
FLT3	0.00656614096441657	0.0	0.016245263947771958	0.014074493230051097	0.0	0.021848690765364966	0.027026961505174172	0.0010875534097734814	0.006325741374703539	0.0011094703205901748	0.00853820063864883	0.002972338604188488	0.6065767873928863	0.005189950829050927
GZMH	0.01236042875544441	1.114561136818163	0.11637999656735815	0.0263340564193216	0.0037799565950497192	0.09360143666190907	0.022402575627814978	0.0100782683186907	0.7135582357408478	0.010189601065219794	0.0166485333454429	0.024882003923904206	0.03856947164109403	0.0033933417946897357
GZMK	0.050842890643808814	0.12404758920318865	0.29947954450998227	0.048842178649200506	0.539528704355698	0.23684808442087238	0.02772225220608578	0.03775913920120969	1.5523397029899462	0.06880640621960753	0.3621111954168191	0.05157848411566211	0.03783891245996539	0.07199557199507729
HCK	0.24616180581588848	0.011303058704461771	0.024933708201764236	1.8244504437873128	0.00421731272256679	0.8203411035002608	1.1578180194755037	0.020438560798775766	0.02401669744483901	0.027563856385707172	0.021658016439881324	0.8048925368656853	0.8395361121852751	0.010018348185159549
HDAC9	1.0906696562358345	0.5738581575322654	0.2129030931004592	1.0888226367988512	0.022083451129190863	0.9402852455761375	1.251248388759609	0.0202606812216691	0.23066534214520026	0.026757943917833187	0.048708209574936545	0.8822704072526052	1.6724613615663069	0.022163270083833883
HES4	0.006528030575639501	0.009101437071449685	0.0	0.8474357390637246	0.0	0.06099900967771684	0.047067167244542886	0.015180836190955714	0.005614741727439991	0.00880389730505748	0.0027537010835074274	0.01899038071397775	0.039111455133848505	0.003753876519160599
IL1B	0.0250265931335339	0.026577976490080174	0.05563129892269966	0.6580309203231716	0.004981858083280083	0.9429568658365945	1.282496173797864	0.03189523250103723	0.026055648124926434	0.02691747902424779	0.021240136483761912	1.1638921865932343	0.8994887320217326	0.04501040913259331
KLRF1	0.013501558312502935	2.1042215607785995	0.04729217693936044	0.02030153136699823	0.0	0.07700403346768031	0.01966349377623832	0.008116397154399966	0.33425515871158945	0.009264056411948149	0.012800321217979494	0.013863809517676993	0.028214841445557706	0.003916802183511584
LINC00282	0.004457255236531623	0.0	0.016257323300048913	0.0	0.026989162260379763	0.036027532603828495	0.0	0.03159042800645673	0.0013768847593450192	0.030088253475681476	0.008296791053764012	0.0	0.0	0.09121501040502278
