sample	gene_id	contig	hmmer	dbcan_sub	diamond	n_tools	family	cazy_class	substrate	ec_number	genes
ERZ1664501	ERZ1664501.1415-NODE-1415-length-1722-cov-3.912418_2	ERZ1664501.1415-NODE-1415-length-1722-cov-3.912418	PL10_1	PL10	PL10_1	3	PL10_1	Polysaccharide lyase	pectin		1
ERZ1664501	ERZ1664501.14716-NODE-14716-length-596-cov-1.207024_1	ERZ1664501.14716-NODE-14716-length-596-cov-1.207024	CE19	CE19	CE0	3	CE19	Carbohydrate esterase	pectin		1
ERZ1664501	ERZ1664501.1592-NODE-1592-length-1641-cov-2.882093_1	ERZ1664501.1592-NODE-1592-length-1641-cov-2.882093	CBM67	CBM67+GH78	CBM67+GH78	3	CBM67|GH78	Carbohydrate-binding module	rhamnose	-|-	1
ERZ1664501	ERZ1664501.1621-NODE-1621-length-1628-cov-3.324857_2	ERZ1664501.1621-NODE-1621-length-1628-cov-3.324857	PL29	PL29	GH88	3	PL29	Polysaccharide lyase	host glycan		1
ERZ1664501	ERZ1664501.16329-NODE-16329-length-569-cov-2.832685_1	ERZ1664501.16329-NODE-16329-length-569-cov-2.832685	CE8	CE8	CE8	3	CE8	Carbohydrate esterase	pectin		1
ERZ1664501	ERZ1664501.16599-NODE-16599-length-565-cov-2.556863_1	ERZ1664501.16599-NODE-16599-length-565-cov-2.556863	CE9	CE9	CE9	3	CE9	Carbohydrate esterase	host glycan		1
ERZ1664501	ERZ1664501.1716-NODE-1716-length-1588-cov-3.990868_1	ERZ1664501.1716-NODE-1716-length-1588-cov-3.990868	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664501	ERZ1664501.175-NODE-175-length-3696-cov-3.448778_3	ERZ1664501.175-NODE-175-length-3696-cov-3.448778	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664501	ERZ1664501.1763-NODE-1763-length-1570-cov-1.932673_1	ERZ1664501.1763-NODE-1763-length-1570-cov-1.932673	PL26	PL26	PL26	3	PL26	Polysaccharide lyase	pectin		1
ERZ1664501	ERZ1664501.1849-NODE-1849-length-1542-cov-1.419637_1	ERZ1664501.1849-NODE-1849-length-1542-cov-1.419637	GH13_14	CBM48+GH13	GH13_14	3	CBM48|GH13_14	Carbohydrate-binding module	alpha-glucan	3.2.1.1:3;3.2.1.41:6|3.2.1.-:2	1
ERZ1664501	ERZ1664501.20524-NODE-20524-length-510-cov-0.964835_1	ERZ1664501.20524-NODE-20524-length-510-cov-0.964835	CBM67	CBM67	CBM67+GH78	3	CBM67	Carbohydrate-binding module	rhamnose		1
ERZ1664501	ERZ1664501.2227-NODE-2227-length-1422-cov-2.077542_1	ERZ1664501.2227-NODE-2227-length-1422-cov-2.077542	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664501	ERZ1664501.2383-NODE-2383-length-1377-cov-2.953858_1	ERZ1664501.2383-NODE-2383-length-1377-cov-2.953858	CBM35+CBM61	CBM35+CBM61	CBM35+CBM61+GH31_10	3	CBM35|CBM61	Carbohydrate-binding module	beta-galactan;beta-mannan;xylan	2.4.1.24:2;2.4.1.-:3|-	1
ERZ1664501	ERZ1664501.4148-NODE-4148-length-1071-cov-3.173228_1	ERZ1664501.4148-NODE-4148-length-1071-cov-3.173228	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664501	ERZ1664501.4466-NODE-4466-length-1040-cov-1.562437_2	ERZ1664501.4466-NODE-4466-length-1040-cov-1.562437	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664503	ERZ1664503.100-NODE-100-length-4968-cov-4.532465_1	ERZ1664503.100-NODE-100-length-4968-cov-4.532465			CBM35	1	CBM35	Carbohydrate-binding module	unassigned		1
ERZ1664503	ERZ1664503.14617-NODE-14617-length-612-cov-2.100539_1	ERZ1664503.14617-NODE-14617-length-612-cov-2.100539	AA1	AA1		2	AA1	Auxiliary activity	lignin		1
ERZ1664504	ERZ1664504.10-NODE-10-length-16516-cov-4.950307_10	ERZ1664504.10-NODE-10-length-16516-cov-4.950307			GH1	1	GH1	Glycoside hydrolase	unassigned		1
ERZ1664505	ERZ1664505.10034-NODE-10034-length-695-cov-1.410937_1	ERZ1664505.10034-NODE-10034-length-695-cov-1.410937	GT119	GT119	GT119	3	GT119	Glycosyltransferase	peptidoglycan		1
ERZ1664506	ERZ1664506.10019-NODE-10019-length-551-cov-1.729839_1	ERZ1664506.10019-NODE-10019-length-551-cov-1.729839		GT1		1	GT1	Glycosyltransferase	unassigned		1
ERZ1664506	ERZ1664506.8672-NODE-8672-length-583-cov-1.850379_1	ERZ1664506.8672-NODE-8672-length-583-cov-1.850379	AA1	AA1		2	AA1	Auxiliary activity	lignin		1
ERZ1664507	ERZ1664507.10022-NODE-10022-length-638-cov-1.778731_1	ERZ1664507.10022-NODE-10022-length-638-cov-1.778731			CBM48+GH13_8	1	CBM48	Carbohydrate-binding module	unassigned		1
ERZ1664507	ERZ1664507.1803-NODE-1803-length-1164-cov-1.690712_2	ERZ1664507.1803-NODE-1803-length-1164-cov-1.690712	AA4	AA4		2	AA4	Auxiliary activity	lignin		1
ERZ1664507	ERZ1664507.6409-NODE-6409-length-752-cov-1.139168_1	ERZ1664507.6409-NODE-6409-length-752-cov-1.139168	AA4	AA4		2	AA4	Auxiliary activity	lignin		1
ERZ1664507	ERZ1664507.6840-NODE-6840-length-734-cov-1.546392_1	ERZ1664507.6840-NODE-6840-length-734-cov-1.546392	AA4	AA4		2	AA4	Auxiliary activity	lignin		1
ERZ1664508	ERZ1664508.10-NODE-10-length-17165-cov-13.335476_23	ERZ1664508.10-NODE-10-length-17165-cov-13.335476			GH23	1	GH23	Glycoside hydrolase	unassigned		1
ERZ1664509	ERZ1664509.1-NODE-1-length-23580-cov-7.722550_3	ERZ1664509.1-NODE-1-length-23580-cov-7.722550			GT2	1	GT2	Glycosyltransferase	unassigned		1
ERZ1664510	ERZ1664510.1-NODE-1-length-48590-cov-8.699845_15	ERZ1664510.1-NODE-1-length-48590-cov-8.699845			GH28	1	GH28	Glycoside hydrolase	unassigned		1
ERZ1664511	ERZ1664511.1-NODE-1-length-155040-cov-9.244327_123	ERZ1664511.1-NODE-1-length-155040-cov-9.244327			GT2	1	GT2	Glycosyltransferase	unassigned		1
ERZ1664515	ERZ1664515.1-NODE-1-length-197155-cov-8.921801_103	ERZ1664515.1-NODE-1-length-197155-cov-8.921801			GH0	1	GH0	Glycoside hydrolase	unassigned		1
ERZ1664516	ERZ1664516.1-NODE-1-length-64193-cov-9.379775_31	ERZ1664516.1-NODE-1-length-64193-cov-9.379775			CE4	1	CE4	Carbohydrate esterase	unassigned		1
ERZ1664517	ERZ1664517.1-NODE-1-length-52976-cov-6.499991_2	ERZ1664517.1-NODE-1-length-52976-cov-6.499991	GT94	GT4	GT4	3	GT4	Glycosyltransferase	unassigned		1
ERZ1664518	ERZ1664518.10007-NODE-10007-length-616-cov-1.513369_1	ERZ1664518.10007-NODE-10007-length-616-cov-1.513369			GH36	1	GH36	Glycoside hydrolase	unassigned		1
ERZ1664520	ERZ1664520.10-NODE-10-length-17173-cov-6.799159_1	ERZ1664520.10-NODE-10-length-17173-cov-6.799159	GH16_3	GH16	GH16_3	3	GH16_3	Glycoside hydrolase	unassigned		1
