gene_symbol	drug_class	drug_class_primary	ERZ1664501	ERZ1664503	ERZ1664504	ERZ1664505	ERZ1664506	ERZ1664507	ERZ1664508	ERZ1664509	ERZ1664510	ERZ1664511	ERZ1664515	ERZ1664516	ERZ1664517	ERZ1664518	ERZ1664520	ERZ1664521	ERZ1664523	ERZ1664524	ERZ1664528
enzyme	enzyme	ENZYME	52.0	55.0	33.0	56.0	26.0	40.0	66.0	25.0	76.0	30.0	28.0	39.0	32.0	41.0	45.0	63.0	49.0	72.0	62.0
erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	LINCOSAMIDE	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	0.0
erm(F)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	LINCOSAMIDE	2.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0
lnu(C)	LINCOSAMIDE	LINCOSAMIDE	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0
oxa	oxa	OXA	11.0	11.0	8.0	15.0	5.0	7.0	21.0	7.0	22.0	12.0	11.0	5.0	7.0	10.0	18.0	13.0	7.0	18.0	12.0
pmqnr	pmqnr	PMQNR	6.0	2.0	5.0	2.0	2.0	2.0	7.0	1.0	5.0	0.0	1.0	9.0	4.0	6.0	1.0	5.0	0.0	8.0	5.0
rpg	rpg	RPG	118.0	144.0	63.0	145.0	106.0	121.0	174.0	82.0	145.0	82.0	91.0	97.0	98.0	110.0	131.0	160.0	102.0	128.0	139.0
sat4	STREPTOTHRICIN	STREPTOTHRICIN	0.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0
tet(32)	tetracycline antibiotic	TETRACYCLINE	0.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0
tet(O)	tetracycline antibiotic	TETRACYCLINE	0.0	2.0	0.0	0.0	2.0	0.0	3.0	3.0	2.0	3.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0
tet(Q)	TETRACYCLINE	TETRACYCLINE	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0
tet(W)	TETRACYCLINE	TETRACYCLINE	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0
vanT gene in vanG cluster	glycopeptide antibiotic	GLYCOPEPTIDE	3.0	1.0	4.0	2.0	1.0	2.0	2.0	3.0	3.0	1.0	1.0	2.0	3.0	1.0	4.0	2.0	1.0	3.0	2.0
vanW gene in vanI cluster	glycopeptide antibiotic	GLYCOPEPTIDE	0.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	0.0	2.0	7.0	5.0	4.0	0.0	1.0	5.0	5.0	1.0
