sepal.length,sepal.width,petal.length,petal.width,variety
6.1,3,4.6,1.4,Versicolor
5.8,2.6,4,1.2,Versicolor
5,2.3,3.3,1,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.7,3,4.2,1.2,Versicolor
5.7,2.9,4.2,1.3,Versicolor
6.2,2.9,4.3,1.3,Versicolor
5.1,2.5,3,1.1,Versicolor
5.7,2.8,4.1,1.3,Versicolor
6.3,3.3,5.43,2.5,Virginica
5.8,2.7,4.52,1.9,Virginica
7.1,3,5.29,2.1,Virginica
6.3,2.9,5.03,1.8,Virginica
6.5,3,5.18,2.2,Virginica
7.6,3,5.97,2.1,Virginica
4.9,2.5,3.87,1.7,Virginica
7.3,2.9,5.68,1.8,Virginica
6.7,2.5,5.20,1.8,Virginica
7.2,3.6,5.53,2.5,Virginica
6.5,3.2,4.50,2,Virginica
6.4,2.7,4.71,1.9,Virginica
6.8,3,4.92,2.1,Virginica
5.7,2.5,4.38,2,Virginica
5.8,2.8,4.52,2.4,Virginica
6.4,3.2,4.72,2.3,Virginica
6.5,3,4.93,1.8,Virginica
7.7,3.8,6.06,2.2,Virginica
7.7,2.6,6.31,2.3,Virginica
6,2.2,4.44,1.5,Virginica
6.9,3.2,5.10,2.3,Virginica
5.6,2.8,4.33,2,Virginica
7.7,2.8,6.10,2,Virginica
6.3,2.7,4.33,1.8,Virginica
6.7,3.3,5.13,2.1,Virginica
7.2,3.2,5.39,1.8,Virginica
6.2,2.8,4.17,1.8,Virginica
6.1,3,4.31,1.8,Virginica
6.4,2.8,5.04,2.1,Virginica
7.2,3,5.25,1.6,Virginica
7.4,2.8,5.54,1.9,Virginica
7.9,3.8,5.80,2,Virginica
6.4,2.8,5.00,2.2,Virginica
6.3,2.8,4.54,1.5,Virginica
6.1,2.6,5.04,1.4,Virginica
7.7,3,5.46,2.3,Virginica
6.3,3.4,5.00,2.4,Virginica
6.4,3.1,4.85,1.8,Virginica
6,3,4.24,1.8,Virginica
6.9,3.1,4.84,2.1,Virginica
6.7,3.1,4.97,2.4,Virginica
6.9,3.1,4.50,2.3,Virginica
5.8,2.7,4.48,1.9,Virginica
6.8,3.2,5.27,2.3,Virginica
6.7,3.3,5.12,2.5,Virginica
6.7,3,4.60,2.3,Virginica
6.3,2.5,4.39,1.9,Virginica
6.5,3,4.63,2,Virginica
6.2,3.4,4.79,2.3,Virginica
5.9,3,4.51,1.8,Virginica
